Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Antonio Brown,PIT,WR,11,TEN,0,0,0,0,0,10,144,3,0,0,0,0,37.4,37.4
2,Keenan Allen,LAC,WR,11,BUF,0,0,0,3,0,12,159,2,0,0,0,0,34.2,34.2
3,Russell Wilson,SEA,QB,11,ATL,258,2,1,86,1,0,0,0,0,0,1,0,31.9,31.92
4,Ben Roethlisberger,PIT,QB,11,TEN,299,4,0,10,0,0,0,0,0,0,0,0,29,28.96
5,Kenny Stills,MIA,WR,11,TB,0,0,0,0,0,7,180,1,0,0,0,0,27.5,27.5
6,Baltimore Ravens,BAL,DST,11,GB,0,0,0,0,0,0,0,0,6,3,3,2,26,26
7,Kirk Cousins,WAS,QB,11,NO,322,3,0,11,0,0,0,0,0,0,0,0,26,25.98
8,Tom Brady,NE,QB,11,LV,340,3,0,0,0,0,0,0,0,0,0,0,25.6,25.6
9,LeSean McCoy,BUF,RB,11,LAC,0,0,0,114,1,1,12,1,0,0,0,0,25.1,25.1
10,Los Angeles Chargers,LAC,DST,11,BUF,0,0,0,0,0,0,0,0,1,5,1,1,25,25
10,Jacksonville Jaguars,JAX,DST,11,CLE,0,0,0,0,0,0,0,0,5,2,3,3,25,25
12,Brandin Cooks,NE,WR,11,LV,0,0,0,0,0,6,149,1,0,0,0,0,23.9,23.9
13,Mark Ingram II,NO,RB,11,WAS,0,0,0,134,1,3,21,0,0,0,0,0,23,23
14,Drew Brees,NO,QB,11,WAS,385,2,1,2,0,0,0,0,0,0,0,0,22.6,22.6
14,Alvin Kamara,NO,RB,11,WAS,0,0,0,42,0,6,74,1,0,0,0,0,22.6,22.6
16,Latavius Murray,MIN,RB,11,LAR,0,0,0,95,2,1,1,0,0,0,0,0,22.1,22.1
17,Philadelphia Eagles,PHI,DST,11,DAL,0,0,0,0,0,0,0,0,4,3,1,1,22,22
18,Blaine Gabbert,ARI,QB,11,HOU,257,3,2,13,0,0,0,0,0,0,0,0,21.6,21.58
19,D'Onta Foreman,HOU,RB,11,ARI,0,0,0,65,2,3,15,0,0,0,0,0,21.5,21.5
20,Adam Thielen,MIN,WR,11,LAR,0,0,0,0,0,6,123,1,0,0,0,0,21.3,21.3
21,Carson Wentz,PHI,QB,11,DAL,168,2,0,13,0,0,0,0,0,0,0,0,20,20.02
22,Stephen Gostkowski,NE,K,11,LV,0,0,0,0,0,0,0,0,0,0,0,0,20,20
23,Ryan Fitzpatrick,TB,QB,11,MIA,275,2,0,9,0,0,0,0,0,0,0,0,19.9,19.9
24,Rishard Matthews,TEN,WR,11,PIT,0,0,0,0,0,5,113,1,0,0,0,0,19.8,19.8
25,Larry Fitzgerald,ARI,WR,11,HOU,0,0,0,0,0,9,91,1,0,0,0,0,19.6,19.6
26,Samaje Perine,WAS,RB,11,NO,0,0,0,117,1,1,9,0,0,0,0,0,19.1,19.1
27,Chris Boswell,PIT,K,11,TEN,0,0,0,0,0,0,0,0,0,0,0,0,19,19
28,Ricky Seals-Jones,ARI,TE,11,HOU,0,0,0,0,0,3,54,2,0,0,0,0,18.9,18.9
29,Marcus Mariota,TEN,QB,11,PIT,306,1,4,5,1,0,0,0,0,0,0,0,18.7,18.74
30,Andy Dalton,CIN,QB,11,DEN,154,3,0,4,0,0,0,0,0,0,0,0,18.6,18.56
31,Jordan Howard,CHI,RB,11,DET,0,0,0,125,1,0,0,0,0,0,0,0,18.5,18.5
32,Matthew Stafford,DET,QB,11,CHI,299,2,0,3,0,0,0,0,0,0,0,0,18.3,18.26
33,Tyrod Taylor,BUF,QB,11,LAC,158,1,0,38,1,0,0,0,0,0,0,0,18.1,18.12
34,Philip Rivers,LAC,QB,11,BUF,251,2,0,0,0,0,0,0,0,0,0,0,18,18.04
35,Nick Novak,LAC,K,11,BUF,0,0,0,0,0,0,0,0,0,0,0,0,18,18
35,Tampa Bay Buccaneers,TB,DST,11,MIA,0,0,0,0,0,0,0,0,1,3,1,2,18,18
37,Jimmy Graham,SEA,TE,11,ATL,0,0,0,0,0,7,58,1,0,0,0,0,17.3,17.3
38,Case Keenum,MIN,QB,11,LAR,280,1,0,20,0,0,0,0,0,0,0,0,17.2,17.2
39,Matt Ryan,ATL,QB,11,SEA,195,2,0,12,0,0,0,0,0,0,0,0,17,17
39,Wil Lutz,NO,K,11,WAS,0,0,0,0,0,0,0,0,0,0,0,0,17,17
41,Dion Lewis,NE,RB,11,LV,0,0,0,60,0,4,28,1,0,0,0,0,16.8,16.8
42,Alshon Jeffery,PHI,WR,11,DAL,0,0,0,0,0,4,67,1,0,0,0,0,16.7,16.7
43,Davante Adams,GB,WR,11,BAL,0,0,0,0,0,8,126,0,0,0,0,0,16.6,16.6
43,Danny Amendola,NE,WR,11,LV,0,0,0,0,0,8,66,1,0,0,0,0,16.6,16.6
45,Marvin Jones Jr.,DET,WR,11,CHI,0,0,0,0,0,4,85,1,0,0,0,0,16.5,16.5
45,Jarvis Landry,MIA,WR,11,TB,0,0,0,0,0,6,95,1,0,0,0,0,16.5,16.5
47,Lamar Miller,HOU,RB,11,ARI,0,0,0,61,0,4,22,1,0,0,0,0,16.3,16.3
48,Orleans Darkwa,NYG,RB,11,KC,0,0,0,74,1,2,16,0,0,0,0,0,16,16
48,Pittsburgh Steelers,PIT,DST,11,TEN,0,0,0,0,0,0,0,0,5,4,0,0,16,16
50,DeAndre Hopkins,HOU,WR,11,ARI,0,0,0,0,0,4,76,1,0,0,0,0,15.6,15.6
51,Brock Osweiler,DEN,QB,11,CIN,254,1,1,24,0,0,0,0,0,0,0,0,15.6,15.56
52,Matt Moore,MIA,QB,11,TB,282,1,0,0,0,0,0,0,0,0,0,0,15.3,15.28
53,Alex Collins,BAL,RB,11,GB,0,0,0,49,1,4,22,0,0,0,0,0,15.1,15.1
54,Demaryius Thomas,DEN,WR,11,CIN,0,0,0,0,0,5,64,1,0,0,0,0,14.9,14.9
55,Le'Veon Bell,PIT,RB,11,TEN,0,0,0,46,0,9,57,0,0,0,0,0,14.8,14.8
56,Duke Johnson,CLE,RB,11,JAX,0,0,0,10,0,4,56,1,0,0,0,0,14.6,14.6
57,Tom Savage,HOU,QB,11,ARI,230,2,1,3,0,0,0,0,0,0,0,0,14.5,14.5
58,Derek Carr,LV,QB,11,NE,237,1,1,0,0,0,0,0,0,0,0,0,14.5,14.48
