Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Kyler Murray,ARI,QB,1,TEN,289,4,1,20,1,0,0,0,0,0,0,0,34.6,34.56
2,Patrick Mahomes,KC,QB,1,CLE,337,3,0,18,1,0,0,0,0,0,0,0,33.3,33.28
3,Amari Cooper,DAL,WR,1,TB,0,0,0,0,0,13,139,2,0,0,0,0,32.4,32.4
4,Tyreek Hill,KC,WR,1,CLE,0,0,0,4,0,11,197,1,0,0,0,0,31.6,31.6
5,Jared Goff,DET,QB,1,SF,338,3,1,14,0,0,0,0,0,0,0,0,29.9,29.92
6,Jameis Winston,NO,QB,1,GB,148,5,0,37,0,0,0,0,0,0,0,0,29.6,29.62
7,Tom Brady,TB,QB,1,DAL,379,4,2,0,0,0,0,0,0,0,0,0,29.2,29.16
8,Jalen Hurts,PHI,QB,1,ATL,264,3,0,62,0,0,0,0,0,0,0,0,28.8,28.76
9,Dak Prescott,DAL,QB,1,TB,403,3,1,13,0,0,0,0,0,0,0,0,28.4,28.42
10,Deebo Samuel,SF,WR,1,DET,0,0,0,0,0,9,189,1,0,0,0,0,27.4,27.4
11,Russell Wilson,SEA,QB,1,IND,254,4,0,9,0,0,0,0,0,0,0,0,27.1,27.06
12,Adam Thielen,MIN,WR,1,CIN,0,0,0,0,0,9,92,2,0,0,0,0,25.7,25.7
13,Derek Carr,LV,QB,1,BAL,435,2,1,6,0,0,0,0,0,0,0,0,25,25
13,Rob Gronkowski,TB,TE,1,DAL,0,0,0,0,0,8,90,2,0,0,0,0,25,25
15,Matthew Stafford,LAR,QB,1,CHI,321,3,0,-5,0,0,0,0,0,0,0,0,24.3,24.34
16,Corey Davis,NYJ,WR,1,CAR,0,0,0,0,0,5,97,2,0,0,0,0,24.2,24.2
17,Tyler Lockett,SEA,WR,1,IND,0,0,0,0,0,4,100,2,0,0,0,0,24,24
18,Tyrod Taylor,HOU,QB,1,JAX,291,2,0,40,0,0,0,0,0,0,0,0,23.6,23.64
19,DeAndre Hopkins,ARI,WR,1,TEN,0,0,0,0,0,6,83,2,0,0,0,0,23.3,23.3
20,Christian McCaffrey,CAR,RB,1,NYJ,0,0,0,98,0,9,89,0,0,0,0,0,23.2,23.2
21,Joe Mixon,CIN,RB,1,MIN,0,0,0,127,1,4,23,0,0,0,0,0,23,23
22,Travis Kelce,KC,TE,1,CLE,0,0,0,0,0,6,76,2,0,0,0,0,22.6,22.6
23,Trevor Lawrence,JAX,QB,1,HOU,332,3,3,-2,0,0,0,0,0,0,0,0,22.1,22.08
24,Kirk Cousins,MIN,QB,1,CIN,351,2,0,0,0,0,0,0,0,0,0,0,22,22.04
25,T.J. Hockenson,DET,TE,1,SF,0,0,0,0,0,8,97,1,0,0,0,0,21.7,21.7
26,Christian Kirk,ARI,WR,1,TEN,0,0,0,0,0,5,70,2,0,0,0,0,21.5,21.5
26,Darren Waller,LV,TE,1,BAL,0,0,0,0,0,10,105,1,0,0,0,0,21.5,21.5
28,Daniel Jones,NYG,QB,1,DEN,267,1,0,27,1,0,0,0,0,0,0,0,21.4,21.38
29,Antonio Brown,TB,WR,1,DAL,0,0,0,6,0,5,121,1,0,0,0,0,21.2,21.2
30,Nick Chubb,CLE,RB,1,KC,0,0,0,83,2,2,18,0,0,0,0,0,21.1,21.1
31,Jamaal Williams,DET,RB,1,SF,0,0,0,54,1,8,56,0,0,0,0,0,21,21
32,Sterling Shepard,NYG,WR,1,DEN,0,0,0,0,0,7,113,1,0,0,0,0,20.8,20.8
33,Teddy Bridgewater,DEN,QB,1,NYG,264,2,0,19,0,0,0,0,0,0,0,0,20.5,20.46
34,D'Andre Swift,DET,RB,1,SF,0,0,0,39,0,8,65,1,0,0,0,0,20.4,20.4
35,Cooper Kupp,LAR,WR,1,CHI,0,0,0,0,0,7,108,1,0,0,0,0,20.3,20.3
36,CeeDee Lamb,DAL,WR,1,TB,0,0,0,0,0,7,104,1,0,0,0,0,19.9,19.9
37,Zach Wilson,NYJ,QB,1,CAR,258,2,1,0,0,0,0,0,0,0,0,0,19.3,19.32
38,Melvin Gordon III,DEN,RB,1,NYG,0,0,0,101,1,3,17,0,0,0,0,0,19.3,19.3
39,Sam Darnold,CAR,QB,1,NYJ,279,1,0,-1,1,0,0,0,0,0,0,0,19.1,19.06
40,Chris Godwin,TB,WR,1,DAL,0,0,0,0,0,9,105,1,0,0,0,0,19,19
41,Joe Burrow,CIN,QB,1,MIN,261,2,0,2,0,0,0,0,0,0,0,0,18.6,18.64
42,Ja'Marr Chase,CIN,WR,1,MIN,0,0,0,-2,0,5,101,1,0,0,0,0,18.4,18.4
43,Carson Wentz,IND,QB,1,SEA,251,2,0,23,0,0,0,0,0,0,0,0,18.3,18.34
