Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Russell Wilson,SEA,QB,8,HOU,452,4,1,30,0,0,0,0,0,0,0,0,36.1,36.08
2,Deshaun Watson,HOU,QB,8,SEA,402,4,3,67,0,0,0,0,0,0,0,0,35.8,35.78
3,DeAndre Hopkins,HOU,WR,8,SEA,0,0,0,0,0,8,224,1,0,0,0,0,32.4,32.4
4,Baltimore Ravens,BAL,DST,8,MIA,0,0,0,0,0,0,0,0,3,2,0,0,29,29
5,JuJu Smith-Schuster,PIT,WR,8,DET,0,0,0,0,0,7,193,1,0,0,0,0,28.8,28.8
6,William Fuller V,HOU,WR,8,SEA,0,0,0,0,0,5,125,2,0,0,0,0,27,27
7,LeSean McCoy,BUF,RB,8,LV,0,0,0,151,1,6,22,0,0,0,0,0,26.3,26.3
8,Ezekiel Elliott,DAL,RB,8,WAS,0,0,0,150,2,1,4,0,0,0,0,0,25.9,25.9
9,Paul Richardson,SEA,WR,8,HOU,0,0,0,0,0,6,105,2,0,0,0,0,25.5,25.5
10,Jack Doyle,IND,TE,8,CIN,0,0,0,0,0,12,121,1,0,0,0,0,24.1,24.1
11,Jerick McKinnon,MIN,RB,8,CLE,0,0,0,50,1,6,72,0,0,0,0,0,23.2,23.2
12,Travis Kelce,KC,TE,8,DEN,0,0,0,0,0,7,133,1,0,0,0,0,22.8,22.8
13,Harrison Butker,KC,K,8,DEN,0,0,0,0,0,0,0,0,0,0,0,0,21,21
14,Lamar Miller,HOU,RB,8,SEA,0,0,0,54,1,3,19,1,0,0,0,0,20.8,20.8
15,Melvin Gordon III,LAC,RB,8,NE,0,0,0,132,1,1,7,0,0,0,0,0,20.4,20.4
16,Kansas City Chiefs,KC,DST,8,DEN,0,0,0,0,0,0,0,0,3,3,1,2,20,20
16,Philadelphia Eagles,PHI,DST,8,SF,0,0,0,0,0,0,0,0,4,2,0,0,20,20
18,Robby Anderson,NYJ,WR,8,ATL,0,0,0,1,0,6,104,1,0,0,0,0,19.5,19.5
19,Dallas Cowboys,DAL,DST,8,WAS,0,0,0,0,0,0,0,0,4,1,2,2,19,19
20,Andy Dalton,CIN,QB,8,IND,243,2,0,10,0,0,0,0,0,0,0,0,18.7,18.72
21,Case Keenum,MIN,QB,8,CLE,288,2,1,0,0,0,0,0,0,0,0,0,18.5,18.52
22,Adam Thielen,MIN,WR,8,CLE,0,0,0,0,0,5,98,1,0,0,0,0,18.3,18.3
23,Josh McCown,NYJ,QB,8,ATL,257,2,0,0,0,0,0,0,0,0,0,0,18.3,18.28
