Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Tom Brady,NE,QB,3,HOU,378,5,0,6,0,0,0,0,0,0,0,0,35.7,35.72
2,Todd Gurley II,LAR,RB,3,SF,0,0,0,113,2,5,36,1,0,0,0,0,35.4,35.4
3,Russell Wilson,SEA,QB,3,TEN,373,4,0,26,0,0,0,0,0,0,0,0,33.5,33.52
4,Stefon Diggs,MIN,WR,3,TB,0,0,0,0,0,8,173,2,0,0,0,0,33.3,33.3
5,Brandin Cooks,NE,WR,3,HOU,0,0,0,0,0,5,131,2,0,0,0,0,29.6,29.6
6,Jordan Howard,CHI,RB,3,PIT,0,0,0,140,2,5,26,0,0,0,0,0,29.1,29.1
7,Case Keenum,MIN,QB,3,TB,369,3,0,18,0,0,0,0,0,0,0,0,28.6,28.56
8,Chris Thompson,WAS,RB,3,LV,0,0,0,38,0,6,150,1,0,0,0,0,27.8,27.8
9,Jacoby Brissett,IND,QB,3,CLE,259,1,0,14,2,0,0,0,0,0,0,0,27.8,27.76
10,Blake Bortles,JAX,QB,3,BAL,244,4,0,18,0,0,0,0,0,0,0,0,27.6,27.56
11,Larry Fitzgerald,ARI,WR,3,DAL,0,0,0,0,0,13,149,1,0,0,0,0,27.4,27.4
12,Brian Hoyer,SF,QB,3,LAR,332,2,1,9,1,0,0,0,0,0,0,0,27.2,27.18
13,Kirk Cousins,WAS,QB,3,LV,365,3,0,2,0,0,0,0,0,0,0,0,26.8,26.8
14,Marcedes Lewis,JAX,TE,3,BAL,0,0,0,0,0,4,62,3,0,0,0,0,26.2,26.2
15,Aaron Rodgers,GB,QB,3,CIN,313,3,1,23,0,0,0,0,0,0,0,0,25.8,25.82
16,Sammy Watkins,LAR,WR,3,SF,0,0,0,0,0,6,106,2,0,0,0,0,25.6,25.6
17,Dalvin Cook,MIN,RB,3,TB,0,0,0,97,1,5,72,0,0,0,0,0,25.4,25.4
18,DeShone Kizer,CLE,QB,3,IND,242,2,3,44,1,0,0,0,0,0,0,0,25.1,25.08
19,Kareem Hunt,KC,RB,3,LAC,0,0,0,172,1,1,11,0,0,0,0,0,24.8,24.8
19,T.Y. Hilton,IND,WR,3,CLE,0,0,0,0,0,7,153,1,0,0,0,0,24.8,24.8
21,Eli Manning,NYG,QB,3,PHI,366,3,2,0,0,0,0,0,0,0,0,0,24.6,24.64
22,Odell Beckham Jr.,NYG,WR,3,PHI,0,0,0,0,0,9,79,2,0,0,0,0,24.4,24.4
23,Jared Goff,LAR,QB,3,SF,292,3,0,-1,0,0,0,0,0,0,0,0,23.6,23.58
24,Dak Prescott,DAL,QB,3,ARI,183,2,0,16,1,0,0,0,0,0,0,0,22.9,22.92
25,Carlos Hyde,SF,RB,3,LAR,0,0,0,84,2,3,10,0,0,0,0,0,22.9,22.9
26,Sterling Shepard,NYG,WR,3,PHI,0,0,0,0,0,7,133,1,0,0,0,0,22.8,22.8
27,Deshaun Watson,HOU,QB,3,NE,301,2,2,41,0,0,0,0,0,0,0,0,22.1,22.14
28,A.J. Green,CIN,WR,3,GB,0,0,0,0,0,10,111,1,0,0,0,0,22.1,22.1
29,Antonio Brown,PIT,WR,3,CHI,0,0,0,0,0,10,110,1,0,0,0,0,22,22
30,Carson Palmer,ARI,QB,3,DAL,325,2,0,7,0,0,0,0,0,0,0,0,21.7,21.7
31,Doug Baldwin,SEA,WR,3,TEN,0,0,0,0,0,10,105,1,0,0,0,0,21.5,21.5
32,Devonta Freeman,ATL,RB,3,DET,0,0,0,106,1,3,32,0,0,0,0,0,21.3,21.3
33,Drew Brees,NO,QB,3,CAR,220,3,0,0,0,0,0,0,0,0,0,0,20.8,20.8
33,Chris Hogan,NE,WR,3,HOU,0,0,0,0,0,4,68,2,0,0,0,0,20.8,20.8
35,Jordy Nelson,GB,WR,3,CIN,0,0,0,0,0,6,52,2,0,0,0,0,20.2,20.2
36,Marcus Mariota,TEN,QB,3,SEA,225,2,0,27,0,0,0,0,0,0,0,0,19.7,19.7
37,Duke Johnson,CLE,RB,3,IND,0,0,0,23,1,6,81,0,0,0,0,0,19.4,19.4
38,Stephen Hauschka,BUF,K,3,DEN,0,0,0,0,0,0,0,0,0,0,0,0,19,19
38,Matt Prater,DET,K,3,ATL,0,0,0,0,0,0,0,0,0,0,0,0,19,19
40,Rob Gronkowski,NE,TE,3,HOU,0,0,0,0,0,8,89,1,0,0,0,0,18.9,18.9
41,Le'Veon Bell,PIT,RB,3,CHI,0,0,0,61,1,6,37,0,0,0,0,0,18.8,18.8
42,Jameis Winston,TB,QB,3,MIN,328,2,3,4,0,0,0,0,0,0,0,0,18.5,18.52
43,DeMarco Murray,TEN,RB,3,SEA,0,0,0,115,1,1,5,0,0,0,0,0,18.5,18.5
44,Michael Thomas,NO,WR,3,CAR,0,0,0,0,0,7,87,1,0,0,0,0,18.2,18.2
45,Tyrod Taylor,BUF,QB,3,DEN,213,2,0,13,0,0,0,0,0,0,0,0,17.8,17.82
46,Rishard Matthews,TEN,WR,3,SEA,0,0,0,0,0,6,87,1,0,0,0,0,17.7,17.7
46,Pierre Garcon,SF,WR,3,LAR,0,0,0,0,0,7,142,0,0,0,0,0,17.7,17.7
48,DeVante Parker,MIA,WR,3,NYJ,0,0,0,0,0,8,76,1,0,0,0,0,17.6,17.6
49,Tyreek Hill,KC,WR,3,LAC,0,0,0,13,0,5,77,1,0,0,0,0,17.5,17.5
50,Robby Anderson,NYJ,WR,3,MIA,0,0,0,0,0,3,95,1,0,0,0,0,17,17
51,Ezekiel Elliott,DAL,RB,3,ARI,0,0,0,80,1,3,14,0,0,0,0,0,16.9,16.9
52,Matt Ryan,ATL,QB,3,DET,294,2,3,-1,0,0,0,0,0,0,0,0,16.7,16.66
53,Matthew Stafford,DET,QB,3,ATL,264,1,0,19,0,0,0,0,0,0,0,0,16.5,16.46
54,DeSean Jackson,TB,WR,3,MIN,0,0,0,0,0,4,84,1,0,0,0,0,16.4,16.4
54,Taylor Gabriel,ATL,WR,3,DET,0,0,0,0,0,5,79,1,0,0,0,0,16.4,16.4
56,Andy Dalton,CIN,QB,3,GB,212,2,0,-2,0,0,0,0,0,0,0,0,16.3,16.28
57,Christian McCaffrey,CAR,RB,3,NO,0,0,0,16,0,9,101,0,0,0,0,0,16.2,16.2
58,Ryan Succop,TEN,K,3,SEA,0,0,0,0,0,0,0,0,0,0,0,0,16,16
58,Brice Butler,DAL,WR,3,ARI,0,0,0,0,0,2,90,1,0,0,0,0,16,16
58,Ka'imi Fairbairn,HOU,K,3,NE,0,0,0,0,0,0,0,0,0,0,0,0,16,16
61,Leonard Fournette,JAX,RB,3,BAL,0,0,0,59,1,3,21,0,0,0,0,0,15.5,15.5
62,Golden Tate,DET,WR,3,ATL,0,0,0,0,0,7,58,1,0,0,0,0,15.3,15.3
63,Geronimo Allison,GB,WR,3,CIN,0,0,0,0,0,6,122,0,0,0,0,0,15.2,15.2
64,Alex Smith,KC,QB,3,LAC,155,2,0,9,0,0,0,0,0,0,0,0,15.1,15.1
65,Jason Myers,JAX,K,3,BAL,0,0,0,0,0,0,0,0,0,0,0,0,15,15
66,Josh McCown,NYJ,QB,3,MIA,249,1,0,7,0,0,0,0,0,0,0,0,14.7,14.66
67,Ryan Griffin,HOU,TE,3,NE,0,0,0,0,0,5,61,1,0,0,0,0,14.6,14.6
68,Vernon Davis,WAS,TE,3,LV,0,0,0,0,0,5,58,1,0,0,0,0,14.3,14.3
69,New Orleans Saints,NO,DST,3,CAR,0,0,0,0,0,0,0,0,4,3,2,0,14,14
69,Cincinnati Bengals,CIN,DST,3,GB,0,0,0,0,0,0,0,0,6,1,0,0,14,14
69,Washington Football Team,WAS,DST,3,LV,0,0,0,0,0,0,0,0,4,2,1,1,14,14
69,New York Jets,NYJ,DST,3,MIA,0,0,0,0,0,0,0,0,3,2,0,0,14,14
69,Matt Bryant,ATL,K,3,DET,0,0,0,0,0,0,0,0,0,0,0,0,14,14
74,Melvin Gordon III,LAC,RB,3,KC,0,0,0,79,1,0,0,0,0,0,0,0,13.9,13.9
74,Travis Benjamin,LAC,WR,3,KC,0,0,0,9,0,5,105,0,0,0,0,0,13.9,13.9
76,Bruce Ellington,HOU,WR,3,NE,0,0,0,-1,0,4,59,1,0,0,0,0,13.8,13.8
76,Robert Woods,LAR,WR,3,SF,0,0,0,0,0,6,108,0,0,0,0,0,13.8,13.8
78,Zach Ertz,PHI,TE,3,NYG,0,0,0,0,0,8,55,1,0,0,0,0,13.5,13.5
79,Carson Wentz,PHI,QB,3,NYG,176,1,0,22,0,0,0,0,0,0,0,0,13.2,13.24
80,Detroit Lions,DET,DST,3,ATL,0,0,0,0,0,0,0,0,2,3,0,0,13,13
81,Ted Ginn Jr.,NO,WR,3,CAR,0,0,0,15,0,2,44,1,0,0,0,0,12.9,12.9
81,Kenny Britt,CLE,WR,3,IND,0,0,0,0,0,3,54,1,0,0,0,0,12.9,12.9
81,Charles Clay,BUF,TE,3,DEN,0,0,0,0,0,6,39,1,0,0,0,0,12.9,12.9
84,Luke Willson,SEA,TE,3,TEN,0,0,0,0,0,3,53,1,0,0,0,0,12.8,12.8
84,Demaryius Thomas,DEN,WR,3,BUF,0,0,0,0,0,6,98,0,0,0,0,0,12.8,12.8
86,LeGarrette Blount,PHI,RB,3,NYG,0,0,0,67,1,0,0,0,0,0,0,0,12.7,12.7
86,Jay Cutler,MIA,QB,3,NYJ,220,1,1,9,0,0,0,0,0,0,0,0,12.7,12.7
88,Julio Jones,ATL,WR,3,DET,0,0,0,0,0,7,91,0,0,0,0,0,12.6,12.6
89,Jared Cook,LV,TE,3,WAS,0,0,0,0,0,4,43,1,0,0,0,0,12.3,12.3
89,Adam Thielen,MIN,WR,3,TB,0,0,0,0,0,5,98,0,0,0,0,0,12.3,12.3
91,Jamaal Charles,DEN,RB,3,BUF,0,0,0,56,1,1,1,0,0,0,0,0,12.2,12.2
91,Frank Gore,IND,RB,3,CLE,0,0,0,57,1,1,0,0,0,0,0,0,12.2,12.2
91,Lance Kendricks,GB,TE,3,CIN,0,0,0,0,0,2,52,1,0,0,0,0,12.2,12.2
91,Chris Carson,SEA,RB,3,TEN,0,0,0,34,0,2,18,1,0,0,0,0,12.2,12.2
91,Tarik Cohen,CHI,RB,3,PIT,0,0,0,78,0,4,24,0,0,0,0,0,12.2,12.2
96,Ben Roethlisberger,PIT,QB,3,CHI,235,1,0,6,0,0,0,0,0,0,0,0,12,12
96,Wil Lutz,NO,K,3,CAR,0,0,0,0,0,0,0,0,0,0,0,0,12,12
96,Jacksonville Jaguars,JAX,DST,3,BAL,0,0,0,0,0,0,0,0,2,2,1,1,12,12
96,Kansas City Chiefs,KC,DST,3,LAC,0,0,0,0,0,0,0,0,2,3,0,0,12,12
96,Greg Zuerlein,LAR,K,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,12,12
96,Jake Elliott,PHI,K,3,NYG,0,0,0,0,0,0,0,0,0,0,0,0,12,12
102,Josh Doctson,WAS,WR,3,LV,0,0,0,0,0,1,52,1,0,0,0,0,11.7,11.7
102,Alvin Kamara,NO,RB,3,CAR,0,0,0,37,1,3,5,0,0,0,0,0,11.7,11.7
104,Joe Mixon,CIN,RB,3,GB,0,0,0,62,0,3,39,0,0,0,0,0,11.6,11.6
105,Cameron Brate,TB,TE,3,MIN,0,0,0,0,0,4,33,1,0,0,0,0,11.3,11.3
106,Cam Newton,CAR,QB,3,NO,167,0,3,16,1,0,0,0,0,0,0,0,11.3,11.28
107,DeAndre Hopkins,HOU,WR,3,NE,0,0,0,0,0,7,76,0,0,0,0,0,11.1,11.1
108,Emmanuel Sanders,DEN,WR,3,BUF,0,0,0,0,0,7,75,0,0,0,0,0,11,11
109,Giovani Bernard,CIN,RB,3,GB,0,0,0,27,0,2,12,1,0,0,0,0,10.9,10.9
110,Mohamed Sanu Sr.,ATL,WR,3,DET,0,0,0,0,0,4,28,1,0,0,0,0,10.8,10.8
111,Trent Taylor,SF,WR,3,LAR,0,0,0,0,0,3,32,1,0,0,0,0,10.7,10.7
111,Jimmy Graham,SEA,TE,3,TEN,0,0,0,0,0,7,72,0,0,0,0,0,10.7,10.7
113,Andre Ellington,ARI,RB,3,DAL,0,0,0,22,0,5,59,0,0,0,0,0,10.6,10.6
113,Brandon Marshall,NYG,WR,3,PHI,0,0,0,0,0,8,66,0,0,0,0,0,10.6,10.6
115,Tevin Coleman,ATL,RB,3,DET,0,0,0,46,0,3,43,0,0,0,0,0,10.4,10.4
115,LeSean McCoy,BUF,RB,3,DEN,0,0,0,21,0,7,48,0,0,0,0,0,10.4,10.4
117,Mike Evans,TB,WR,3,MIN,0,0,0,0,0,7,67,0,0,0,0,0,10.2,10.2
118,Ameer Abdullah,DET,RB,3,ATL,0,0,0,47,0,3,39,0,0,0,0,0,10.1,10.1
119,Brandon McManus,DEN,K,3,BUF,0,0,0,0,0,0,0,0,0,0,0,0,10,10
119,Kai Forbath,MIN,K,3,TB,0,0,0,0,0,0,0,0,0,0,0,0,10,10
119,Robbie Gould,SF,K,3,LAR,0,0,0,0,0,0,0,0,0,0,0,0,10,10
