Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Dalvin Cook,MIN,RB,8,GB,0,0,0,163,3,2,63,1,0,0,0,0,47.6,47.6
2,Patrick Mahomes,KC,QB,8,NYJ,416,5,0,0,0,0,0,0,0,0,0,0,36.6,36.64
3,DK Metcalf,SEA,WR,8,SF,0,0,0,0,0,12,161,2,0,0,0,0,34.1,34.1
4,Russell Wilson,SEA,QB,8,SF,261,4,0,23,0,0,0,0,0,0,0,0,28.7,28.74
5,Davante Adams,GB,WR,8,MIN,0,0,0,0,0,7,53,3,0,0,0,0,26.8,26.8
6,Robert Woods,LAR,WR,8,MIA,0,0,0,9,1,7,85,1,0,0,0,0,24.9,24.9
7,Tyreek Hill,KC,WR,8,NYJ,0,0,0,0,0,4,98,2,0,0,0,0,23.8,23.8
8,Matthew Stafford,DET,QB,8,IND,336,3,1,10,0,0,0,0,0,0,0,0,23.4,23.44
9,Justin Herbert,LAC,QB,8,DEN,278,3,2,21,0,0,0,0,0,0,0,0,23.2,23.22
10,Miami Dolphins,MIA,DST,8,LAR,0,0,0,0,0,0,0,0,2,2,2,2,23,23
11,Corey Davis,TEN,WR,8,CIN,0,0,0,0,0,8,128,1,0,0,0,0,22.8,22.8
12,Aaron Rodgers,GB,QB,8,MIN,291,3,0,9,0,0,0,0,0,0,0,0,22.5,22.54
13,Philip Rivers,IND,QB,8,DET,262,3,0,-2,0,0,0,0,0,0,0,0,22.3,22.28
14,Giovani Bernard,CIN,RB,8,TEN,0,0,0,62,1,3,16,1,0,0,0,0,21.3,21.3
15,Travis Kelce,KC,TE,8,NYJ,0,0,0,0,0,8,109,1,0,0,0,0,20.9,20.9
16,Drew Lock,DEN,QB,8,LAC,248,3,1,-1,0,0,0,0,0,0,0,0,20.8,20.82
17,Alvin Kamara,NO,RB,8,CHI,0,0,0,67,0,9,96,0,0,0,0,0,20.8,20.8
18,DeeJay Dallas,SEA,RB,8,SF,0,0,0,41,1,5,17,1,0,0,0,0,20.3,20.3
19,Zack Moss,BUF,RB,8,NE,0,0,0,81,2,0,0,0,0,0,0,0,20.1,20.1
20,Philadelphia Eagles,PHI,DST,8,DAL,0,0,0,0,0,0,0,0,4,0,2,2,20,20
21,Jordan Wilkins,IND,RB,8,DET,0,0,0,89,1,1,24,0,0,0,0,0,19.8,19.8
22,Nyheim Hines,IND,RB,8,DET,0,0,0,8,0,3,54,2,0,0,0,0,19.7,19.7
23,Drew Brees,NO,QB,8,CHI,280,2,0,4,0,0,0,0,0,0,0,0,19.6,19.6
24,Curtis Samuel,CAR,WR,8,ATL,0,0,0,23,1,4,31,1,0,0,0,0,19.4,19.4
25,Mecole Hardman,KC,WR,8,NYJ,0,0,0,0,0,7,96,1,0,0,0,0,19.1,19.1
25,Brandon Aiyuk,SF,WR,8,SEA,0,0,0,0,0,8,91,1,0,0,0,0,19.1,19.1
27,Tom Brady,TB,QB,8,NYG,279,2,0,-1,0,0,0,0,0,0,0,0,19.1,19.06
28,Matt Ryan,ATL,QB,8,CAR,281,0,1,27,1,0,0,0,0,0,0,0,18.9,18.94
29,Joe Burrow,CIN,QB,8,TEN,249,2,0,9,0,0,0,0,0,0,0,0,18.9,18.86
30,Mike Williams,LAC,WR,8,DEN,0,0,0,1,0,5,99,1,0,0,0,0,18.5,18.5
31,Cam Newton,NE,QB,8,BUF,174,0,0,54,1,0,0,0,0,0,0,0,18.4,18.36
32,Ryan Tannehill,TEN,QB,8,CIN,233,2,1,20,0,0,0,0,0,0,0,0,18.3,18.32
33,Daniel Jones,NYG,QB,8,TB,256,2,2,20,0,0,0,0,0,0,0,0,18.2,18.24
34,Pittsburgh Steelers,PIT,DST,8,BAL,0,0,0,0,0,0,0,0,4,2,3,2,18,18
35,Nick Foles,CHI,QB,8,NO,272,2,1,0,0,0,0,0,0,0,0,0,17.9,17.88
36,Allen Robinson II,CHI,WR,8,NO,0,0,0,0,0,6,87,1,0,0,0,0,17.7,17.7
37,Nick Mullens,SF,QB,8,SEA,238,2,0,0,0,0,0,0,0,0,0,0,17.5,17.52
38,Marvin Jones Jr.,DET,WR,8,IND,0,0,0,0,0,3,39,2,0,0,0,0,17.4,17.4
39,Derrick Henry,TEN,RB,8,CIN,0,0,0,112,1,0,0,0,0,0,0,0,17.2,17.2
39,Julio Jones,ATL,WR,8,CAR,0,0,0,0,0,7,137,0,0,0,0,0,17.2,17.2
39,Keenan Allen,LAC,WR,8,DEN,0,0,0,0,0,9,67,1,0,0,0,0,17.2,17.2
42,Lamar Jackson,BAL,QB,8,PIT,208,2,2,65,0,0,0,0,0,0,0,0,16.8,16.82
43,Travis Fulgham,PHI,WR,8,DAL,0,0,0,0,0,6,78,1,0,0,0,0,16.8,16.8
44,Tyler Boyd,CIN,WR,8,TEN,0,0,0,9,0,6,67,1,0,0,0,0,16.6,16.6
45,Cooper Kupp,LAR,WR,8,MIA,0,0,0,0,0,11,110,0,0,0,0,0,16.5,16.5
46,Damien Harris,NE,RB,8,BUF,0,0,0,102,1,0,0,0,0,0,0,0,16.2,16.2
46,DaeSean Hamilton,DEN,WR,8,LAC,0,0,0,0,0,4,82,1,0,0,0,0,16.2,16.2
48,Justin Jackson,LAC,RB,8,DEN,0,0,0,89,0,3,53,0,0,0,0,0,15.7,15.7
49,Darnell Mooney,CHI,WR,8,NO,0,0,0,0,0,5,69,1,0,0,0,0,15.4,15.4
50,Ben Roethlisberger,PIT,QB,8,BAL,182,2,0,0,0,0,0,0,0,0,0,0,15.3,15.28
51,Jamaal Williams,GB,RB,8,MIN,0,0,0,75,0,6,27,0,0,0,0,0,15.2,15.2
52,Phillip Lindsay,DEN,RB,8,LAC,0,0,0,83,1,1,3,0,0,0,0,0,15.1,15.1
53,Indianapolis Colts,IND,DST,8,DET,0,0,0,0,0,0,0,0,5,1,2,1,15,15
53,Michael Badgley,LAC,K,8,DEN,0,0,0,0,0,0,0,0,0,0,0,0,15,15
53,Ryan Succop,TB,K,8,NYG,0,0,0,0,0,0,0,0,0,0,0,0,15,15
56,Gus Edwards,BAL,RB,8,PIT,0,0,0,87,1,0,0,0,0,0,0,0,14.7,14.7
57,Demarcus Robinson,KC,WR,8,NYJ,0,0,0,0,0,4,63,1,0,0,0,0,14.3,14.3
58,Wil Lutz,NO,K,8,CHI,0,0,0,0,0,0,0,0,0,0,0,0,14,14
58,Cairo Santos,CHI,K,8,NO,0,0,0,0,0,0,0,0,0,0,0,0,14,14
58,Mike Evans,TB,WR,8,NYG,0,0,0,0,0,5,55,1,0,0,0,0,14,14
61,Jared Cook,NO,TE,8,CHI,0,0,0,0,0,5,51,1,0,0,0,0,13.6,13.6
62,Taysom Hill,NO,QB,8,CHI,0,0,0,35,0,2,30,1,0,0,0,0,13.5,13.5
62,James Conner,PIT,RB,8,BAL,0,0,0,47,1,3,13,0,0,0,0,0,13.5,13.5
64,Josh Allen,BUF,QB,8,NE,154,0,1,23,1,0,0,0,0,0,0,0,13.5,13.46
65,Marvin Hall,DET,WR,8,IND,0,0,0,0,0,4,113,0,0,0,0,0,13.3,13.3
66,Willie Snead IV,BAL,WR,8,PIT,0,0,0,0,0,5,106,0,0,0,0,0,13.1,13.1
