Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Aaron Jones,GB,RB,2,DET,0,0,0,168,2,4,68,1,0,0,0,0,43.6,43.6
2,Dak Prescott,DAL,QB,2,ATL,450,1,0,18,3,0,0,0,0,0,0,0,39.8,39.8
3,Cam Newton,NE,QB,2,SEA,397,1,1,47,2,0,0,0,0,0,0,0,35.6,35.58
4,Josh Allen,BUF,QB,2,MIA,415,4,0,19,0,0,0,0,0,0,0,0,34.5,34.5
5,Russell Wilson,SEA,QB,2,NE,288,5,1,39,0,0,0,0,0,0,0,0,34.4,34.42
6,Alvin Kamara,NO,RB,2,LV,0,0,0,79,2,9,95,0,0,0,0,0,33.9,33.9
7,Kyler Murray,ARI,QB,2,WAS,286,1,1,67,2,0,0,0,0,0,0,0,33.1,33.14
8,Matt Ryan,ATL,QB,2,DAL,273,4,0,16,0,0,0,0,0,0,0,0,28.5,28.52
9,Patrick Mahomes,KC,QB,2,LAC,302,2,0,54,0,0,0,0,0,0,0,0,27.5,27.48
10,Ryan Tannehill,TEN,QB,2,JAX,239,4,0,12,0,0,0,0,0,0,0,0,26.8,26.76
11,Calvin Ridley,ATL,WR,2,DAL,0,0,0,0,0,7,109,2,0,0,0,0,26.4,26.4
12,Tyler Higbee,LAR,TE,2,PHI,0,0,0,0,0,5,54,3,0,0,0,0,25.9,25.9
13,Nick Chubb,CLE,RB,2,CIN,0,0,0,124,2,1,9,0,0,0,0,0,25.8,25.8
14,Leonard Fournette,TB,RB,2,CAR,0,0,0,103,2,4,13,0,0,0,0,0,25.6,25.6
15,Gardner Minshew,JAX,QB,2,TEN,339,3,2,19,0,0,0,0,0,0,0,0,25.5,25.46
16,Stefon Diggs,BUF,WR,2,MIA,0,0,0,0,0,8,153,1,0,0,0,0,25.3,25.3
17,Joe Burrow,CIN,QB,2,CLE,316,3,0,19,0,0,0,0,0,0,0,0,24.5,24.54
18,Ryan Fitzpatrick,MIA,QB,2,BUF,328,2,0,12,0,0,0,0,0,0,0,0,24.3,24.32
19,Jared Goff,LAR,QB,2,PHI,267,3,0,13,0,0,0,0,0,0,0,0,24,23.98
20,Justin Herbert,LAC,QB,2,KC,311,1,1,18,1,0,0,0,0,0,0,0,23.2,23.24
21,Kareem Hunt,CLE,RB,2,CIN,0,0,0,86,1,2,15,1,0,0,0,0,23.1,23.1
22,Mike Gesicki,MIA,TE,2,BUF,0,0,0,0,0,8,130,1,0,0,0,0,23,23
23,Christian McCaffrey,CAR,RB,2,TB,0,0,0,59,2,4,29,0,0,0,0,0,22.8,22.8
24,Darren Waller,LV,TE,2,NO,0,0,0,0,0,12,105,1,0,0,0,0,22.5,22.5
25,Jonnu Smith,TEN,TE,2,JAX,0,0,0,0,0,4,84,2,0,0,0,0,22.4,22.4
26,Terry McLaurin,WAS,WR,2,ARI,0,0,0,0,0,7,125,1,0,0,0,0,22,22
27,Julian Edelman,NE,WR,2,SEA,0,0,0,0,0,8,179,0,0,0,0,0,21.9,21.9
28,Derek Carr,LV,QB,2,NO,284,3,0,3,0,0,0,0,0,0,0,0,21.7,21.66
29,Jordan Reed,SF,TE,2,NYJ,0,0,0,0,0,7,50,2,0,0,0,0,20.5,20.5
