Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Derrick Henry,TEN,RB,6,HOU,0,0,0,212,2,2,52,0,0,0,0,0,39.4,39.4
2,Justin Jefferson,MIN,WR,6,ATL,0,0,0,0,0,9,166,2,0,0,0,0,35.1,35.1
3,Deshaun Watson,HOU,QB,6,TEN,335,4,0,26,0,0,0,0,0,0,0,0,32,32
4,Matt Ryan,ATL,QB,6,MIN,371,4,0,8,0,0,0,0,0,0,0,0,31.6,31.64
5,Julio Jones,ATL,WR,6,MIN,0,0,0,0,0,8,137,2,0,0,0,0,29.7,29.7
6,Ryan Tannehill,TEN,QB,6,HOU,366,4,1,0,0,0,0,0,0,0,0,0,29.6,29.64
7,Carson Wentz,PHI,QB,6,BAL,213,2,0,49,1,0,0,0,0,0,0,0,29.4,29.42
8,Kyler Murray,ARI,QB,6,DAL,188,2,0,74,1,0,0,0,0,0,0,0,28.9,28.92
9,Kenyan Drake,ARI,RB,6,DAL,0,0,0,164,2,0,0,0,0,0,0,0,28.4,28.4
10,Lamar Jackson,BAL,QB,6,PHI,186,1,0,108,1,0,0,0,0,0,0,0,28.2,28.24
11,Kirk Cousins,MIN,QB,6,ATL,343,3,3,0,0,0,0,0,0,0,0,0,26.7,26.72
12,D'Andre Swift,DET,RB,6,JAX,0,0,0,116,2,3,7,0,0,0,0,0,25.8,25.8
13,Philip Rivers,IND,QB,6,CIN,371,3,1,-1,0,0,0,0,0,0,0,0,25.7,25.74
14,Ronald Jones II,TB,RB,6,GB,0,0,0,113,2,2,8,0,0,0,0,0,25.1,25.1
15,Brandon McManus,DEN,K,6,NE,0,0,0,0,0,0,0,0,0,0,0,0,24,24
16,Jimmy Garoppolo,SF,QB,6,LAR,268,3,0,8,0,0,0,0,0,0,0,0,23.5,23.52
17,Christian Kirk,ARI,WR,6,DAL,0,0,0,0,0,2,86,2,0,0,0,0,21.6,21.6
18,William Fuller V,HOU,WR,6,TEN,0,0,0,0,0,6,123,1,0,0,0,0,21.3,21.3
18,Anthony Firkser,TEN,TE,6,HOU,0,0,0,0,0,8,113,1,0,0,0,0,21.3,21.3
20,Patrick Mahomes,KC,QB,6,BUF,225,2,0,36,0,0,0,0,0,0,0,0,20.6,20.6
21,George Kittle,SF,TE,6,LAR,0,0,0,0,0,7,109,1,0,0,0,0,20.4,20.4
22,A.J. Brown,TEN,WR,6,HOU,0,0,0,0,0,5,58,2,0,0,0,0,20.3,20.3
23,Younghoe Koo,ATL,K,6,MIN,0,0,0,0,0,0,0,0,0,0,0,0,20,20
24,Cam Newton,NE,QB,6,DEN,157,0,2,76,1,1,16,0,0,0,0,0,20,19.98
25,Trey Burton,IND,TE,6,CIN,0,0,0,1,1,4,58,1,0,0,0,0,19.9,19.9
26,Tampa Bay Buccaneers,TB,DST,6,GB,0,0,0,0,0,0,0,0,5,2,1,0,19,19
26,Travis Kelce,KC,TE,6,BUF,0,0,0,0,0,5,65,2,0,0,0,0,19,19
28,Clyde Edwards-Helaire,KC,RB,6,BUF,0,0,0,161,0,4,8,0,0,0,0,0,18.9,18.9
29,Gardner Minshew,JAX,QB,6,DET,243,1,1,14,1,1,0,0,0,0,0,0,18.6,18.62
30,Ryan Fitzpatrick,MIA,QB,6,NYJ,191,3,2,4,0,0,0,0,0,0,0,0,18,18.04
31,Pittsburgh Steelers,PIT,DST,6,CLE,0,0,0,0,0,0,0,0,4,2,1,0,18,18
32,Joe Burrow,CIN,QB,6,IND,313,0,1,2,1,0,0,0,0,0,0,0,17.7,17.72
33,Darren Fells,HOU,TE,6,TEN,0,0,0,0,0,6,85,1,0,0,0,0,17.5,17.5
34,Amari Cooper,DAL,WR,6,ARI,0,0,0,0,0,7,79,1,0,0,0,0,17.4,17.4
35,Nick Foles,CHI,QB,6,CAR,198,1,1,4,1,0,0,0,0,0,0,0,17.3,17.32
36,Keelan Cole,JAX,WR,6,DET,0,0,0,0,0,6,143,0,0,0,0,0,17.3,17.3
36,Brandin Cooks,HOU,WR,6,TEN,0,0,0,0,0,9,68,1,0,0,0,0,17.3,17.3
38,Kyle Allen,WAS,QB,6,NYG,280,2,1,8,0,0,0,0,0,0,0,0,17,17
39,James Conner,PIT,RB,6,CLE,0,0,0,101,1,1,1,0,0,0,0,0,16.7,16.7
40,Travis Fulgham,PHI,WR,6,BAL,0,0,0,0,0,6,75,1,0,0,0,0,16.5,16.5
41,Rob Gronkowski,TB,TE,6,GB,0,0,0,0,0,5,78,1,0,0,0,0,16.3,16.3
42,Chase Claypool,PIT,WR,6,CLE,0,0,0,7,1,4,74,0,0,0,0,0,16.1,16.1
43,Josh Allen,BUF,QB,6,KC,122,2,1,42,0,0,0,0,0,0,0,0,16.1,16.08
44,Justin Tucker,BAL,K,6,PHI,0,0,0,0,0,0,0,0,0,0,0,0,16,16
45,Jared Goff,LAR,QB,6,SF,198,2,1,10,0,0,0,0,0,0,0,0,15.9,15.92
46,Calvin Ridley,ATL,WR,6,MIN,0,0,0,8,0,6,61,1,0,0,0,0,15.9,15.9
47,Tee Higgins,CIN,WR,6,IND,0,0,0,2,0,6,125,0,0,0,0,0,15.7,15.7
48,Adam Humphries,TEN,WR,6,HOU,0,0,0,0,0,6,64,1,0,0,0,0,15.4,15.4
49,Arizona Cardinals,ARI,DST,6,DAL,0,0,0,0,0,0,0,0,3,2,2,2,15,15
49,Miami Dolphins,MIA,DST,6,NYJ,0,0,0,0,0,0,0,0,3,1,0,0,15,15
49,Deebo Samuel,SF,WR,6,LAR,0,0,0,-6,0,6,66,1,0,0,0,0,15,15
52,Daniel Jones,NYG,QB,6,WAS,112,1,1,74,0,0,0,0,0,0,0,0,14.9,14.88
53,James Washington,PIT,WR,6,CLE,0,0,0,0,0,4,68,1,0,0,0,0,14.8,14.8
54,Tom Brady,TB,QB,6,GB,166,2,0,0,0,0,0,0,0,0,0,0,14.6,14.64
55,Myles Gaskin,MIA,RB,6,NYJ,0,0,0,91,0,4,35,0,0,0,0,0,14.6,14.6
