Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
841,Rakeem Nunez-Roches,KC,DE,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ross Travis,KC,TE,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Demarcus Robinson,KC,WR,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Elandon Roberts,NE,LB,1,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Terrance Smith,KC,ILB,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Chris Jones,KC,NT,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Tanoh Kpassagnon,KC,DE,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jehu Chesson,KC,WR,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Elijah McGuire,NYJ,RB,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Thomas Hennessy,NYJ,LS,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Chad Hansen,NYJ,WR,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Reid Ferguson,BUF,LS,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kalif Raymond,NYJ,WR,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Trae Elston,BUF,SS,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Charone Peake,NYJ,WR,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Darryl Roberts,NYJ,CB,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Logan Thomas,BUF,TE,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ryan Davis,BUF,OLB,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Joe Banyard,BUF,RB,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Shareece Wright,BUF,CB,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Bruce Carter,NYJ,ILB,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Taiwan Jones,BUF,RB,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Cedric Thornton,BUF,DT,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Marcell Dareus,BUF,DT,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Joe Webb,BUF,QB,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Brandon Tate,BUF,WR,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Sherrick McManis,CHI,DB,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Andre Roberts,ATL,WR,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Pernell McPhee,CHI,OLB,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Courtney Upshaw,ATL,OLB,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Josh Harris,ATL,LS,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Derrick Shelby,ATL,DE,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Bradley Sowell,CHI,TE,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kemal Ishmael,ATL,SS,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Benjamin Cunningham,CHI,RB,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Levine Toilolo,ATL,TE,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Derrick Coleman,ATL,FB,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Andrew DePaola,CHI,LS,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Deji Olatoye,ATL,CB,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Terron Ward,ATL,RB,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Grady Jarrett,ATL,DT,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Adrian Amos,CHI,FS,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Justin Hardy,ATL,WR,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jonathan Bullard,CHI,DE,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Daniel Brown,CHI,TE,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Deon Bush,CHI,FS,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Adam Shaheen,CHI,TE,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Eric Saubert,ATL,TE,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jermaine Grace,ATL,OLB,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Bam Bradley,BAL,ILB,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Chuck Clark,BAL,SS,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Cethan Carter,CIN,TE,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Hardy Nickerson,CIN,ILB,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Carl Lawson,CIN,DE,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Marlon Humphrey,BAL,CB,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Alex Erickson,CIN,WR,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Cody Core,CIN,WR,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Chris Moore,BAL,WR,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,KeiVarae Russell,CIN,CB,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Vince Mayle,BAL,WR,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Carl Davis,BAL,DT,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Derron Smith,CIN,SS,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Chris Matthews,BAL,WR,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ryan Hewitt,CIN,TE,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Randy Bullock,CIN,K,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Clark Harris,CIN,LS,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Benjamin Watson,BAL,TE,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Morgan Cox,BAL,LS,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,James Harrison,PIT,LB,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Darrius Heyward-Bey,PIT,WR,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Arthur Moats,PIT,DE,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Robert Golden,PIT,SS,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Coty Sensabaugh,PIT,CB,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Vance McDonald,PIT,TE,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jamie Meder,CLE,DT,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Xavier Grimble,PIT,TE,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Roosevelt Nix,PIT,FB,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Charley Hughlett,CLE,LS,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Nate Orchard,CLE,DE,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Randall Telfer,CLE,TE,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Terrell Watson,PIT,RB,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kasen Williams,CLE,WR,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ibraheim Campbell,CLE,SS,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Sammie Coates,CLE,WR,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Tyrone Holmes,CLE,DE,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Tyler Matakevich,PIT,ILB,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Danny Vitale,CLE,FB,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,JuJu Smith-Schuster,PIT,WR,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kameron Canaday,PIT,LS,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kai Nacua,CLE,FS,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jalen Reeves-Maybin,DET,OLB,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Michael Roberts,DET,TE,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Steve Longa,DET,OLB,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Elijhaa Penny,ARI,RB,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jake Rudock,DET,QB,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Olsen Pierre,ARI,DT,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Rodney Gunter,ARI,DT,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kareem Martin,ARI,OLB,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Troy Niklas,ARI,TE,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Brittan Golden,ARI,WR,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Darren Fells,DET,TE,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jaron Brown,ARI,WR,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Aaron Brewer,ARI,LS,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ifeanyi Momah,ARI,WR,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Don Carey,DET,CB,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Tramon Williams,ARI,CB,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Don Muhlbach,DET,LS,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Marcedes Lewis,JAX,TE,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jon Weeks,HOU,LS,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jordan Todman,HOU,RB,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Matt Overton,JAX,LS,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ryan Griffin,HOU,TE,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Marcus Burley,HOU,CB,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Peyton Thompson,JAX,FS,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Marqise Lee,JAX,WR,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jay Prosch,HOU,FB,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Bruce Ellington,HOU,WR,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ben Koyack,JAX,TE,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kurtis Drummond,HOU,SS,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Corey Grant,JAX,RB,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Braxton Miller,HOU,WR,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Lafayette Pitts,JAX,CB,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Andy Jones,HOU,WR,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jarrod Wilson,JAX,FS,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Keelan Cole,JAX,WR,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Treyvon Hester,LV,DT,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Shalom Luani,LV,SS,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Xavier Woodson-Luster,LV,OLB,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jonnu Smith,TEN,TE,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Johnny Holton,LV,WR,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Antonio Hamilton,LV,CB,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Aaron Wallace,TEN,OLB,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Erik Harris,LV,SS,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kalan Reed,TEN,CB,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jalston Fowler,TEN,RB,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Clive Walford,LV,TE,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Daren Bates,TEN,ILB,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,David Fluellen,TEN,RB,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Phillip Supernaw,TEN,TE,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Beau Brinkley,TEN,LS,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jurrell Casey,TEN,DE,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Lee Smith,LV,TE,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Eric Weems,TEN,WR,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jon Condo,LV,LS,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Vernon Davis,WAS,TE,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Evander Hood,WAS,DT,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Chris Carter,WAS,OLB,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Chris Maragos,PHI,FS,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Nick Sundberg,WAS,LS,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Niles Paul,WAS,TE,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Beau Allen,PHI,DT,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Trey Burton,PHI,TE,1,WAS,0,0,0,0,0,0,0,0,0,0,0,1,0,0
841,Will Compton,WAS,ILB,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Quinton Dunbar,WAS,CB,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Josh Doctson,WAS,WR,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Rick Lovato,PHI,LS,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Joe Walker,PHI,ILB,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Stefan McClure,WAS,SS,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Marcus Johnson,PHI,WR,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ryan Anderson,WAS,OLB,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Fabian Moreau,WAS,CB,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Samaje Perine,WAS,RB,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Mack Hollins,PHI,WR,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Corey Clement,PHI,RB,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Montae Nicholson,WAS,SS,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Anthony Walker,IND,ILB,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Darrell Daniels,IND,TE,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Josh Reynolds,LAR,WR,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Tarell Basham,IND,DE,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Luke Rhodes,IND,LS,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Hassan Ridgeway,IND,DT,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Pharoh Cooper,LAR,WR,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Quan Bray,IND,WR,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Brandon Williams,IND,TE,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Cody Davis,LAR,SS,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jake McQuaide,LAR,LS,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Brett Goode,GB,LS,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ricky Jean-Francois,GB,DT,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jeff Janis,GB,WR,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Richard Rodgers,GB,TE,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Joe Thomas,GB,OLB,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Dewey McDonald,SEA,FS,1,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Tyler Ott,SEA,LS,1,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Luke Willson,SEA,TE,1,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Bradley McDougald,SEA,SS,1,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Aaron Ripkowski,GB,FB,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ladarius Gunter,GB,CB,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Trevor Davis,GB,WR,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Dean Lowry,GB,DE,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Tanner McEvoy,SEA,WR,1,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Tre Madden,SEA,RB,1,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kevin King,GB,CB,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Amara Darboh,SEA,WR,1,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Chris Odom,GB,OLB,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Devante Mays,GB,RB,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kendrick Bourne,SF,WR,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Lorenzo Jerome,SF,FS,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Demetrious Cox,CAR,SS,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Daeshon Hall,CAR,DE,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Curtis Samuel,CAR,WR,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jeremy Cash,CAR,OLB,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kevon Seymour,CAR,CB,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Chris Manhertz,CAR,TE,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,David Mayo,CAR,OLB,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Raheem Mostert,SF,RB,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Damiere Byrd,CAR,WR,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Keith Reaser,SF,CB,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ben Jacobs,CAR,OLB,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kyle Nelson,SF,LS,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Garrett Celek,SF,TE,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Colin Jones,CAR,FS,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ed Dickson,CAR,TE,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Logan Paulsen,SF,TE,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,J.J. Jansen,CAR,LS,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Charles Johnson,CAR,DE,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Zak DeOssie,NYG,LS,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,L.P. Ladouceur,DAL,LS,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,J.T. Thomas,NYG,OLB,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Dwayne Harris,NYG,WR,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,James Hanna,DAL,TE,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kyle Wilber,DAL,OLB,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Keith Smith,DAL,FB,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Nat Berhe,NYG,FS,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ross Cockrell,NYG,CB,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Geoff Swaim,DAL,TE,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Rod Smith,DAL,RB,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jerell Adams,NYG,TE,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Andrew Adams,NYG,SS,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Michael Hunter,NYG,CB,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Brian Price,DAL,DT,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Taco Charlton,DAL,DE,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Ryan Switzer,DAL,WR,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Calvin Munson,NYG,LB,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Shane Smith,NYG,FB,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Jayrone Elliott,DAL,OLB,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Xavier Woods,DAL,FS,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Avery Moss,NYG,DE,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Stacy Coley,MIN,WR,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Al-Quadin Muhammad,NO,DE,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Trey Edmunds,NO,RB,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Eric Wilson,MIN,OLB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Mitchell Loewen,NO,DE,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,C.J. Ham,MIN,FB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Zach Wood,NO,LS,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,David Morgan,MIN,TE,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Stephen Weatherly,MIN,DE,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kentrell Brothers,MIN,ILB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Vonn Bell,NO,SS,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Mackensie Alexander,MIN,CB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Blake Bell,MIN,TE,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Anthony Harris,MIN,FS,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Hau'oli Kikaha,NO,OLB,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kevin McDermott,MIN,LS,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Josh Hill,NO,TE,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Emmanuel Lamur,MIN,OLB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Rafael Bush,NO,DB,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Sterling Moore,NO,CB,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Michael Hoomanawanui,NO,TE,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Brian Robison,MIN,DE,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Mike Windt,LAC,LS,1,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Corey Liuget,LAC,DT,1,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Casey Kreiter,DEN,LS,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Cody Latimer,DEN,WR,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Kasim Edebali,DEN,DE,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Zaire Anderson,DEN,ILB,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Hunter Henry,LAC,TE,1,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Derek Watt,LAC,FB,1,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Andy Janovich,DEN,FB,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,DeMarcus Walker,DEN,DE,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Rayshawn Jenkins,LAC,FS,1,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
