Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,DeAndre Hopkins,HOU,WR,15,NYJ,0,0,0,0,0,10,170,2,0,0,0,0,34,34
2,Mike Williams,LAC,WR,15,KC,0,0,0,19,1,7,76,2,0,0,0,0,33,33
3,Derrick Henry,TEN,RB,15,NYG,6,0,0,170,2,1,0,0,0,0,0,0,29.7,29.74
4,Todd Gurley II,LAR,RB,15,PHI,0,0,0,48,2,10,76,0,0,0,0,0,29.4,29.4
5,Dalvin Cook,MIN,RB,15,MIA,0,0,0,136,2,1,27,0,0,0,0,0,28.8,28.8
6,Damien Williams,KC,RB,15,LAC,0,0,0,49,2,6,74,0,0,0,0,0,27.3,27.3
7,Joe Mixon,CIN,RB,15,LV,0,0,0,129,2,2,1,0,0,0,0,0,26,26
8,Marlon Mack,IND,RB,15,DAL,0,0,0,139,2,1,10,0,0,0,0,0,25.4,25.4
9,Matt Ryan,ATL,QB,15,ARI,231,2,0,18,1,0,0,0,0,0,0,0,25,25.04
10,Chris Carson,SEA,RB,15,SF,0,0,0,119,1,6,29,0,0,0,0,0,23.8,23.8
11,Deshaun Watson,HOU,QB,15,NYJ,294,2,0,26,0,0,0,0,0,0,0,0,22.4,22.36
12,Ka'imi Fairbairn,HOU,K,15,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,22,22
12,Christian McCaffrey,CAR,RB,15,NO,50,1,0,53,0,8,67,0,0,0,0,0,22,22
14,Doug Baldwin,SEA,WR,15,SF,0,0,0,0,0,4,77,2,0,0,0,0,21.7,21.7
15,Sam Darnold,NYJ,QB,15,HOU,253,2,0,35,0,0,0,0,0,0,0,0,21.6,21.62
16,Philip Rivers,LAC,QB,15,KC,313,2,2,0,0,0,0,0,0,0,0,0,20.5,20.52
17,Tevin Coleman,ATL,RB,15,ARI,0,0,0,145,1,0,0,0,0,0,0,0,20.5,20.5
18,Atlanta Falcons,ATL,DST,15,ARI,0,0,0,0,0,0,0,0,7,2,1,1,20,20
18,Alshon Jeffery,PHI,WR,15,LAR,0,0,0,0,0,8,160,0,0,0,0,0,20,20
20,Alvin Kamara,NO,RB,15,CAR,0,0,0,67,1,7,36,0,0,0,0,0,19.8,19.8
21,Josh Allen,BUF,QB,15,DET,204,1,0,16,1,0,0,0,0,0,0,0,19.8,19.76
22,Robby Anderson,NYJ,WR,15,HOU,0,0,0,0,0,7,96,1,0,0,0,0,19.1,19.1
23,Mitchell Trubisky,CHI,QB,15,GB,235,2,0,16,0,0,0,0,0,0,0,0,19,19
24,Russell Wilson,SEA,QB,15,SF,237,2,0,15,0,0,0,0,0,0,0,0,19,18.98
25,Robert Foster,BUF,WR,15,DET,0,0,0,0,0,4,108,1,0,0,0,0,18.8,18.8
26,Wendell Smallwood,PHI,RB,15,LAR,0,0,0,48,2,2,9,0,0,0,0,0,18.7,18.7
27,Kalen Ballage,MIA,RB,15,MIN,0,0,0,123,1,1,-2,0,0,0,0,0,18.6,18.6
28,Jaylen Samuels,PIT,RB,15,NE,0,0,0,142,0,2,30,0,0,0,0,0,18.2,18.2
29,Kenny Golladay,DET,WR,15,BUF,0,0,0,0,0,7,146,0,0,0,0,0,18.1,18.1
30,Patrick Mahomes,KC,QB,15,LAC,243,2,0,3,0,0,0,0,0,0,0,0,18,18.02
31,Davante Adams,GB,WR,15,CHI,0,0,0,0,0,8,119,0,0,0,0,0,17.9,17.9
32,Jamaal Williams,GB,RB,15,CHI,0,0,0,55,1,4,42,0,0,0,0,0,17.7,17.7
33,David Johnson,ARI,RB,15,ATL,0,0,0,33,1,3,68,0,0,0,0,0,17.6,17.6
34,Julio Jones,ATL,WR,15,ARI,0,0,0,0,0,6,82,1,0,0,0,0,17.2,17.2
35,Tennessee Titans,TEN,DST,15,NYG,0,0,0,0,0,0,0,0,3,1,1,1,17,17
35,Indianapolis Colts,IND,DST,15,DAL,0,0,0,0,0,0,0,0,3,1,1,0,17,17
37,Lamar Jackson,BAL,QB,15,TB,131,1,0,95,0,0,0,0,0,0,0,0,16.7,16.74
38,Gus Edwards,BAL,RB,15,TB,0,0,0,104,1,0,0,0,0,0,0,0,16.4,16.4
39,Kirk Cousins,MIN,QB,15,MIA,215,2,1,7,0,0,0,0,0,0,0,0,16.3,16.3
39,Ezekiel Elliott,DAL,RB,15,IND,0,0,0,87,0,7,41,0,0,0,0,0,16.3,16.3
41,Justin Jackson,LAC,RB,15,KC,0,0,0,58,1,3,27,0,0,0,0,0,16,16
42,Peyton Barber,TB,RB,15,BAL,0,0,0,85,1,2,4,0,0,0,0,0,15.9,15.9
43,Ben Roethlisberger,PIT,QB,15,NE,235,2,2,-3,0,0,0,0,0,0,0,0,15.1,15.1
44,Robbie Gould,SF,K,15,SEA,0,0,0,0,0,0,0,0,0,0,0,0,15,15
44,Jake Elliott,PHI,K,15,LAR,0,0,0,0,0,0,0,0,0,0,0,0,15,15
46,Josh Johnson,WAS,QB,15,JAX,151,1,0,49,0,0,0,0,0,0,0,0,14.9,14.94
47,Nick Mullens,SF,QB,15,SEA,275,1,0,-2,0,0,0,0,0,0,0,0,14.8,14.8
48,Aaron Rodgers,GB,QB,15,CHI,274,0,1,25,0,0,0,0,0,0,0,0,14.5,14.46
49,Case Keenum,DEN,QB,15,CLE,257,0,2,1,1,0,0,0,0,0,0,0,14.4,14.38
50,Tom Brady,NE,QB,15,PIT,279,1,1,0,0,0,0,0,0,0,0,0,14.2,14.16
51,Mike Evans,TB,WR,15,BAL,0,0,0,0,0,4,121,0,0,0,0,0,14.1,14.1
52,Washington Football Team,WAS,DST,15,JAX,0,0,0,0,0,0,0,0,6,1,1,1,14,14
52,Jordan Howard,CHI,RB,15,GB,0,0,0,60,1,1,15,0,0,0,0,0,14,14
54,Chris Hogan,NE,WR,15,PIT,0,0,0,0,0,2,68,1,0,0,0,0,13.8,13.8
54,Stefon Diggs,MIN,WR,15,MIA,0,0,0,9,0,4,49,1,0,0,0,0,13.8,13.8
56,Baker Mayfield,CLE,QB,15,DEN,188,2,1,6,0,0,0,0,0,0,0,0,13.1,13.12
57,Garrett Celek,SF,TE,15,SEA,0,0,0,0,0,2,61,1,0,0,0,0,13.1,13.1
58,Minnesota Vikings,MIN,DST,15,MIA,0,0,0,0,0,0,0,0,9,0,0,0,13,13
58,Daniel Carlson,LV,K,15,CIN,0,0,0,0,0,0,0,0,0,0,0,0,13,13
58,Adam Vinatieri,IND,K,15,DAL,0,0,0,0,0,0,0,0,0,0,0,0,13,13
61,Antonio Brown,PIT,WR,15,NE,0,0,0,0,0,4,49,1,0,0,0,0,12.9,12.9
62,Latavius Murray,MIN,RB,15,MIA,0,0,0,68,1,0,0,0,0,0,0,0,12.8,12.8
62,Robert Woods,LAR,WR,15,PHI,0,0,0,19,0,7,74,0,0,0,0,0,12.8,12.8
64,Elijah McGuire,NYJ,RB,15,HOU,0,0,0,42,1,3,29,0,0,0,0,0,12.6,12.6
65,Julian Edelman,NE,WR,15,PIT,0,0,0,0,0,7,90,0,0,0,0,0,12.5,12.5
66,Mike Davis,SEA,RB,15,SF,0,0,0,21,0,8,63,0,0,0,0,0,12.4,12.4
67,Matthew Stafford,DET,QB,15,BUF,208,1,0,0,0,0,0,0,0,0,0,0,12.3,12.32
68,Derek Carr,LV,QB,15,CIN,263,1,0,0,0,1,-9,0,0,0,0,0,12.1,12.12
69,Matt Breida,SF,RB,15,SEA,0,0,0,50,0,5,46,0,0,0,0,0,12.1,12.1
70,Randy Bullock,CIN,K,15,LV,0,0,0,0,0,0,0,0,0,0,0,0,12,12
70,New Orleans Saints,NO,DST,15,CAR,0,0,0,0,0,0,0,0,4,1,1,1,12,12
70,Greg Zuerlein,LAR,K,15,PHI,0,0,0,0,0,0,0,0,0,0,0,0,12,12
70,Zach Zenner,DET,RB,15,BUF,0,0,0,45,1,3,0,0,0,0,0,0,12,12
70,Brandon McManus,DEN,K,15,CLE,0,0,0,0,0,0,0,0,0,0,0,0,12,12
70,Antonio Callaway,CLE,WR,15,DEN,0,0,0,0,0,5,35,1,0,0,0,0,12,12
70,Tarik Cohen,CHI,RB,15,GB,0,0,0,24,0,5,31,1,0,0,0,0,12,12
70,Mason Crosby,GB,K,15,CHI,0,0,0,0,0,0,0,0,0,0,0,0,12,12
78,Tyler Boyd,CIN,WR,15,LV,0,0,0,0,0,4,38,1,0,0,0,0,11.8,11.8
78,Jordy Nelson,LV,WR,15,CIN,0,0,0,0,0,6,88,0,0,0,0,0,11.8,11.8
80,Larry Fitzgerald,ARI,WR,15,ATL,0,0,0,0,0,7,82,0,0,0,0,0,11.7,11.7
81,Jared Goff,LAR,QB,15,PHI,339,0,1,11,0,0,0,0,0,0,0,0,11.7,11.66
82,Trey Burton,CHI,TE,15,GB,0,0,0,0,0,4,36,1,0,0,0,0,11.6,11.6
82,Dede Westbrook,JAX,WR,15,WAS,0,0,0,20,0,3,21,0,0,0,0,0,11.6,11.6
84,Chris Manhertz,CAR,TE,15,NO,0,0,0,0,0,1,50,1,0,0,0,0,11.5,11.5
84,Evan Engram,NYG,TE,15,TEN,0,0,0,0,0,8,75,0,0,0,0,0,11.5,11.5
86,Jeff Driskel,CIN,QB,15,LV,130,1,1,32,0,0,0,0,0,0,0,0,11.4,11.4
86,Aldrick Robinson,MIN,WR,15,MIA,0,0,0,0,0,2,44,1,0,0,0,0,11.4,11.4
88,Dan Bailey,MIN,K,15,MIA,0,0,0,0,0,0,0,0,0,0,0,0,11,11
88,Dustin Hopkins,WAS,K,15,JAX,0,0,0,0,0,0,0,0,0,0,0,0,11,11
88,T.Y. Hilton,IND,WR,15,DAL,0,0,0,0,0,5,85,0,0,0,0,0,11,11
91,Dante Pettis,SF,WR,15,SEA,0,0,0,0,0,5,83,0,0,0,0,0,10.8,10.8
92,Justin Hardy,ATL,WR,15,ARI,0,0,0,0,0,3,29,1,0,0,0,0,10.4,10.4
