Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,T.Y. Hilton,IND,WR,9,HOU,0,0,0,0,0,5,175,2,0,0,0,0,32,32
2,Jared Goff,LAR,QB,9,NYG,311,4,0,0,0,0,0,0,0,0,0,0,28.4,28.44
3,Alvin Kamara,NO,RB,9,TB,0,0,0,68,1,6,84,1,0,0,0,0,28.2,28.2
4,Tyrod Taylor,BUF,QB,9,NYJ,285,2,0,35,1,0,0,0,0,0,0,0,26.9,26.9
5,Dak Prescott,DAL,QB,9,KC,249,2,0,27,1,0,0,0,0,0,0,0,26.7,26.66
6,Marvin Jones Jr.,DET,WR,9,GB,0,0,0,0,0,7,107,2,0,0,0,0,26.2,26.2
7,Russell Wilson,SEA,QB,9,WAS,297,2,2,77,0,0,0,0,0,0,0,0,25.6,25.58
8,Corey Clement,PHI,RB,9,DEN,0,0,0,51,2,1,15,1,0,0,0,0,25.1,25.1
9,Carson Wentz,PHI,QB,9,DEN,199,4,0,8,0,0,0,0,0,0,0,0,24.8,24.76
10,Jay Cutler,MIA,QB,9,LV,311,3,0,0,0,0,0,0,0,0,0,0,24.4,24.44
11,Matt Forte,NYJ,RB,9,BUF,0,0,0,77,2,4,19,0,0,0,0,0,23.6,23.6
12,Todd Gurley II,LAR,RB,9,NYG,0,0,0,59,2,2,45,0,0,0,0,0,23.4,23.4
12,Alshon Jeffery,PHI,WR,9,DEN,0,0,0,0,0,6,84,2,0,0,0,0,23.4,23.4
14,Matthew Stafford,DET,QB,9,GB,361,2,0,0,0,0,0,0,0,0,0,0,22.4,22.44
15,Robert Woods,LAR,WR,9,NYG,0,0,0,0,0,4,70,2,0,0,0,0,21,21
16,Doug Baldwin,SEA,WR,9,WAS,0,0,0,0,0,7,108,1,0,0,0,0,20.3,20.3
17,Cam Newton,CAR,QB,9,ATL,137,0,0,86,1,0,0,0,0,0,0,0,20.1,20.08
18,Jacoby Brissett,IND,QB,9,HOU,308,2,0,12,0,0,0,0,0,0,0,0,19.5,19.52
19,Matt Ryan,ATL,QB,9,CAR,313,2,1,-1,0,0,0,0,0,0,0,0,19.4,19.42
19,Alex Smith,KC,QB,9,DAL,263,2,1,19,0,0,0,0,0,0,0,0,19.4,19.42
21,Marshawn Lynch,LV,RB,9,MIA,0,0,0,57,2,2,6,0,0,0,0,0,19.3,19.3
22,Drew Brees,NO,QB,9,TB,263,2,0,2,0,0,0,0,0,0,0,0,18.7,18.72
23,Terrance Williams,DAL,WR,9,KC,0,0,0,0,0,9,141,0,0,0,0,0,18.6,18.6
24,C.J. Beathard,SF,QB,9,ARI,294,0,1,16,1,0,0,0,0,0,0,0,18.4,18.36
25,Brett Hundley,GB,QB,9,DET,245,0,0,22,1,0,0,0,0,0,0,0,18,18
25,New Orleans Saints,NO,DST,9,TB,0,0,0,0,0,0,0,0,4,0,0,1,18,18
27,Christian McCaffrey,CAR,RB,9,ATL,0,0,0,66,1,5,28,0,0,0,0,0,17.9,17.9
28,DeAndre Hopkins,HOU,WR,9,IND,0,0,0,0,0,6,86,1,0,0,0,0,17.6,17.6
28,Deonte Thompson,BUF,WR,9,NYJ,0,0,0,0,0,7,81,1,0,0,0,0,17.6,17.6
30,Marqise Lee,JAX,WR,9,CIN,0,0,0,0,0,8,75,1,0,0,0,0,17.5,17.5
31,Julius Thomas,MIA,TE,9,LV,0,0,0,0,0,6,84,1,0,0,0,0,17.4,17.4
32,Joe Flacco,BAL,QB,9,TEN,261,2,2,7,0,0,0,0,0,0,0,0,17.1,17.14
33,Greg Zuerlein,LAR,K,9,NYG,0,0,0,0,0,0,0,0,0,0,0,0,17,17
33,Demaryius Thomas,DEN,WR,9,PHI,0,0,0,0,0,8,70,1,0,0,0,0,17,17
33,Carlos Hyde,SF,RB,9,ARI,0,0,0,41,0,9,84,0,0,0,0,0,17,17
36,Josh McCown,NYJ,QB,9,BUF,140,1,0,13,1,0,0,0,0,0,0,0,16.9,16.9
37,Travis Kelce,KC,TE,9,DAL,0,0,0,0,0,7,73,1,0,0,0,0,16.8,16.8
38,Jared Cook,LV,TE,9,MIA,0,0,0,0,0,8,126,0,0,0,0,0,16.6,16.6
39,Cole Beasley,DAL,WR,9,KC,0,0,0,0,0,4,24,2,0,0,0,0,16.4,16.4
40,Blake Bortles,JAX,QB,9,CIN,259,1,0,20,0,0,0,0,0,0,0,0,16.4,16.36
41,Marcus Mariota,TEN,QB,9,BAL,218,2,1,6,0,0,0,0,0,0,0,0,16.3,16.32
42,Javorius Allen,BAL,RB,9,TEN,0,0,0,21,0,7,44,1,0,0,0,0,16,16
43,Adrian Peterson,ARI,RB,9,SF,0,0,0,159,0,2,8,0,0,0,0,0,15.7,15.7
44,Ezekiel Elliott,DAL,RB,9,KC,0,0,0,93,1,0,0,0,0,0,0,0,15.3,15.3
45,Drew Stanton,ARI,QB,9,SF,201,2,1,2,0,0,0,0,0,0,0,0,15.2,15.24
46,Damien Williams,MIA,RB,9,LV,0,0,0,14,0,6,47,1,0,0,0,0,15.1,15.1
47,Brandon McManus,DEN,K,9,PHI,0,0,0,0,0,0,0,0,0,0,0,0,15,15
47,Rishard Matthews,TEN,WR,9,BAL,0,0,0,0,0,4,70,1,0,0,0,0,15,15
47,Evan Engram,NYG,TE,9,LAR,0,0,0,0,0,4,70,1,0,0,0,0,15,15
50,Julio Jones,ATL,WR,9,CAR,0,0,0,0,0,6,118,0,0,0,0,0,14.8,14.8
50,Golden Tate,DET,WR,9,GB,0,0,0,0,0,7,113,0,0,0,0,0,14.8,14.8
52,Derek Carr,LV,QB,9,MIA,300,1,1,-3,0,0,0,0,0,0,0,0,14.7,14.7
53,Tyreek Hill,KC,WR,9,DAL,0,0,0,9,0,2,64,1,0,0,0,0,14.3,14.3
53,Zay Jones,BUF,WR,9,NYJ,0,0,0,0,0,6,53,1,0,0,0,0,14.3,14.3
55,Ted Ginn Jr.,NO,WR,9,TB,0,0,0,0,0,4,59,1,0,0,0,0,13.9,13.9
56,Rob Kelley,WAS,RB,9,SEA,0,0,0,18,2,0,0,0,0,0,0,0,13.8,13.8
56,Eli Manning,NYG,QB,9,LAR,220,2,1,0,0,0,0,0,0,0,0,0,13.8,13.8
56,Jeremy Maclin,BAL,WR,9,TEN,0,0,0,0,0,8,98,0,0,0,0,0,13.8,13.8
59,Jay Ajayi,PHI,RB,9,DEN,0,0,0,77,1,0,0,0,0,0,0,0,13.7,13.7
60,Kenyan Drake,MIA,RB,9,LV,0,0,0,69,0,6,35,0,0,0,0,0,13.4,13.4
61,Sammy Watkins,LAR,WR,9,NYG,0,0,0,0,0,1,67,1,0,0,0,0,13.2,13.2
62,Josh Lambo,JAX,K,9,CIN,0,0,0,0,0,0,0,0,0,0,0,0,13,13
62,New York Jets,NYJ,DST,9,BUF,0,0,0,0,0,0,0,0,7,0,3,3,13,13
62,Arizona Cardinals,ARI,DST,9,SF,0,0,0,0,0,0,0,0,5,1,1,1,13,13
62,Matt Prater,DET,K,9,GB,0,0,0,0,0,0,0,0,0,0,0,0,13,13
66,Robby Anderson,NYJ,WR,9,BUF,0,0,0,0,0,4,48,1,0,0,0,0,12.8,12.8
67,Jarvis Landry,MIA,WR,9,LV,0,0,0,0,0,6,32,1,0,0,0,0,12.2,12.2
68,Joe Mixon,CIN,RB,9,JAX,0,0,0,31,1,3,15,0,0,0,0,0,12.1,12.1
69,Jacksonville Jaguars,JAX,DST,9,CIN,0,0,0,0,0,0,0,0,2,0,0,0,12,12
69,Houston Texans,HOU,DST,9,IND,0,0,0,0,0,0,0,0,3,0,1,1,12,12
71,Chris Ivory,JAX,RB,9,CIN,0,0,0,70,0,3,34,0,0,0,0,0,11.9,11.9
72,Trey Burton,PHI,TE,9,DEN,0,0,0,0,0,2,41,1,0,0,0,0,11.1,11.1
72,Devin Funchess,CAR,WR,9,ATL,0,0,0,0,0,5,86,0,0,0,0,0,11.1,11.1
74,Giorgio Tavecchio,LV,K,9,MIA,0,0,0,0,0,0,0,0,0,0,0,0,11,11
74,Seattle Seahawks,SEA,DST,9,WAS,0,0,0,0,0,0,0,0,6,0,0,1,11,11
74,Chandler Catanzaro,NYJ,K,9,BUF,0,0,0,0,0,0,0,0,0,0,0,0,11,11
74,Los Angeles Rams,LAR,DST,9,NYG,0,0,0,0,0,0,0,0,2,1,2,2,11,11
