Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Aaron Rodgers,GB,QB,7,LV,429,5,0,6,1,0,0,0,0,0,0,0,43.8,43.76
2,Marvin Jones Jr.,DET,WR,7,MIN,0,0,0,0,0,10,93,4,0,0,0,0,38.3,38.3
3,Chase Edmonds,ARI,RB,7,NYG,0,0,0,126,3,2,24,0,0,0,0,0,34,34
4,Matthew Stafford,DET,QB,7,MIN,364,4,1,0,0,0,0,0,0,0,0,0,29.6,29.56
5,Latavius Murray,NO,RB,7,CHI,0,0,0,119,2,5,31,0,0,0,0,0,29.5,29.5
6,Kirk Cousins,MIN,QB,7,DET,338,4,0,-3,0,0,0,0,0,0,0,0,29.2,29.22
7,Darren Waller,LV,TE,7,GB,0,0,0,0,0,7,126,2,0,0,0,0,28.1,28.1
8,Jacoby Brissett,IND,QB,7,HOU,326,4,0,6,0,0,0,0,0,0,0,0,27.6,27.64
9,Dalvin Cook,MIN,RB,7,DET,0,0,0,142,2,1,7,0,0,0,0,0,27.4,27.4
10,Zach Pascal,IND,WR,7,HOU,0,0,0,0,0,6,106,2,0,0,0,0,25.6,25.6
11,Jared Goff,LAR,QB,7,ATL,268,2,0,3,1,0,0,0,0,0,0,0,25,25.02
12,New England Patriots,NE,DST,7,NYJ,0,0,0,0,0,0,0,0,1,4,1,2,25,25
13,Kansas City Chiefs,KC,DST,7,DEN,0,0,0,0,0,0,0,0,9,0,3,1,24,24
14,Ezekiel Elliott,DAL,RB,7,PHI,0,0,0,111,1,6,36,0,0,0,0,0,23.7,23.7
15,Lamar Jackson,BAL,QB,7,SEA,143,0,0,116,1,0,0,0,0,0,0,0,23.3,23.32
16,Austin Ekeler,LAC,RB,7,TEN,0,0,0,7,0,7,118,1,0,0,0,0,22,22
17,Sony Michel,NE,RB,7,NYJ,0,0,0,42,3,1,-8,0,0,0,0,0,21.9,21.9
18,Ryan Fitzpatrick,MIA,QB,7,BUF,282,1,1,13,1,0,0,0,0,0,0,0,21.6,21.58
19,Dak Prescott,DAL,QB,7,PHI,239,1,1,30,1,0,0,0,0,0,0,0,21.6,21.56
20,Andy Dalton,CIN,QB,7,JAX,276,1,3,33,1,0,0,0,0,0,0,0,21.3,21.34
21,Josh Allen,BUF,QB,7,MIA,202,2,0,32,0,0,0,0,0,0,0,0,21.3,21.28
22,Philip Rivers,LAC,QB,7,TEN,329,2,0,0,0,0,0,0,0,0,0,0,21.2,21.16
23,DeAndre Hopkins,HOU,WR,7,IND,0,0,0,0,0,9,106,1,0,0,0,0,21.1,21.1
24,Gardner Minshew,JAX,QB,7,CIN,255,1,0,48,0,0,0,0,0,0,0,0,21,21
24,Los Angeles Rams,LAR,DST,7,ATL,0,0,0,0,0,0,0,0,5,1,4,2,21,21
26,Marquez Valdes-Scantling,GB,WR,7,LV,0,0,0,0,0,2,133,1,0,0,0,0,20.3,20.3
27,Ryan Tannehill,TEN,QB,7,LAC,312,2,1,7,0,0,0,0,0,0,0,0,20.2,20.18
28,Mitchell Trubisky,CHI,QB,7,NO,251,2,0,0,0,0,0,0,0,0,0,0,20,20.04
29,Teddy Bridgewater,NO,QB,7,CHI,281,2,0,7,0,0,0,0,0,0,0,0,19.9,19.94
30,Allen Robinson II,CHI,WR,7,NO,0,0,0,0,0,10,87,1,0,0,0,0,19.7,19.7
31,Baltimore Ravens,BAL,DST,7,SEA,0,0,0,0,0,0,0,0,1,1,0,1,18,18
32,Stefon Diggs,MIN,WR,7,DET,0,0,0,0,0,7,143,0,0,0,0,0,17.8,17.8
33,Michael Thomas,NO,WR,7,CHI,0,0,0,0,0,9,131,0,0,0,0,0,17.6,17.6
34,Deshaun Watson,HOU,QB,7,IND,308,1,2,32,0,0,0,0,0,0,0,0,17.5,17.52
35,Alex Erickson,CIN,WR,7,JAX,0,0,0,-2,0,8,137,0,0,0,0,0,17.5,17.5
36,Derrick Henry,TEN,RB,7,LAC,0,0,0,90,1,1,18,0,0,0,0,0,17.3,17.3
37,Jacksonville Jaguars,JAX,DST,7,CIN,0,0,0,0,0,0,0,0,2,3,1,1,17,17
37,Corey Davis,TEN,WR,7,LAC,0,0,0,0,0,6,80,1,0,0,0,0,17,17
39,John Brown,BUF,WR,7,MIA,0,0,0,0,0,5,83,1,0,0,0,0,16.8,16.8
40,Derek Carr,LV,QB,7,GB,293,2,1,0,0,0,0,0,0,0,0,0,16.7,16.72
41,T.Y. Hilton,IND,WR,7,HOU,0,0,0,0,0,6,74,1,0,0,0,0,16.4,16.4
42,Aaron Jones,GB,RB,7,LV,0,0,0,50,0,4,33,1,0,0,0,0,16.3,16.3
43,Leonard Fournette,JAX,RB,7,CIN,0,0,0,131,0,2,14,0,0,0,0,0,15.5,15.5
43,Saquon Barkley,NYG,RB,7,ARI,0,0,0,72,1,3,8,0,0,0,0,0,15.5,15.5
45,Russell Wilson,SEA,QB,7,BAL,241,1,1,27,0,0,0,0,0,0,0,0,15.3,15.34
46,Greg Zuerlein,LAR,K,7,ATL,0,0,0,0,0,0,0,0,0,0,0,0,15,15
46,Brett Maher,DAL,K,7,PHI,0,0,0,0,0,0,0,0,0,0,0,0,15,15
46,Dallas Cowboys,DAL,DST,7,PHI,0,0,0,0,0,0,0,0,3,1,2,3,15,15
46,San Francisco 49ers,SF,DST,7,WAS,0,0,0,0,0,0,0,0,3,0,1,1,15,15
46,Eric Ebron,IND,TE,7,HOU,0,0,0,0,0,4,70,1,0,0,0,0,15,15
51,Tyreek Hill,KC,WR,7,DEN,0,0,0,0,0,3,74,1,0,0,0,0,14.9,14.9
51,Josh Jacobs,LV,RB,7,GB,0,0,0,124,0,3,10,0,0,0,0,0,14.9,14.9
53,Royce Freeman,DEN,RB,7,KC,0,0,0,35,1,4,32,0,0,0,0,0,14.7,14.7
53,Dede Westbrook,JAX,WR,7,CIN,0,0,0,14,0,6,103,0,0,0,0,0,14.7,14.7
55,Jimmy Graham,GB,TE,7,LV,0,0,0,0,0,4,65,1,0,0,0,0,14.5,14.5
55,Danny Amendola,DET,WR,7,MIN,0,0,0,0,0,8,105,0,0,0,0,0,14.5,14.5
57,Kyle Rudolph,MIN,TE,7,DET,0,0,0,0,0,5,58,1,0,0,0,0,14.3,14.3
57,Tyler Lockett,SEA,WR,7,BAL,0,0,0,-3,0,5,61,1,0,0,0,0,14.3,14.3
59,Arizona Cardinals,ARI,DST,7,NYG,0,0,0,0,0,0,0,0,8,1,3,2,14,14
59,DeVante Parker,MIA,WR,7,BUF,0,0,0,0,0,5,55,1,0,0,0,0,14,14
61,Amari Cooper,DAL,WR,7,PHI,0,0,0,0,0,5,106,0,0,0,0,0,13.1,13.1
62,Josh Lambo,JAX,K,7,CIN,0,0,0,0,0,0,0,0,0,0,0,0,13,13
62,Stephen Hauschka,BUF,K,7,MIA,0,0,0,0,0,0,0,0,0,0,0,0,13,13
62,Gerald Everett,LAR,TE,7,ATL,0,0,0,0,0,4,50,1,0,0,0,0,13,13
65,Tom Brady,NE,QB,7,NYJ,249,1,1,0,0,0,0,0,0,0,0,0,13,12.96
66,Dallas Goedert,PHI,TE,7,DAL,0,0,0,0,0,4,69,1,0,0,0,0,12.9,12.9
67,Hunter Henry,LAC,TE,7,TEN,0,0,0,0,0,6,97,0,0,0,0,0,12.7,12.7
68,Austin Hooper,ATL,TE,7,LAR,0,0,0,0,0,4,46,1,0,0,0,0,12.6,12.6
69,Kenny Stills,HOU,WR,7,IND,0,0,0,0,0,4,105,0,0,0,0,0,12.5,12.5
70,Jake Kumerow,GB,WR,7,LV,0,0,0,0,0,2,54,1,0,0,0,0,12.4,12.4
71,Julio Jones,ATL,WR,7,LAR,0,0,0,0,0,6,93,0,0,0,0,0,12.3,12.3
72,Phillip Dorsett II,NE,WR,7,NYJ,0,0,0,0,0,3,46,1,0,0,0,0,12.1,12.1
73,Harrison Butker,KC,K,7,DEN,0,0,0,0,0,0,0,0,0,0,0,0,12,12
73,Justin Tucker,BAL,K,7,SEA,0,0,0,0,0,0,0,0,0,0,0,0,12,12
73,Ka'imi Fairbairn,HOU,K,7,IND,0,0,0,0,0,0,0,0,0,0,0,0,12,12
73,Bisi Johnson,MIN,WR,7,DET,0,0,0,0,0,4,40,1,0,0,0,0,12,12
77,Todd Gurley II,LAR,RB,7,ATL,0,0,0,41,0,1,13,1,0,0,0,0,11.9,11.9
78,Chris Conley,JAX,WR,7,CIN,0,0,0,0,0,3,83,0,0,0,0,0,11.8,11.8
78,Josh Hill,NO,TE,7,CHI,0,0,0,0,0,3,43,1,0,0,0,0,11.8,11.8
80,Courtland Sutton,DEN,WR,7,KC,0,0,0,0,0,6,87,0,0,0,0,0,11.7,11.7
81,Daniel Jones,NYG,QB,7,ARI,223,1,1,35,0,0,0,0,0,0,0,0,11.4,11.42
82,Jamaal Williams,GB,RB,7,LV,0,0,0,5,0,4,26,1,0,0,0,0,11.1,11.1
82,Robert Woods,LAR,WR,7,ATL,0,0,0,6,0,5,80,0,0,0,0,0,11.1,11.1
84,Buffalo Bills,BUF,DST,7,MIA,0,0,0,0,0,0,0,0,1,1,2,1,11,11
84,Golden Tate,NYG,WR,7,ARI,0,0,0,0,0,6,80,0,0,0,0,0,11,11
86,Keke Coutee,HOU,WR,7,IND,0,0,0,4,1,3,25,0,0,0,0,0,10.4,10.4
87,Rhett Ellison,NYG,TE,7,ARI,0,0,0,0,0,2,33,1,0,0,0,0,10.3,10.3
88,Julian Edelman,NE,WR,7,NYJ,0,0,0,20,0,7,47,0,0,0,0,0,10.2,10.2
89,Chase McLaughlin,LAC,K,7,TEN,0,0,0,0,0,0,0,0,0,0,0,0,10,10
89,Jason Myers,SEA,K,7,BAL,0,0,0,0,0,0,0,0,0,0,0,0,10,10
89,Wil Lutz,NO,K,7,CHI,0,0,0,0,0,0,0,0,0,0,0,0,10,10
89,Zane Gonzalez,ARI,K,7,NYG,0,0,0,0,0,0,0,0,0,0,0,0,10,10
89,New York Giants,NYG,DST,7,ARI,0,0,0,0,0,0,0,0,2,0,0,0,10,10
89,New Orleans Saints,NO,DST,7,CHI,0,0,0,0,0,0,0,0,2,0,2,2,10,10
95,Mecole Hardman,KC,WR,7,DEN,0,0,0,0,0,2,28,1,0,0,0,0,9.8,9.8
96,Foster Moreau,LV,TE,7,GB,0,0,0,0,0,2,24,1,0,0,0,0,9.4,9.4
96,James White,NE,RB,7,NYJ,0,0,0,0,0,7,59,0,0,0,0,0,9.4,9.4
98,Cordarrelle Patterson,CHI,RB,7,NO,0,0,0,2,0,2,21,0,0,0,0,0,9.3,9.3
99,Preston Williams,MIA,WR,7,BUF,0,0,0,0,0,6,82,0,0,0,0,0,9.2,9.2
99,A.J. Brown,TEN,WR,7,LAC,0,0,0,-2,0,6,64,0,0,0,0,0,9.2,9.2
101,Cole Beasley,BUF,WR,7,MIA,0,0,0,0,0,3,16,1,0,0,0,0,9.1,9.1
102,Robbie Gould,SF,K,7,WAS,0,0,0,0,0,0,0,0,0,0,0,0,9,9
102,Indianapolis Colts,IND,DST,7,HOU,0,0,0,0,0,0,0,0,3,2,0,0,9,9
102,Adam Thielen,MIN,WR,7,DET,0,0,0,0,0,1,25,1,0,0,0,0,9,9
102,Taysom Hill,NO,QB,7,CHI,0,0,0,21,0,1,4,1,0,0,0,0,9,9
106,Tajaé Sharpe,TEN,WR,7,LAC,0,0,0,0,0,2,19,1,0,0,0,0,8.9,8.9
106,Chris Carson,SEA,RB,7,BAL,0,0,0,65,0,3,9,0,0,0,0,0,8.9,8.9
108,DJ Chark Jr.,JAX,WR,7,CIN,0,0,0,20,0,3,53,0,0,0,0,0,8.8,8.8
109,LeSean McCoy,KC,RB,7,DEN,0,0,0,64,0,2,12,0,0,0,0,0,8.6,8.6
110,Matt Moore,KC,QB,7,DEN,117,1,0,-1,0,0,0,0,0,0,0,0,8.6,8.58
111,Emmanuel Sanders,DEN,WR,7,KC,0,0,0,0,0,5,60,0,0,0,0,0,8.5,8.5
111,Irv Smith Jr.,MIN,TE,7,DET,0,0,0,0,0,5,60,0,0,0,0,0,8.5,8.5
113,Kendrick Bourne,SF,WR,7,WAS,0,0,0,0,0,3,69,0,0,0,0,0,8.4,8.4
114,Le'Veon Bell,NYJ,RB,7,NE,0,0,0,70,0,1,6,0,0,0,0,0,8.1,8.1
114,Keenan Allen,LAC,WR,7,TEN,0,0,0,0,0,4,61,0,0,0,0,0,8.1,8.1
116,Tavon Austin,DAL,WR,7,PHI,0,0,0,20,1,0,0,0,0,0,0,0,8,8
116,Washington Football Team,WAS,DST,7,SF,0,0,0,0,0,0,0,0,2,1,0,0,8,8
116,Auden Tate,CIN,WR,7,JAX,0,0,0,0,0,3,65,0,0,0,0,0,8,8
116,Cooper Kupp,LAR,WR,7,ATL,0,0,0,0,0,6,50,0,0,0,0,0,8,8
120,C.J. Ham,MIN,FB,7,DET,0,0,0,9,0,1,5,1,0,0,0,0,7.9,7.9
120,Melvin Gordon III,LAC,RB,7,TEN,0,0,0,32,0,2,-3,1,0,0,0,0,7.9,7.9
120,Jonnu Smith,TEN,TE,7,LAC,0,0,0,0,0,3,64,0,0,0,0,0,7.9,7.9
120,Brandin Cooks,LAR,WR,7,ATL,0,0,0,0,0,4,59,0,0,0,0,0,7.9,7.9
124,Carson Wentz,PHI,QB,7,DAL,191,1,1,12,0,0,0,0,0,0,0,0,7.8,7.84
125,Ty Johnson,DET,RB,7,MIN,0,0,0,29,0,4,28,0,0,0,0,0,7.7,7.7
126,Jaron Brown,SEA,WR,7,BAL,0,0,0,0,0,3,60,0,0,0,0,0,7.5,7.5
127,Travis Kelce,KC,TE,7,DEN,0,0,0,0,0,6,44,0,0,0,0,0,7.4,7.4
