Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Kareem Hunt,KC,RB,7,CIN,0,0,0,86,1,5,55,2,0,0,0,0,34.6,34.6
2,Patrick Mahomes,KC,QB,7,CIN,358,4,1,45,0,0,0,0,0,0,0,0,33.8,33.82
3,Mitchell Trubisky,CHI,QB,7,NE,333,2,2,81,1,0,0,0,0,0,0,0,33.4,33.42
4,Denver Broncos,DEN,DST,7,ARI,0,0,0,0,0,0,0,0,6,3,3,2,32,32
5,Marlon Mack,IND,RB,7,BUF,0,0,0,126,1,2,33,1,0,0,0,0,30.9,30.9
6,Todd Gurley II,LAR,RB,7,SF,0,0,0,63,2,4,23,1,0,0,0,0,28.6,28.6
7,James White,NE,RB,7,CHI,0,0,0,40,0,8,57,2,0,0,0,0,25.7,25.7
8,Cam Newton,CAR,QB,7,PHI,269,2,0,49,0,0,0,0,0,0,0,0,25.7,25.66
9,Emmanuel Sanders,DEN,WR,7,ARI,28,1,0,0,0,6,102,1,0,0,0,0,24.3,24.32
10,Odell Beckham Jr.,NYG,WR,7,ATL,0,0,0,-1,0,8,143,1,0,0,0,0,24.2,24.2
11,Trey Burton,CHI,TE,7,NE,0,0,0,0,0,9,126,1,0,0,0,0,23.1,23.1
12,Los Angeles Rams,LAR,DST,7,SF,0,0,0,0,0,0,0,0,7,2,2,2,23,23
13,John Brown,BAL,WR,7,NO,0,0,0,0,0,7,134,1,0,0,0,0,22.9,22.9
14,Andrew Luck,IND,QB,7,BUF,156,4,0,5,0,0,0,0,0,0,0,0,22.7,22.74
15,Tom Brady,NE,QB,7,CHI,277,3,1,6,0,0,0,0,0,0,0,0,22.7,22.68
16,Jameis Winston,TB,QB,7,CLE,365,0,2,55,1,0,0,0,0,0,0,0,22.1,22.1
17,Saquon Barkley,NYG,RB,7,ATL,0,0,0,43,1,9,51,0,0,0,0,0,21.9,21.9
18,Adam Thielen,MIN,WR,7,NYJ,0,0,0,0,0,9,110,1,0,0,0,0,21.5,21.5
19,Latavius Murray,MIN,RB,7,NYJ,0,0,0,69,2,2,14,0,0,0,0,0,21.3,21.3
20,Baker Mayfield,CLE,QB,7,TB,215,2,0,43,0,0,0,0,0,0,0,0,20.9,20.9
21,Jarvis Landry,CLE,WR,7,TB,0,0,0,0,0,10,97,1,0,0,0,0,20.7,20.7
22,Eli Manning,NYG,QB,7,ATL,399,1,0,7,0,0,0,0,0,0,0,0,20.7,20.66
23,Dak Prescott,DAL,QB,7,WAS,273,1,0,33,1,0,0,0,0,0,0,0,20.2,20.22
24,Philip Rivers,LAC,QB,7,TEN,306,2,0,-1,0,0,0,0,0,0,0,0,20.1,20.14
25,Tyrell Williams,LAC,WR,7,TEN,0,0,0,0,0,4,118,1,0,0,0,0,19.8,19.8
26,Joe Flacco,BAL,QB,7,NO,279,2,0,4,0,0,0,0,0,0,0,0,19.6,19.56
27,Matt Ryan,ATL,QB,7,NYG,379,1,0,1,0,0,0,0,0,0,0,0,19.3,19.26
28,Sterling Shepard,NYG,WR,7,ATL,0,0,0,0,0,5,167,0,0,0,0,0,19.2,19.2
29,Indianapolis Colts,IND,DST,7,BUF,0,0,0,0,0,0,0,0,2,3,2,2,19,19
29,New England Patriots,NE,DST,7,CHI,0,0,0,0,0,0,0,0,2,2,0,0,19,19
31,Kerryon Johnson,DET,RB,7,MIA,0,0,0,158,0,2,21,0,0,0,0,0,18.9,18.9
32,Carson Wentz,PHI,QB,7,CAR,310,2,0,3,0,0,0,0,0,0,0,0,18.7,18.7
33,Dion Lewis,TEN,RB,7,LAC,0,0,0,91,0,6,64,0,0,0,0,0,18.5,18.5
34,Michael Roberts,DET,TE,7,MIA,0,0,0,0,0,3,48,2,0,0,0,0,18.3,18.3
34,George Kittle,SF,TE,7,LAR,0,0,0,0,0,5,98,1,0,0,0,0,18.3,18.3
34,Alshon Jeffery,PHI,WR,7,CAR,0,0,0,0,0,7,88,1,0,0,0,0,18.3,18.3
34,Tarik Cohen,CHI,RB,7,NE,0,0,0,14,0,8,69,1,0,0,0,0,18.3,18.3
34,Zach Ertz,PHI,TE,7,CAR,0,0,0,0,0,9,138,0,0,0,0,0,18.3,18.3
39,Brock Osweiler,MIA,QB,7,DET,239,2,0,2,0,0,0,0,0,0,0,0,17.8,17.76
40,Matthew Stafford,DET,QB,7,MIA,217,2,0,9,0,0,0,0,0,0,0,0,17.6,17.58
41,Kirk Cousins,MIN,QB,7,NYJ,241,2,0,-1,0,0,0,0,0,0,0,0,17.5,17.54
42,Danny Amendola,MIA,WR,7,DET,0,0,0,0,0,6,84,1,0,0,0,0,17.4,17.4
43,Tyreek Hill,KC,WR,7,CIN,0,0,0,8,0,7,68,1,0,0,0,0,17.1,17.1
44,Drew Brees,NO,QB,7,BAL,212,2,0,3,0,0,0,0,0,0,0,0,16.8,16.78
45,Kenyan Drake,MIA,RB,7,DET,0,0,0,72,1,4,15,0,0,0,0,0,16.7,16.7
46,T.Y. Hilton,IND,WR,7,BUF,0,0,0,0,0,4,25,2,0,0,0,0,16.5,16.5
47,Jared Goff,LAR,QB,7,SF,202,2,0,4,0,0,0,0,0,0,0,0,16.5,16.48
48,Lamar Miller,HOU,RB,7,JAX,0,0,0,100,1,1,-1,0,0,0,0,0,16.4,16.4
48,Michael Thomas,NO,WR,7,BAL,0,0,0,0,0,7,69,1,0,0,0,0,16.4,16.4
50,Marcus Mariota,TEN,QB,7,LAC,237,1,1,38,0,0,0,0,0,0,0,0,16.3,16.28
51,Phillip Lindsay,DEN,RB,7,ARI,0,0,0,90,1,1,6,0,0,0,0,0,16.1,16.1
52,Matt Prater,DET,K,7,MIA,0,0,0,0,0,0,0,0,0,0,0,0,16,16
52,Giorgio Tavecchio,ATL,K,7,NYG,0,0,0,0,0,0,0,0,0,0,0,0,16,16
54,Michael Gallup,DAL,WR,7,WAS,0,0,0,0,0,3,81,1,0,0,0,0,15.6,15.6
55,T.J. Yeldon,JAX,RB,7,HOU,0,0,0,28,0,5,40,1,0,0,0,0,15.3,15.3
56,Tevin Coleman,ATL,RB,7,NYG,0,0,0,50,1,2,32,0,0,0,0,0,15.2,15.2
56,Devin Funchess,CAR,WR,7,PHI,0,0,0,0,0,6,62,1,0,0,0,0,15.2,15.2
56,A.J. Green,CIN,WR,7,KC,0,0,0,0,0,7,117,0,0,0,0,0,15.2,15.2
59,Brandin Cooks,LAR,WR,7,SF,0,0,0,7,0,4,64,1,0,0,0,0,15.1,15.1
60,Sam Darnold,NYJ,QB,7,MIN,206,1,3,18,1,0,0,0,0,0,0,0,15,15.04
61,Washington Football Team,WAS,DST,7,DAL,0,0,0,0,0,0,0,0,4,0,2,2,15,15
62,Alvin Kamara,NO,RB,7,BAL,0,0,0,64,1,2,11,0,0,0,0,0,14.5,14.5
63,Mike Evans,TB,WR,7,CLE,0,0,0,0,0,7,107,0,0,0,0,0,14.2,14.2
64,Nick Chubb,CLE,RB,7,TB,0,0,0,80,1,0,0,0,0,0,0,0,14,14
64,Houston Texans,HOU,DST,7,JAX,0,0,0,0,0,0,0,0,4,1,3,2,14,14
64,Kansas City Chiefs,KC,DST,7,CIN,0,0,0,0,0,0,0,0,2,1,1,0,14,14
64,Cleveland Browns,CLE,DST,7,TB,0,0,0,0,0,0,0,0,4,2,2,2,14,14
