Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Deshaun Watson,HOU,QB,4,TEN,283,4,1,24,1,0,0,0,0,0,0,0,34.7,34.72
2,Cam Newton,CAR,QB,4,NE,316,3,1,44,1,0,0,0,0,0,0,0,34,34.04
3,Le'Veon Bell,PIT,RB,4,BAL,0,0,0,144,2,4,42,0,0,0,0,0,32.6,32.6
4,Todd Gurley II,LAR,RB,4,DAL,0,0,0,121,0,7,94,1,0,0,0,0,31,31
5,Russell Wilson,SEA,QB,4,IND,295,2,2,38,1,0,0,0,0,0,0,0,29.6,29.6
6,Andy Dalton,CIN,QB,4,CLE,286,4,0,29,0,0,0,0,0,0,0,0,28.3,28.34
7,Ezekiel Elliott,DAL,RB,4,LAR,0,0,0,85,1,4,54,1,0,0,0,0,27.9,27.9
8,Eli Manning,NYG,QB,4,TB,288,2,0,22,1,0,0,0,0,0,0,0,27.7,27.72
9,Alex Smith,KC,QB,4,WAS,293,1,0,56,1,0,0,0,0,0,0,0,27.3,27.32
10,Lamar Miller,HOU,RB,4,TEN,0,0,0,75,1,4,56,1,0,0,0,0,27.1,27.1
11,Bilal Powell,NYJ,RB,4,JAX,0,0,0,163,1,4,27,0,0,0,0,0,27,27
11,Greg Zuerlein,LAR,K,4,DAL,0,0,0,0,0,0,0,0,0,0,0,0,27,27
13,Jameis Winston,TB,QB,4,NYG,332,3,0,12,0,0,0,0,0,0,0,0,26.5,26.48
14,Dak Prescott,DAL,QB,4,LAR,252,3,1,25,0,0,0,0,0,0,0,0,23.6,23.58
15,Aaron Rodgers,GB,QB,4,CHI,179,4,0,-1,0,0,0,0,0,0,0,0,23.1,23.06
16,Leonard Fournette,JAX,RB,4,NYJ,0,0,0,86,0,4,59,1,0,0,0,0,22.5,22.5
16,Devin Funchess,CAR,WR,4,NE,0,0,0,0,0,7,70,2,0,0,0,0,22.5,22.5
18,Tyler Kroft,CIN,TE,4,CLE,0,0,0,0,0,6,68,2,0,0,0,0,21.8,21.8
19,DeAndre Hopkins,HOU,WR,4,TEN,0,0,0,0,0,10,107,1,0,0,0,0,21.7,21.7
20,Jordy Nelson,GB,WR,4,CHI,0,0,0,0,0,4,75,2,0,0,0,0,21.5,21.5
21,Travis Kelce,KC,TE,4,WAS,0,0,0,3,0,7,111,1,0,0,0,0,20.9,20.9
22,Kirk Cousins,WAS,QB,4,KC,220,2,0,38,0,0,0,0,0,0,0,0,20.6,20.6
22,Alvin Kamara,NO,RB,4,MIA,0,0,0,25,0,10,71,1,0,0,0,0,20.6,20.6
24,Tom Brady,NE,QB,4,CAR,307,2,0,2,0,0,0,0,0,0,0,0,20.5,20.48
25,Elijah McGuire,NYJ,RB,4,JAX,0,0,0,93,1,2,38,0,0,0,0,0,20.1,20.1
26,Seattle Seahawks,SEA,DST,4,IND,0,0,0,0,0,0,0,0,3,1,1,1,20,20
26,Tyrell Williams,LAC,WR,4,PHI,0,0,0,0,0,5,115,1,0,0,0,0,20,20
28,Philip Rivers,LAC,QB,4,PHI,347,2,0,0,0,0,0,0,0,0,0,0,19.9,19.88
29,Drew Brees,NO,QB,4,MIA,268,2,0,3,0,0,0,0,0,0,0,0,19,19.02
30,Houston Texans,HOU,DST,4,TEN,0,0,0,0,0,0,0,0,2,4,1,1,19,19
30,J.D. McKissic,SEA,RB,4,IND,0,0,0,38,1,1,27,1,0,0,0,0,19,19
30,Jake Elliott,PHI,K,4,LAC,0,0,0,0,0,0,0,0,0,0,0,0,19,19
33,Michael Thomas,NO,WR,4,MIA,0,0,0,0,0,8,89,1,0,0,0,0,18.9,18.9
34,Ameer Abdullah,DET,RB,4,MIN,0,0,0,94,1,3,15,0,0,0,0,0,18.4,18.4
35,Jared Goff,LAR,QB,4,DAL,255,2,0,-1,0,0,0,0,0,0,0,0,18.1,18.1
36,Ka'imi Fairbairn,HOU,K,4,TEN,0,0,0,0,0,0,0,0,0,0,0,0,18,18
36,Robbie Gould,SF,K,4,ARI,0,0,0,0,0,0,0,0,0,0,0,0,18,18
38,William Fuller V,HOU,WR,4,TEN,0,0,0,4,0,4,35,2,0,0,0,0,17.9,17.9
39,Marcus Mariota,TEN,QB,4,HOU,96,0,2,39,2,0,0,0,0,0,0,0,17.7,17.74
40,Carson Palmer,ARI,QB,4,SF,357,1,1,1,0,0,0,0,0,0,0,0,17.4,17.38
41,Duke Johnson,CLE,RB,4,CIN,0,0,0,13,1,9,47,0,0,0,0,0,16.5,16.5
42,Keenan Allen,LAC,WR,4,PHI,0,0,0,0,0,5,138,0,0,0,0,0,16.3,16.3
43,Tevin Coleman,ATL,RB,4,BUF,0,0,0,77,0,4,65,0,0,0,0,0,16.2,16.2
44,LeGarrette Blount,PHI,RB,4,LAC,0,0,0,136,0,1,20,0,0,0,0,0,16.1,16.1
45,New Orleans Saints,NO,DST,4,MIA,0,0,0,0,0,0,0,0,4,1,2,0,16,16
45,Cameron Brate,TB,TE,4,NYG,0,0,0,0,0,4,80,1,0,0,0,0,16,16
47,Wendell Smallwood,PHI,RB,4,LAC,0,0,0,34,1,4,45,0,0,0,0,0,15.9,15.9
48,AJ Derby,DEN,TE,4,LV,0,0,0,0,0,4,75,1,0,0,0,0,15.5,15.5
49,Giovani Bernard,CIN,RB,4,CLE,0,0,0,12,0,3,67,1,0,0,0,0,15.4,15.4
50,Mike Evans,TB,WR,4,NYG,0,0,0,0,0,5,67,1,0,0,0,0,15.2,15.2
51,Carson Wentz,PHI,QB,4,LAC,242,1,0,14,0,0,0,0,0,0,0,0,15.1,15.08
52,Stephen Hauschka,BUF,K,4,ATL,0,0,0,0,0,0,0,0,0,0,0,0,15,15
52,Jacksonville Jaguars,JAX,DST,4,NYJ,0,0,0,0,0,0,0,0,5,1,1,1,15,15
52,Stephen Gostkowski,NE,K,4,CAR,0,0,0,0,0,0,0,0,0,0,0,0,15,15
52,Phil Dawson,ARI,K,4,SF,0,0,0,0,0,0,0,0,0,0,0,0,15,15
56,Andre Ellington,ARI,RB,4,SF,0,0,0,18,0,9,86,0,0,0,0,0,14.9,14.9
57,Devonta Freeman,ATL,RB,4,BUF,0,0,0,58,1,2,20,0,0,0,0,0,14.8,14.8
57,A.J. Green,CIN,WR,4,CLE,0,0,0,0,0,5,63,1,0,0,0,0,14.8,14.8
59,Terrelle Pryor,WAS,WR,4,KC,0,0,0,0,0,3,70,1,0,0,0,0,14.5,14.5
59,Cooper Kupp,LAR,WR,4,DAL,0,0,0,0,0,5,60,1,0,0,0,0,14.5,14.5
59,Chris Hogan,NE,WR,4,CAR,0,0,0,0,0,5,60,1,0,0,0,0,14.5,14.5
59,Mike Wallace,BAL,WR,4,PIT,0,0,0,0,0,6,55,1,0,0,0,0,14.5,14.5
59,Jaron Brown,ARI,WR,4,SF,0,0,0,0,0,8,105,0,0,0,0,0,14.5,14.5
64,Kareem Hunt,KC,RB,4,WAS,0,0,0,101,0,4,20,0,0,0,0,0,14.1,14.1
65,Pittsburgh Steelers,PIT,DST,4,BAL,0,0,0,0,0,0,0,0,4,2,0,1,14,14
65,Buffalo Bills,BUF,DST,4,ATL,0,0,0,0,0,0,0,0,1,2,3,1,14,14
67,Charles Clay,BUF,TE,4,ATL,0,0,0,0,0,5,112,0,0,0,0,0,13.7,13.7
68,Jordan Howard,CHI,RB,4,GB,0,0,0,53,1,2,10,0,0,0,0,0,13.3,13.3
68,O.J. Howard,TB,TE,4,NYG,0,0,0,0,0,2,63,1,0,0,0,0,13.3,13.3
70,CJ Anderson,DEN,RB,4,LV,0,0,0,95,0,4,17,0,0,0,0,0,13.2,13.2
70,Danny Amendola,NE,WR,4,CAR,0,0,0,0,0,6,42,1,0,0,0,0,13.2,13.2
72,Kendall Wright,CHI,WR,4,GB,0,0,0,0,0,4,51,1,0,0,0,0,13.1,13.1
73,Chandler Catanzaro,NYJ,K,4,JAX,0,0,0,0,0,0,0,0,0,0,0,0,13,13
74,Johnny Holton,LV,WR,4,DEN,0,0,0,0,0,1,64,1,0,0,0,0,12.9,12.9
75,Austin Ekeler,LAC,RB,4,PHI,0,0,0,35,1,2,23,0,0,0,0,0,12.8,12.8
76,Odell Beckham Jr.,NYG,WR,4,TB,0,0,0,0,0,7,90,0,0,0,0,0,12.5,12.5
77,Tyrod Taylor,BUF,QB,4,ATL,182,1,0,12,0,0,0,0,0,0,0,0,12.5,12.48
78,Blake Bortles,JAX,QB,4,NYJ,140,1,1,38,0,0,0,0,0,0,0,0,12.4,12.4
78,Randall Cobb,GB,WR,4,CHI,0,0,0,0,0,4,44,1,0,0,0,0,12.4,12.4
78,Kelvin Benjamin,CAR,WR,4,NE,0,0,0,0,0,4,104,0,0,0,0,0,12.4,12.4
81,LeSean McCoy,BUF,RB,4,ATL,0,0,0,76,0,3,32,0,0,0,0,0,12.3,12.3
81,Dez Bryant,DAL,WR,4,LAR,0,0,0,0,0,5,98,0,0,0,0,0,12.3,12.3
81,Stefon Diggs,MIN,WR,4,DET,0,0,0,0,0,5,98,0,0,0,0,0,12.3,12.3
84,JuJu Smith-Schuster,PIT,WR,4,BAL,0,0,0,0,0,3,47,1,0,0,0,0,12.2,12.2
85,Detroit Lions,DET,DST,4,MIN,0,0,0,0,0,0,0,0,2,0,2,3,12,12
85,Wayne Gallman,NYG,RB,4,TB,0,0,0,42,0,2,8,1,0,0,0,0,12,12
85,Harrison Butker,KC,K,4,WAS,0,0,0,0,0,0,0,0,0,0,0,0,12,12
85,Carlos Hyde,SF,RB,4,ARI,0,0,0,68,0,5,27,0,0,0,0,0,12,12
89,Dalvin Cook,MIN,RB,4,DET,0,0,0,66,1,1,8,0,0,0,0,0,11.9,11.9
90,Jacquizz Rodgers,TB,RB,4,NYG,0,0,0,83,0,2,25,0,0,0,0,0,11.8,11.8
91,Ben Roethlisberger,PIT,QB,4,BAL,216,1,1,-1,0,0,0,0,0,0,0,0,11.5,11.54
92,Joe Flacco,BAL,QB,4,PIT,235,1,2,0,0,0,0,0,0,0,0,0,11.4,11.4
93,Trevor Siemian,DEN,QB,4,LV,179,1,0,1,0,0,0,0,0,0,0,0,11.3,11.26
94,Larry Fitzgerald,ARI,WR,4,SF,0,0,0,0,0,4,32,1,0,0,0,0,11.2,11.2
95,Tyler Lockett,SEA,WR,4,IND,0,0,0,24,0,4,67,0,0,0,0,0,11.1,11.1
96,Brandon McManus,DEN,K,4,LV,0,0,0,0,0,0,0,0,0,0,0,0,11,11
97,Aaron Jones,GB,RB,4,CHI,0,0,0,49,1,0,0,0,0,0,0,0,10.9,10.9
97,Fozzy Whittaker,CAR,RB,4,NE,0,0,0,0,0,3,34,1,0,0,0,0,10.9,10.9
99,Zach Ertz,PHI,TE,4,LAC,0,0,0,0,0,5,81,0,0,0,0,0,10.6,10.6
100,Jacoby Brissett,IND,QB,4,SEA,157,1,1,33,0,0,0,0,0,0,0,0,10.6,10.58
101,Donte Moncrief,IND,WR,4,SEA,0,0,0,0,0,3,30,1,0,0,0,0,10.5,10.5
102,Matt Ryan,ATL,QB,4,BUF,242,1,2,8,0,0,0,0,0,0,0,0,10.5,10.48
103,Alshon Jeffery,PHI,WR,4,LAC,0,0,0,0,0,3,29,1,0,0,0,0,10.4,10.4
103,James White,NE,RB,4,CAR,0,0,0,7,0,10,47,0,0,0,0,0,10.4,10.4
105,Matthew Stafford,DET,QB,4,MIN,209,0,0,-3,0,0,0,0,0,0,0,0,10.1,10.06
106,Green Bay Packers,GB,DST,4,CHI,0,0,0,0,0,0,0,0,1,2,1,2,10,10
106,Graham Gano,CAR,K,4,NE,0,0,0,0,0,0,0,0,0,0,0,0,10,10
106,Wil Lutz,NO,K,4,MIA,0,0,0,0,0,0,0,0,0,0,0,0,10,10
106,Rob Gronkowski,NE,TE,4,CAR,0,0,0,0,0,4,80,0,0,0,0,0,10,10
106,Adam Humphries,TB,WR,4,NYG,0,0,0,0,0,6,70,0,0,0,0,0,10,10
111,Vernon Davis,WAS,TE,4,KC,0,0,0,0,0,2,89,0,0,0,0,0,9.9,9.9
111,DeVante Parker,MIA,WR,4,NO,0,0,0,0,0,6,69,0,0,0,0,0,9.9,9.9
113,Derek Carr,LV,QB,4,DEN,143,1,0,0,0,0,0,0,0,0,0,0,9.7,9.72
114,Frank Gore,IND,RB,4,SEA,0,0,0,46,0,3,34,0,0,0,0,0,9.5,9.5
115,James Hanna,DAL,TE,4,LAR,0,0,0,0,0,1,28,1,0,0,0,0,9.3,9.3
116,Dion Lewis,NE,RB,4,CAR,0,0,0,18,1,1,9,0,0,0,0,0,9.2,9.2
116,Evan Engram,NYG,TE,4,TB,0,0,0,0,0,6,62,0,0,0,0,0,9.2,9.2
118,Denver Broncos,DEN,DST,4,LV,0,0,0,0,0,0,0,0,3,1,0,0,9,9
118,Kansas City Chiefs,KC,DST,4,WAS,0,0,0,0,0,0,0,0,0,0,1,1,9,9
118,San Francisco 49ers,SF,DST,4,ARI,0,0,0,0,0,0,0,0,6,1,0,0,9,9
118,Blair Walsh,SEA,K,4,IND,0,0,0,0,0,0,0,0,0,0,0,0,9,9
118,Dustin Hopkins,WAS,K,4,KC,0,0,0,0,0,0,0,0,0,0,0,0,9,9
118,Chris Boswell,PIT,K,4,BAL,0,0,0,0,0,0,0,0,0,0,0,0,9,9
124,Albert Wilson,KC,WR,4,WAS,0,0,0,6,0,4,63,0,0,0,0,0,8.9,8.9
124,Ricardo Louis,CLE,WR,4,CIN,0,0,0,0,0,5,64,0,0,0,0,0,8.9,8.9
126,Case Keenum,MIN,QB,4,DET,219,0,0,0,0,0,0,0,0,0,0,0,8.8,8.76
127,Brian Hoyer,SF,QB,4,ARI,234,0,1,3,0,0,0,0,0,0,0,0,8.7,8.66
128,Ryan Grant,WAS,WR,4,KC,0,0,0,0,0,2,16,1,0,0,0,0,8.6,8.6
128,Hunter Henry,LAC,TE,4,PHI,0,0,0,0,0,2,16,1,0,0,0,0,8.6,8.6
130,Davante Adams,GB,WR,4,CHI,0,0,0,0,0,2,13,1,0,0,0,0,8.3,8.3
131,Justin Hardy,ATL,WR,4,BUF,0,0,0,0,0,2,12,1,0,0,0,0,8.2,8.2
131,Brice Butler,DAL,WR,4,LAR,0,0,0,0,0,2,12,1,0,0,0,0,8.2,8.2
131,Mark Ingram II,NO,RB,4,MIA,0,0,0,45,0,4,17,0,0,0,0,0,8.2,8.2
134,Rhett Ellison,NYG,TE,4,TB,0,0,0,0,0,2,11,1,0,0,0,0,8.1,8.1
134,Chris Carson,SEA,RB,4,IND,0,0,0,42,0,3,24,0,0,0,0,0,8.1,8.1
134,Jimmy Graham,SEA,TE,4,IND,0,0,0,0,0,4,61,0,0,0,0,0,8.1,8.1
137,Jason Myers,JAX,K,4,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,8,8
137,Cincinnati Bengals,CIN,DST,4,CLE,0,0,0,0,0,0,0,0,2,1,0,0,8,8
137,Indianapolis Colts,IND,DST,4,SEA,0,0,0,0,0,0,0,0,3,2,0,0,8,8
137,Randy Bullock,CIN,K,4,CLE,0,0,0,0,0,0,0,0,0,0,0,0,8,8
137,Jordan Matthews,BUF,TE,4,ATL,0,0,0,0,0,2,10,1,0,0,0,0,8,8
137,Paul Richardson,SEA,WR,4,IND,0,0,0,0,0,3,65,0,0,0,0,0,8,8
143,Sterling Shepard,NYG,WR,4,TB,0,0,0,0,0,5,54,0,0,0,0,0,7.9,7.9
144,Chris Johnson,ARI,RB,4,SF,0,0,0,32,0,3,31,0,0,0,0,0,7.8,7.8
145,Ed Dickson,CAR,TE,4,NE,0,0,0,0,0,3,62,0,0,0,0,0,7.7,7.7
146,Alfred Morris,DAL,RB,4,LAR,0,0,0,76,0,0,0,0,0,0,0,0,7.6,7.6
146,Brandon Marshall,NYG,WR,4,TB,0,0,0,0,0,6,46,0,0,0,0,0,7.6,7.6
148,Austin Hooper,ATL,TE,4,BUF,0,0,0,0,0,5,50,0,0,0,0,0,7.5,7.5
149,Robby Anderson,NYJ,WR,4,JAX,0,0,0,0,0,3,59,0,0,0,0,0,7.4,7.4
149,Javorius Allen,BAL,RB,4,PIT,0,0,0,7,0,6,37,0,0,0,0,0,7.4,7.4
151,Nelson Agholor,PHI,WR,4,LAC,0,0,0,0,0,3,58,0,0,0,0,0,7.3,7.3
152,Bruce Ellington,HOU,WR,4,TEN,0,0,0,13,0,3,44,0,0,0,0,0,7.2,7.2
152,Trent Taylor,SF,WR,4,ARI,0,0,0,0,0,5,47,0,0,0,0,0,7.2,7.2
154,Luke Willson,SEA,TE,4,IND,0,0,0,0,0,1,6,1,0,0,0,0,7.1,7.1
155,Nick Folk,TB,K,4,NYG,0,0,0,0,0,0,0,0,0,0,0,0,7,7
155,Minnesota Vikings,MIN,DST,4,DET,0,0,0,0,0,0,0,0,6,0,1,0,7,7
155,Doug Baldwin,SEA,WR,4,IND,0,0,0,0,0,3,35,0,0,0,0,0,7,7
155,Jarvis Landry,MIA,WR,4,NO,0,0,0,0,0,6,40,0,0,0,0,0,7,7
159,Christian McCaffrey,CAR,RB,4,NE,0,0,0,16,0,4,33,0,0,0,0,0,6.9,6.9
159,Seth Roberts,LV,WR,4,DEN,0,0,0,0,0,4,49,0,0,0,0,0,6.9,6.9
159,Deonte Thompson,CHI,WR,4,GB,0,0,0,0,0,5,44,0,0,0,0,0,6.9,6.9
159,Martellus Bennett,GB,TE,4,CHI,0,0,0,0,0,6,39,0,0,0,0,0,6.9,6.9
163,Robert Turbin,IND,RB,4,SEA,0,0,0,8,1,0,0,0,0,0,0,0,6.8,6.8
163,TJ Jones,DET,WR,4,MIN,0,0,0,0,0,3,33,0,0,0,0,0,6.8,6.8
163,Tarik Cohen,CHI,RB,4,GB,0,0,0,24,0,4,24,0,0,0,0,0,6.8,6.8
163,Joe Mixon,CIN,RB,4,CLE,0,0,0,29,0,4,19,0,0,0,0,0,6.8,6.8
163,Benjamin Watson,BAL,TE,4,PIT,0,0,0,0,0,5,43,0,0,0,0,0,6.8,6.8
168,Mike Glennon,CHI,QB,4,GB,218,1,2,0,0,0,0,0,0,0,0,0,6.7,6.72
169,Kenny Britt,CLE,WR,4,CIN,0,0,0,0,0,3,52,0,0,0,0,0,6.7,6.7
169,Aldrick Robinson,SF,WR,4,ARI,0,0,0,0,0,3,52,0,0,0,0,0,6.7,6.7
171,Delanie Walker,TEN,TE,4,HOU,0,0,0,0,0,3,51,0,0,0,0,0,6.6,6.6
171,Austin Seferian-Jenkins,NYJ,TE,4,JAX,0,0,0,0,0,4,46,0,0,0,0,0,6.6,6.6
173,Cordarrelle Patterson,LV,RB,4,DEN,0,0,0,2,0,6,33,0,0,0,0,0,6.5,6.5
174,Rishard Matthews,TEN,WR,4,HOU,0,0,0,0,0,3,49,0,0,0,0,0,6.4,6.4
174,Adam Thielen,MIN,WR,4,DET,0,0,0,0,0,5,59,0,0,0,0,0,6.4,6.4
176,Martavis Bryant,PIT,WR,4,BAL,0,0,0,0,0,3,48,0,0,0,0,0,6.3,6.3
177,Alex Collins,BAL,RB,4,PIT,0,0,0,82,0,0,0,0,0,0,0,0,6.2,6.2
177,John Brown,ARI,WR,4,SF,0,0,0,0,0,3,47,0,0,0,0,0,6.2,6.2
177,Tyler Higbee,LAR,TE,4,DAL,0,0,0,0,0,3,47,0,0,0,0,0,6.2,6.2
177,Allen Hurns,JAX,WR,4,NYJ,0,0,0,0,0,4,42,0,0,0,0,0,6.2,6.2
177,Jeremy Kerley,NYJ,WR,4,JAX,0,0,0,0,0,5,37,0,0,0,0,0,6.2,6.2
182,Jared Cook,LV,TE,4,DEN,0,0,0,0,0,3,46,0,0,0,0,0,6.1,6.1
182,Nick Boyle,BAL,TE,4,PIT,0,0,0,0,0,5,36,0,0,0,0,0,6.1,6.1
184,Jay Cutler,MIA,QB,4,NO,164,0,1,5,0,0,0,0,0,0,0,0,6.1,6.06
185,Dan Bailey,DAL,K,4,LAR,0,0,0,0,0,0,0,0,0,0,0,0,6,6
185,Matt Prater,DET,K,4,MIN,0,0,0,0,0,0,0,0,0,0,0,0,6,6
185,Younghoe Koo,LAC,K,4,PHI,0,0,0,0,0,0,0,0,0,0,0,0,6,6
185,Arizona Cardinals,ARI,DST,4,SF,0,0,0,0,0,0,0,0,3,1,1,0,6,6
185,Darren Fells,DET,TE,4,MIN,0,0,0,0,0,4,40,0,0,0,0,0,6,6
185,Tyreek Hill,KC,WR,4,WAS,0,0,0,0,0,5,35,0,0,0,0,0,6,6
185,Charcandrick West,KC,RB,4,WAS,0,0,0,2,0,5,33,0,0,0,0,0,6,6
192,Josh McCown,NYJ,QB,4,JAX,224,0,1,0,0,0,0,0,0,0,0,0,6,5.96
193,Jay Ajayi,MIA,RB,4,NO,0,0,0,46,0,1,8,0,0,0,0,0,5.9,5.9
194,Brandin Cooks,NE,WR,4,CAR,0,0,0,4,0,3,38,0,0,0,0,0,5.7,5.7
