Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
340,Chris Peace,LAC,OLB,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Christian Miller,CAR,DE,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Lerentee McCray,JAX,DE,1,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Mack Hollins,PHI,WR,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Mack Wilson,CLE,OLB,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Ian Thomas,CAR,TE,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Albert McClellan,NYJ,ILB,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Corey Thompson,BUF,OLB,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Thomas Hennessy,NYJ,LS,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Braxton Berrios,NYJ,WR,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Tanzel Smart,LAR,DL,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,KhaDarel Hodge,CLE,WR,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kyle Rudolph,MIN,TE,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Rick Lovato,PHI,LS,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Nick Dzubnar,LAC,OLB,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Josh Reynolds,LAR,WR,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Natrez Patrick,LAR,OLB,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Brandon Dillon,MIN,TE,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kurt Coleman,BUF,FS,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Nate Hairston,NYJ,CB,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kaare Vedvik,NYJ,K,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Corey Clement,PHI,RB,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Chris Hogan,CAR,WR,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Chris Manhertz,CAR,TE,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Stephen Weatherly,MIN,DE,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Branden Jackson,SEA,DE,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kevin Peterson,ARI,CB,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Devin Smith,DAL,WR,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Akeem King,SEA,CB,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Josh Tupou,CIN,DT,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Aaron Brewer,ARI,LS,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kenjon Barner,ATL,RB,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Ray-Ray McCloud,CAR,WR,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kendall Sheffield,ATL,CB,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Luke Stocker,ATL,TE,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Irv Smith Jr.,MIN,TE,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Marcus Epps,MIN,FS,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Daniel Brown,NYJ,TE,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Amani Hooker,TEN,FS,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Matthias Farley,NYJ,FS,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Bronson Kaufusi,NYJ,TE,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Reid Ferguson,BUF,LS,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Malik Jackson,PHI,DT,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Cole Mazza,LAC,LS,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Lano Hill,SEA,SS,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jermaine Grace,ATL,OLB,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
