Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Todd Gurley II,LAR,RB,15,SEA,0,0,0,152,3,3,28,1,0,0,0,0,43.5,43.5
2,Kareem Hunt,KC,RB,15,LAC,0,0,0,155,1,7,51,1,0,0,0,0,36.1,36.1
3,Cam Newton,CAR,QB,15,GB,242,4,0,58,0,0,0,0,0,0,0,0,31.5,31.48
4,Mark Ingram II,NO,RB,15,NYJ,0,0,0,74,2,5,77,0,0,0,0,0,29.6,29.6
5,Eli Manning,NYG,QB,15,PHI,434,3,1,0,0,0,0,0,0,0,0,0,28.4,28.36
6,Keelan Cole,JAX,WR,15,HOU,0,0,0,0,0,7,186,1,0,0,0,0,28.1,28.1
7,Devonta Freeman,ATL,RB,15,TB,0,0,0,126,1,5,68,0,0,0,0,0,27.9,27.9
8,Melvin Gordon III,LAC,RB,15,KC,0,0,0,78,1,6,91,0,0,0,0,0,25.9,25.9
9,Jameis Winston,TB,QB,15,ATL,299,3,0,18,0,0,0,0,0,0,0,0,25.8,25.76
10,Nick Foles,PHI,QB,15,NYG,237,4,0,0,0,0,0,0,0,0,0,0,25.5,25.48
11,Brock Osweiler,DEN,QB,15,IND,194,2,0,17,1,0,0,0,0,0,0,0,25.5,25.46
12,Sterling Shepard,NYG,WR,15,PHI,0,0,0,0,0,11,139,1,0,0,0,0,25.4,25.4
13,Blake Bortles,JAX,QB,15,HOU,326,3,0,0,0,0,0,0,0,0,0,0,25,25.04
14,Le'Veon Bell,PIT,RB,15,NE,0,0,0,117,1,5,48,0,0,0,0,0,25,25
15,Aaron Rodgers,GB,QB,15,CAR,290,3,3,43,0,0,0,0,0,0,0,0,24.9,24.9
16,Robbie Gould,SF,K,15,TEN,0,0,0,0,0,0,0,0,0,0,0,0,24,24
17,LeSean McCoy,BUF,RB,15,MIA,0,0,0,50,1,4,46,1,0,0,0,0,23.6,23.6
18,Rob Gronkowski,NE,TE,15,PIT,0,0,0,0,0,9,168,0,0,0,0,0,23.3,23.3
19,Tyrod Taylor,BUF,QB,15,MIA,224,1,0,42,1,0,0,0,0,0,0,0,23.2,23.16
20,Christian McCaffrey,CAR,RB,15,GB,0,0,0,63,0,6,73,1,0,0,0,0,22.6,22.6
21,Greg Olsen,CAR,TE,15,GB,0,0,0,0,0,9,116,1,0,0,0,0,22.1,22.1
22,Joe Flacco,BAL,QB,15,CLE,288,1,0,3,1,0,0,0,0,0,0,0,21.8,21.82
23,Kenyan Drake,MIA,RB,15,BUF,0,0,0,78,1,6,35,0,0,0,0,0,20.3,20.3
24,Jaydon Mickens,JAX,WR,15,HOU,0,0,0,0,0,4,61,2,0,0,0,0,20.1,20.1
25,Baltimore Ravens,BAL,DST,15,CLE,0,0,0,0,0,0,0,0,2,2,2,2,20,20
25,Tavarres King,NYG,WR,15,PHI,0,0,0,0,0,2,70,2,0,0,0,0,20,20
27,Michael Thomas,NO,WR,15,NYJ,0,0,0,0,0,9,93,1,0,0,0,0,19.8,19.8
28,Case Keenum,MIN,QB,15,CIN,236,2,0,20,0,0,0,0,0,0,0,0,19.4,19.44
29,Michael Crabtree,LV,WR,15,DAL,0,0,0,0,0,7,39,2,0,0,0,0,19.4,19.4
30,Ben Roethlisberger,PIT,QB,15,NE,281,2,1,10,0,0,0,0,0,0,0,0,19.2,19.24
31,Jimmy Garoppolo,SF,QB,15,TEN,381,1,0,0,0,1,-6,0,0,0,0,0,19.1,19.14
32,Alex Smith,KC,QB,15,LAC,231,2,0,13,0,0,0,0,0,0,0,0,18.5,18.54
33,Rishard Matthews,TEN,WR,15,SF,0,0,0,0,0,6,95,1,0,0,0,0,18.5,18.5
34,Drew Brees,NO,QB,15,NYJ,281,2,1,-1,0,0,0,0,0,0,0,0,18.1,18.14
35,Marcus Mariota,TEN,QB,15,SF,241,2,0,4,0,0,0,0,0,0,0,0,18,18.04
36,Alvin Kamara,NO,RB,15,NYJ,0,0,0,44,0,6,45,1,0,0,0,0,17.9,17.9
