Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Cam Newton,CAR,QB,10,MIA,254,4,0,95,0,0,0,0,0,0,0,0,35.7,35.66
2,Robert Woods,LAR,WR,10,HOU,0,0,0,0,0,8,171,2,0,0,0,0,33.1,33.1
3,Mark Ingram II,NO,RB,10,BUF,0,0,0,131,3,0,0,0,0,0,0,0,31.1,31.1
4,Kirk Cousins,WAS,QB,10,MIN,327,1,1,5,2,0,0,0,0,0,0,0,28.6,28.58
5,DeMarco Murray,TEN,RB,10,CIN,0,0,0,42,2,4,30,1,0,0,0,0,27.2,27.2
6,Adam Thielen,MIN,WR,10,WAS,0,0,0,0,0,8,166,1,0,0,0,0,26.6,26.6
7,Jared Goff,LAR,QB,10,HOU,355,3,0,3,0,0,0,0,0,0,0,0,26.5,26.5
8,Case Keenum,MIN,QB,10,WAS,304,4,2,-1,0,0,0,0,0,0,0,0,26.1,26.06
9,C.J. Beathard,SF,QB,10,NYG,288,2,1,15,1,0,0,0,0,0,0,0,26,26.02
10,Austin Ekeler,LAC,RB,10,JAX,0,0,0,42,0,5,77,2,0,0,0,0,24.4,24.4
11,DeShone Kizer,CLE,QB,10,DET,232,1,1,57,1,0,0,0,0,0,0,0,24,23.98
12,Devin Funchess,CAR,WR,10,MIA,0,0,0,0,0,5,92,2,0,0,0,0,23.7,23.7
13,Matthew Stafford,DET,QB,10,CLE,249,3,1,17,0,0,0,0,0,0,0,0,22.7,22.66
14,Tom Brady,NE,QB,10,DEN,266,3,0,0,0,0,0,0,0,0,0,0,22.6,22.64
15,Alvin Kamara,NO,RB,10,BUF,0,0,0,106,1,5,32,0,0,0,0,0,22.3,22.3
16,A.J. Green,CIN,WR,10,TEN,0,0,0,0,0,5,115,1,0,0,0,0,20,20
17,Chester Rogers,IND,WR,10,PIT,0,0,0,3,0,6,104,1,0,0,0,0,19.7,19.7
17,Sterling Shepard,NYG,WR,10,SF,0,0,0,0,0,11,142,0,0,0,0,0,19.7,19.7
19,Russell Wilson,SEA,QB,10,ARI,238,2,0,19,0,0,0,0,0,0,0,0,19.4,19.42
20,Ben Roethlisberger,PIT,QB,10,IND,236,2,1,5,0,0,0,0,0,0,0,0,18.9,18.94
21,Golden Tate,DET,WR,10,CLE,0,0,0,0,0,6,97,1,0,0,0,0,18.7,18.7
22,Marcus Mariota,TEN,QB,10,CIN,264,1,1,51,0,0,0,0,0,0,0,0,18.7,18.66
23,Christian McCaffrey,CAR,RB,10,MIA,0,0,0,23,1,3,27,1,0,0,0,0,18.5,18.5
23,Brandon LaFell,CIN,WR,10,TEN,0,0,0,0,0,6,95,1,0,0,0,0,18.5,18.5
25,Blake Bortles,JAX,QB,10,LAC,273,1,2,34,0,0,0,0,0,0,0,0,18.3,18.32
26,JuJu Smith-Schuster,PIT,WR,10,IND,0,0,0,0,0,5,97,1,0,0,0,0,18.2,18.2
27,Jimmy Graham,SEA,TE,10,ARI,0,0,0,0,0,6,27,2,0,0,0,0,17.7,17.7
28,Davante Adams,GB,WR,10,CHI,0,0,0,0,0,5,90,1,0,0,0,0,17.5,17.5
28,Dion Lewis,NE,RB,10,DEN,0,0,0,55,1,0,0,0,0,0,0,0,17.5,17.5
30,Greg Zuerlein,LAR,K,10,HOU,0,0,0,0,0,0,0,0,0,0,0,0,17,17
31,Eli Manning,NYG,QB,10,SF,273,2,0,0,0,0,0,0,0,0,0,0,16.9,16.92
32,Emmanuel Sanders,DEN,WR,10,NE,0,0,0,0,0,6,137,0,0,0,0,0,16.7,16.7
33,Marquise Goodwin,SF,WR,10,NYG,0,0,0,18,0,1,83,1,0,0,0,0,16.6,16.6
33,Todd Gurley II,LAR,RB,10,HOU,0,0,0,68,0,6,68,0,0,0,0,0,16.6,16.6
35,Jacoby Brissett,IND,QB,10,PIT,222,2,1,7,0,0,0,0,0,0,0,0,16.6,16.58
36,Robby Anderson,NYJ,WR,10,TB,0,0,0,0,0,4,85,1,0,0,0,0,16.5,16.5
36,Marqise Lee,JAX,WR,10,LAC,0,0,0,0,0,6,55,1,0,0,0,0,16.5,16.5
38,Philip Rivers,LAC,QB,10,JAX,235,2,1,-1,0,0,0,0,0,0,0,0,16.3,16.3
38,Larry Fitzgerald,ARI,WR,10,SEA,0,0,0,0,0,10,113,0,0,0,0,0,16.3,16.3
40,Kenyan Drake,MIA,RB,10,CAR,0,0,0,82,1,2,10,0,0,0,0,0,16.2,16.2
40,Michael Thomas,NO,WR,10,BUF,0,0,0,0,0,9,117,0,0,0,0,0,16.2,16.2
42,Atlanta Falcons,ATL,DST,10,DAL,0,0,0,0,0,0,0,0,8,0,2,2,16,16
42,Isaiah Crowell,CLE,RB,10,DET,0,0,0,90,1,1,5,0,0,0,0,0,16,16
44,Mitchell Trubisky,CHI,QB,10,GB,297,1,0,0,0,0,0,0,0,0,0,0,15.9,15.88
45,Stefon Diggs,MIN,WR,10,WAS,0,0,0,0,0,4,78,1,0,0,0,0,15.8,15.8
46,Matt Ryan,ATL,QB,10,DAL,215,2,1,0,0,0,0,0,0,0,0,0,15.6,15.6
47,Jay Cutler,MIA,QB,10,CAR,213,2,1,-1,0,0,0,0,0,0,0,0,15.4,15.42
48,Tevin Coleman,ATL,RB,10,DAL,0,0,0,83,1,1,5,0,0,0,0,0,15.3,15.3
49,Drew Stanton,ARI,QB,10,SEA,273,1,0,1,0,0,0,0,0,0,0,0,15,15.02
