Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Derrick Henry,TEN,RB,14,JAX,0,0,0,238,4,0,0,0,0,0,0,0,47.8,47.8
2,Amari Cooper,DAL,WR,14,PHI,0,0,0,0,0,10,217,3,0,0,0,0,44.7,44.7
3,George Kittle,SF,TE,14,DEN,0,0,0,0,0,7,210,1,0,0,0,0,30.5,30.5
4,JuJu Smith-Schuster,PIT,WR,14,LV,0,0,0,0,0,8,130,2,0,0,0,0,29,29
5,Saquon Barkley,NYG,RB,14,WAS,0,0,0,170,1,4,27,0,0,0,0,0,27.7,27.7
6,Tom Brady,NE,QB,14,MIA,358,3,0,3,0,0,0,0,0,0,0,0,26.6,26.62
7,Julio Jones,ATL,WR,14,GB,0,0,0,0,0,8,106,2,0,0,0,0,26.6,26.6
8,Dak Prescott,DAL,QB,14,PHI,455,3,2,2,0,0,0,0,0,0,0,0,26.4,26.4
9,Josh Johnson,WAS,QB,14,NYG,195,1,1,45,1,0,0,0,0,0,0,0,25.3,25.3
10,Ezekiel Elliott,DAL,RB,14,PHI,0,0,0,113,0,12,79,0,0,0,0,0,25.2,25.2
11,Christian McCaffrey,CAR,RB,14,CLE,0,0,0,63,2,6,38,0,0,0,0,0,25.1,25.1
12,Andrew Luck,IND,QB,14,HOU,399,2,1,16,0,0,0,0,0,0,0,0,24.6,24.56
13,T.Y. Hilton,IND,WR,14,HOU,0,0,0,0,0,9,199,0,0,0,0,0,24.4,24.4
14,Ryan Tannehill,MIA,QB,14,NE,265,3,0,13,0,0,0,0,0,0,0,0,23.9,23.9
15,Kenny Stills,MIA,WR,14,NE,0,0,0,0,0,8,135,1,0,0,0,0,23.5,23.5
16,Jarvis Landry,CLE,WR,14,CAR,0,0,0,54,1,3,57,1,0,0,0,0,22.6,22.6
17,Joe Mixon,CIN,RB,14,LAC,0,0,0,111,1,5,27,0,0,0,0,0,22.3,22.3
18,Patrick Mahomes,KC,QB,14,BAL,377,2,1,-3,0,0,0,0,0,0,0,0,21.8,21.78
19,Matt Ryan,ATL,QB,14,GB,262,3,1,0,0,0,0,0,0,0,0,0,21.5,21.48
20,Rob Gronkowski,NE,TE,14,MIA,0,0,0,0,0,8,107,1,0,0,0,0,20.7,20.7
21,Josh Allen,BUF,QB,14,NYJ,206,0,2,101,1,0,0,0,0,0,0,0,20.3,20.34
22,Aaron Rodgers,GB,QB,14,ATL,196,2,0,44,0,0,0,0,0,0,0,0,20.2,20.24
23,Jameis Winston,TB,QB,14,NO,213,2,1,47,0,0,0,0,0,0,0,0,20.2,20.22
24,Chicago Bears,CHI,DST,14,LAR,0,0,0,0,0,0,0,0,3,4,1,0,20,20
25,Eli Manning,NYG,QB,14,WAS,197,3,0,0,0,0,0,0,0,0,0,0,19.9,19.88
