Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Mitchell Trubisky,CHI,QB,10,DET,355,3,0,18,1,0,0,0,0,0,0,0,36,36
2,Ben Roethlisberger,PIT,QB,10,CAR,328,5,0,27,0,0,0,0,0,0,0,0,35.8,35.82
3,Nick Chubb,CLE,RB,10,ATL,0,0,0,176,1,3,33,1,0,0,0,0,34.4,34.4
4,Christian McCaffrey,CAR,RB,10,PIT,0,0,0,77,1,5,61,2,0,0,0,0,34.3,34.3
5,David Johnson,ARI,RB,10,KC,0,0,0,98,1,7,85,1,0,0,0,0,33.8,33.8
6,Ezekiel Elliott,DAL,RB,10,PHI,0,0,0,151,1,6,36,1,0,0,0,0,33.7,33.7
7,Zach Ertz,PHI,TE,10,DAL,0,0,0,0,0,14,145,2,0,0,0,0,33.5,33.5
8,Aaron Jones,GB,RB,10,MIA,0,0,0,145,2,3,27,0,0,0,0,0,30.7,30.7
9,Tyreek Hill,KC,WR,10,ARI,0,0,0,20,0,7,117,2,0,0,0,0,29.2,29.2
10,Drew Brees,NO,QB,10,CIN,265,3,0,3,1,0,0,0,0,0,0,0,28.9,28.9
11,Allen Robinson II,CHI,WR,10,DET,0,0,0,0,0,6,133,2,0,0,0,0,28.3,28.3
12,Matt Breida,SF,RB,10,NYG,0,0,0,101,1,3,31,1,0,0,0,0,26.7,26.7
13,Eric Ebron,IND,TE,10,JAX,0,0,0,2,1,3,69,2,0,0,0,0,26.6,26.6
14,Russell Wilson,SEA,QB,10,LAR,176,3,0,92,0,0,0,0,0,0,0,0,26.2,26.24
15,Leonard Fournette,JAX,RB,10,IND,0,0,0,53,1,5,56,1,0,0,0,0,25.4,25.4
16,Melvin Gordon III,LAC,RB,10,LV,0,0,0,93,0,5,72,1,0,0,0,0,25,25
17,LeSean McCoy,BUF,RB,10,NYJ,0,0,0,113,2,1,5,0,0,0,0,0,24.3,24.3
18,Alvin Kamara,NO,RB,10,CIN,0,0,0,56,2,4,46,0,0,0,0,0,24.2,24.2
19,Mark Ingram II,NO,RB,10,CIN,0,0,0,104,0,3,58,1,0,0,0,0,23.7,23.7
20,Todd Gurley II,LAR,RB,10,SEA,0,0,0,120,1,3,40,0,0,0,0,0,23.5,23.5
