Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Mitchell Trubisky,CHI,QB,4,TB,354,6,0,53,0,0,0,0,0,0,0,0,43.5,43.46
2,Jared Goff,LAR,QB,4,MIN,465,5,0,7,0,0,0,0,0,0,0,0,39.3,39.3
3,Alvin Kamara,NO,RB,4,NYG,0,0,0,134,3,5,47,0,0,0,0,0,38.6,38.6
4,Andrew Luck,IND,QB,4,HOU,464,4,0,11,0,0,0,0,0,0,0,0,35.7,35.66
5,Derek Carr,LV,QB,4,CLE,437,4,2,1,0,0,0,0,0,0,0,0,33.6,33.58
6,Cooper Kupp,LAR,WR,4,MIN,0,0,0,0,0,9,162,2,0,0,0,0,32.7,32.7
7,Deshaun Watson,HOU,QB,4,IND,375,2,1,41,1,0,0,0,0,0,0,0,32.1,32.1
8,Ezekiel Elliott,DAL,RB,4,DET,0,0,0,152,0,4,88,1,0,0,0,0,32,32
9,Kirk Cousins,MIN,QB,4,LAR,422,3,0,28,0,0,0,0,0,0,0,0,31.7,31.68
10,Marcus Mariota,TEN,QB,4,PHI,344,2,1,46,1,0,0,0,0,0,0,0,31.4,31.36
11,Matt Ryan,ATL,QB,4,CIN,419,3,0,5,0,0,0,0,0,0,0,0,29.3,29.26
12,Golden Tate,DET,WR,4,DAL,0,0,0,0,0,8,132,2,0,0,0,0,29.2,29.2
13,DeAndre Hopkins,HOU,WR,4,IND,0,0,0,0,0,10,169,1,0,0,0,0,27.9,27.9
14,Melvin Gordon III,LAC,RB,4,SF,0,0,0,104,0,7,55,1,0,0,0,0,27.4,27.4
15,James White,NE,RB,4,MIA,0,0,0,44,1,8,68,1,0,0,0,0,27.2,27.2
16,Jared Cook,LV,TE,4,CLE,0,0,0,0,0,8,110,2,0,0,0,0,27,27
17,Taylor Gabriel,CHI,WR,4,TB,0,0,0,10,0,7,104,2,0,0,0,0,26.9,26.9
17,Tarik Cohen,CHI,RB,4,TB,0,0,0,53,0,7,121,1,0,0,0,0,26.9,26.9
19,Corey Davis,TEN,WR,4,PHI,0,0,0,0,0,9,161,1,0,0,0,0,26.6,26.6
20,Mike Davis,SEA,RB,4,ARI,0,0,0,101,2,4,23,0,0,0,0,0,26.4,26.4
21,Andy Dalton,CIN,QB,4,ATL,337,3,1,13,0,0,0,0,0,0,0,0,25.8,25.78
22,Blake Bortles,JAX,QB,4,NYJ,388,2,1,28,0,0,0,0,0,0,0,0,25.3,25.32
23,Kareem Hunt,KC,RB,4,DEN,0,0,0,121,1,3,54,0,0,0,0,0,25,25
24,Nyheim Hines,IND,RB,4,HOU,0,0,0,10,0,9,63,2,0,0,0,0,23.8,23.8
25,Todd Gurley II,LAR,RB,4,MIN,0,0,0,83,0,4,73,1,0,0,0,0,23.6,23.6
25,Giovani Bernard,CIN,RB,4,ATL,0,0,0,69,2,4,27,0,0,0,0,0,23.6,23.6
27,Adam Thielen,MIN,WR,4,LAR,0,0,0,0,0,8,135,1,0,0,0,0,23.5,23.5
28,Green Bay Packers,GB,DST,4,BUF,0,0,0,0,0,0,0,0,7,2,1,1,23,23
29,Patrick Mahomes,KC,QB,4,DEN,304,1,0,7,1,0,0,0,0,0,0,0,22.9,22.86
30,Amari Cooper,LV,WR,4,CLE,0,0,0,0,0,8,128,1,0,0,0,0,22.8,22.8
31,Philip Rivers,LAC,QB,4,SF,250,3,1,-3,0,0,0,0,0,0,0,0,22.7,22.7
32,Nick Chubb,CLE,RB,4,LV,0,0,0,105,2,0,0,0,0,0,0,0,22.5,22.5
33,Joe Flacco,BAL,QB,4,PIT,363,2,0,-3,0,0,0,0,0,0,0,0,22.2,22.22
34,Brandin Cooks,LAR,WR,4,MIN,0,0,0,10,0,7,116,1,0,0,0,0,22.1,22.1
35,Julio Jones,ATL,WR,4,CIN,0,0,0,0,0,9,173,0,0,0,0,0,21.8,21.8
36,T.J. Yeldon,JAX,RB,4,NYJ,0,0,0,52,1,3,48,1,0,0,0,0,21.5,21.5
36,George Kittle,SF,TE,4,LAC,0,0,0,0,0,6,125,1,0,0,0,0,21.5,21.5
38,Tom Brady,NE,QB,4,MIA,274,3,2,0,0,0,0,0,0,0,0,0,21,20.96
39,Matthew Stafford,DET,QB,4,DAL,307,2,0,5,0,0,0,0,0,0,0,0,20.8,20.78
40,Carson Wentz,PHI,QB,4,TEN,348,2,0,8,0,0,0,0,0,0,0,0,20.7,20.72
41,Sterling Shepard,NYG,WR,4,NO,0,0,0,0,0,10,77,1,0,0,0,0,20.7,20.7
42,Alshon Jeffery,PHI,WR,4,TEN,0,0,0,0,0,8,105,1,0,0,0,0,20.5,20.5
43,C.J. Beathard,SF,QB,4,LAC,298,2,2,19,0,0,0,0,0,0,0,0,19.8,19.82
44,Calvin Ridley,ATL,WR,4,CIN,0,0,0,1,0,4,54,2,0,0,0,0,19.5,19.5
45,John Brown,BAL,WR,4,PIT,0,0,0,3,0,3,116,1,0,0,0,0,19.4,19.4
45,Donte Moncrief,JAX,WR,4,NYJ,0,0,0,0,0,5,109,1,0,0,0,0,19.4,19.4
47,Saquon Barkley,NYG,RB,4,NO,0,0,0,44,1,6,56,0,0,0,0,0,19,19
48,Robert Woods,LAR,WR,4,MIN,0,0,0,0,0,5,101,1,0,0,0,0,18.6,18.6
49,Dak Prescott,DAL,QB,4,DET,255,2,0,2,0,0,0,0,0,0,0,0,18.4,18.4
50,Stefon Diggs,MIN,WR,4,LAR,0,0,0,0,0,11,123,0,0,0,0,0,17.8,17.8
51,Travis Kelce,KC,TE,4,DEN,0,0,0,0,0,7,78,1,0,0,0,0,17.3,17.3
52,Sony Michel,NE,RB,4,MIA,0,0,0,112,1,0,0,0,0,0,0,0,17.2,17.2
52,Marshawn Lynch,LV,RB,4,CLE,0,0,0,130,0,3,27,0,0,0,0,0,17.2,17.2
54,David Johnson,ARI,RB,4,SEA,0,0,0,71,1,3,41,0,0,0,0,0,16.7,16.7
55,Dede Westbrook,JAX,WR,4,NYJ,0,0,0,11,0,9,130,0,0,0,0,0,16.6,16.6
56,Aldrick Robinson,MIN,WR,4,LAR,0,0,0,0,0,2,33,2,0,0,0,0,16.3,16.3
57,Zach Ertz,PHI,TE,4,TEN,0,0,0,0,0,10,112,0,0,0,0,0,16.2,16.2
57,Keke Coutee,HOU,WR,4,IND,0,0,0,-2,0,11,109,0,0,0,0,0,16.2,16.2
59,Aaron Rodgers,GB,QB,4,BUF,298,1,1,31,0,0,0,0,0,0,0,0,16,16.02
60,Wil Lutz,NO,K,4,NYG,0,0,0,0,0,0,0,0,0,0,0,0,16,16
60,Justin Tucker,BAL,K,4,PIT,0,0,0,0,0,0,0,0,0,0,0,0,16,16
62,Ben Roethlisberger,PIT,QB,4,BAL,274,1,1,-1,0,0,0,0,0,0,0,0,15.9,15.86
63,A.J. Green,CIN,WR,4,ATL,0,0,0,0,0,4,78,1,0,0,0,0,15.8,15.8
64,Trey Burton,CHI,TE,4,TB,0,0,0,0,0,2,86,1,0,0,0,0,15.6,15.6
65,Tyler Boyd,CIN,WR,4,ATL,0,0,0,0,0,11,100,0,0,0,0,0,15.5,15.5
66,Jordy Nelson,LV,WR,4,CLE,0,0,0,0,0,5,48,1,0,0,0,0,15.3,15.3
67,Cody Parkey,CHI,K,4,TB,0,0,0,0,0,0,0,0,0,0,0,0,15,15
67,Brett Maher,DAL,K,4,DET,0,0,0,0,0,0,0,0,0,0,0,0,15,15
69,Phillip Lindsay,DEN,RB,4,KC,0,0,0,69,1,2,10,0,0,0,0,0,14.9,14.9
70,Baker Mayfield,CLE,QB,4,LV,295,2,2,10,0,0,0,0,0,0,0,0,14.8,14.8
71,Eli Manning,NYG,QB,4,NO,255,1,0,5,0,0,0,0,0,0,0,0,14.7,14.7
71,Aaron Jones,GB,RB,4,BUF,0,0,0,65,1,1,17,0,0,0,0,0,14.7,14.7
71,Antonio Brown,PIT,WR,4,BAL,0,0,0,0,0,5,62,1,0,0,0,0,14.7,14.7
74,Zach Pascal,IND,WR,4,HOU,0,0,0,0,0,6,56,1,0,0,0,0,14.6,14.6
75,Chester Rogers,IND,WR,4,HOU,0,0,0,0,0,8,85,0,0,0,0,0,14.5,14.5
76,Carlos Hyde,CLE,RB,4,LV,0,0,0,82,1,0,0,0,0,0,0,0,14.2,14.2
