Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Patrick Mahomes,KC,QB,11,LAR,478,6,3,28,0,0,0,0,0,0,0,0,38.9,38.92
2,Tyreek Hill,KC,WR,11,LAR,0,0,0,0,0,10,215,2,0,0,0,0,38.5,38.5
3,Jared Goff,LAR,QB,11,KC,413,4,0,6,1,0,0,0,0,0,0,0,35.1,35.12
4,Saquon Barkley,NYG,RB,11,TB,0,0,0,142,2,2,10,1,0,0,0,0,34.2,34.2
5,T.Y. Hilton,IND,WR,11,TEN,0,0,0,0,0,9,155,2,0,0,0,0,32,32
6,Drew Brees,NO,QB,11,PHI,363,4,0,0,0,0,0,0,0,0,0,0,30.5,30.52
7,Ezekiel Elliott,DAL,RB,11,ATL,0,0,0,122,1,7,79,0,0,0,0,0,29.6,29.6
8,Mike Evans,TB,WR,11,NYG,0,0,0,0,1,6,120,1,0,0,0,0,27,27
9,Tre'Quan Smith,NO,WR,11,PHI,0,0,0,0,0,10,157,1,0,0,0,0,26.7,26.7
10,Cam Newton,CAR,QB,11,DET,357,3,1,2,0,0,0,0,0,0,0,0,25.5,25.48
11,DJ Moore,CAR,WR,11,DET,0,0,0,0,0,7,157,1,0,0,0,0,25.2,25.2
12,Stefon Diggs,MIN,WR,11,CHI,0,0,0,0,0,13,126,1,0,0,0,0,25.1,25.1
13,Aaron Jones,GB,RB,11,SEA,0,0,0,40,1,5,63,1,0,0,0,0,24.8,24.8
14,Phillip Lindsay,DEN,RB,11,LAC,0,0,0,79,2,4,27,0,0,0,0,0,24.6,24.6
15,Andrew Luck,IND,QB,11,TEN,297,3,0,0,0,0,0,0,0,0,0,0,23.9,23.88
16,Travis Kelce,KC,TE,11,LAR,0,0,0,0,0,10,127,1,0,0,0,0,23.7,23.7
17,Ben Roethlisberger,PIT,QB,11,JAX,314,2,3,1,1,0,0,0,0,0,0,0,23.7,23.66
18,Chris Conley,KC,WR,11,LAR,0,0,0,0,0,7,74,2,0,0,0,0,22.9,22.9
19,Mark Ingram II,NO,RB,11,PHI,0,0,0,103,2,0,0,0,0,0,0,0,22.3,22.3
20,Philip Rivers,LAC,QB,11,DEN,401,2,2,-4,0,0,0,0,0,0,0,0,21.6,21.64
21,Davante Adams,GB,WR,11,SEA,0,0,0,0,0,10,166,0,0,0,0,0,21.6,21.6
22,Aaron Rodgers,GB,QB,11,SEA,332,2,0,3,0,0,0,0,0,0,0,0,21.6,21.58
23,Kenny Golladay,DET,WR,11,CAR,0,0,0,0,0,8,113,1,0,0,0,0,21.3,21.3
24,Leonard Fournette,JAX,RB,11,PIT,0,0,0,95,1,2,46,0,0,0,0,0,21.1,21.1
25,Los Angeles Rams,LAR,DST,11,KC,0,0,0,0,0,0,0,0,3,3,2,2,21,21
26,Julio Jones,ATL,WR,11,DAL,0,0,0,0,0,6,118,1,0,0,0,0,20.8,20.8
27,Antonio Brown,PIT,WR,11,JAX,0,0,0,0,0,5,117,1,0,0,0,0,20.2,20.2
28,Gus Edwards,BAL,RB,11,CIN,0,0,0,115,1,0,0,0,0,0,0,0,19.5,19.5
28,Keenan Allen,LAC,WR,11,DEN,0,0,0,1,0,9,89,1,0,0,0,0,19.5,19.5
30,Andy Dalton,CIN,QB,11,BAL,211,2,0,29,0,0,0,0,0,0,0,0,19.3,19.34
31,Kirk Cousins,MIN,QB,11,CHI,262,2,2,5,0,0,0,0,0,0,0,0,19,18.98
32,Kareem Hunt,KC,RB,11,LAR,0,0,0,70,0,3,41,1,0,0,0,0,18.6,18.6
32,Melvin Gordon III,LAC,RB,11,DEN,0,0,0,69,0,6,87,0,0,0,0,0,18.6,18.6
