Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Ben Roethlisberger,PIT,QB,2,KC,452,3,0,9,1,0,0,0,0,0,0,0,39,38.98
2,Patrick Mahomes,KC,QB,2,PIT,326,6,0,18,0,0,0,0,0,0,0,0,38.8,38.84
3,Kirk Cousins,MIN,QB,2,GB,425,4,1,5,0,0,0,0,0,0,0,0,34.5,34.5
4,Blake Bortles,JAX,QB,2,NE,376,4,1,35,0,0,0,0,0,0,0,0,33.5,33.54
5,Matt Ryan,ATL,QB,2,CAR,272,2,1,18,2,0,0,0,0,0,0,0,31.7,31.68
6,Stefon Diggs,MIN,WR,2,GB,0,0,0,1,0,9,128,2,0,0,0,0,31.4,31.4
7,Ryan Fitzpatrick,TB,QB,2,PHI,402,4,1,-1,0,0,0,0,0,0,0,0,31,30.98
8,Todd Gurley II,LAR,RB,2,ARI,0,0,0,42,3,3,31,0,0,0,0,0,30.8,30.8
9,Cam Newton,CAR,QB,2,ATL,335,3,1,42,0,0,0,0,0,0,0,0,28.6,28.6
10,Melvin Gordon III,LAC,RB,2,BUF,0,0,0,28,1,6,38,2,0,0,0,0,27.6,27.6
11,A.J. Green,CIN,WR,2,BAL,0,0,0,0,0,5,69,3,0,0,0,0,27.4,27.4
12,Andy Dalton,CIN,QB,2,BAL,265,4,0,0,0,0,0,0,0,0,0,0,26.6,26.6
13,Travis Kelce,KC,TE,2,PIT,0,0,0,0,0,7,109,2,0,0,0,0,26.4,26.4
14,Adam Thielen,MIN,WR,2,GB,0,0,0,0,0,12,131,1,0,0,0,0,25.1,25.1
15,Michael Thomas,NO,WR,2,CLE,0,0,0,0,0,12,89,2,0,0,0,0,24.9,24.9
16,Matthew Stafford,DET,QB,2,SF,347,3,0,8,0,0,0,0,0,0,0,0,24.7,24.68
17,JuJu Smith-Schuster,PIT,WR,2,KC,0,0,0,0,0,13,121,1,0,0,0,0,24.6,24.6
18,Deshaun Watson,HOU,QB,2,TEN,310,2,1,44,0,0,0,0,0,0,0,0,23.8,23.8
