,Name,Position,Week,Team,OPRNK,FD_Projection,Salary,Percentage,Predictions,Boom/Bust
555,Lee Smith,TE,3,ATL,29.0,0.4,4100,0.0,1.9,Neutral
556,Trevon Wesco,TE,3,NYJ,4.0,0.38,4100,0.0,3.2,Neutral
557,Adam Shaheen,TE,3,MIA,6.0,0.29,4100,0.0,0.3,
558,Las Vegas Raiders,DST,3,LV,,7.3,4000,7.0,7.3,
559,Los Angeles Rams,DST,3,LAR,,7.3,4000,0.5,7.3,
560,MyCole Pruitt,TE,3,TEN,15.0,3.73,4000,0.0,0.7,Neutral
561,Ryan Griffin,TE,3,NYJ,4.0,2.63,4000,,-1.5,Neutral
562,Luke Farrell,TE,3,JAX,3.0,2.48,4000,0.0,-0.1,Neutral
563,Eric Saubert,TE,3,DEN,13.0,1.84,4000,0.0,1.6,Neutral
564,Demetrius Harris,TE,3,ARI,23.0,1.71,4000,0.0,1.7,
565,Stephen Anderson,TE,3,LAC,21.0,1.48,4000,0.0,0.5,Neutral
566,Noah Gray,TE,3,KC,17.0,0.87,4000,0.0,-3.9,Neutral
567,Derek Carrier,TE,3,LV,20.0,0.8,4000,0.0,0.8,
568,Tommy Hudson,TE,3,TEN,15.0,0.64,4000,0.0,0.6,
569,Ben Ellefson,TE,3,MIN,10.0,0.62,4000,0.0,0.6,
570,Jacob Hollister,TE,3,JAX,3.0,0.58,4000,0.0,0.6,
571,Kylen Granson,TE,3,IND,1.0,0.58,4000,0.0,-8.5,Neutral
572,Brycen Hopkins,TE,3,LAR,18.0,0.55,4000,0.0,0.6,
573,Hunter Long,TE,3,MIA,6.0,0.55,4000,0.0,0.6,
574,Tre' McKitty,TE,3,LAC,21.0,0.52,4000,0.0,0.5,
575,John Bates,TE,3,WAS,12.0,0.51,4000,0.0,5.2,Neutral
576,Cethan Carter,TE,3,MIA,6.0,0.47,4000,0.0,0.3,Neutral
577,Reggie Gilliam,TE,3,BUF,14.0,0.45,4000,0.0,4.8,Neutral
578,Darrell Daniels,TE,3,ARI,23.0,0.35,4000,0.0,-0.1,Neutral
579,J.P. Holtz,TE,3,CHI,26.0,0.33,4000,0.0,0.3,
580,Jody Fortson,WR,3,KC,1.0,0.31,4000,0.0,-3.7,Neutral
581,Andrew Beck,TE,3,DEN,13.0,0.27,4000,0.0,0.3,
582,Johnny Mundt,TE,3,LAR,18.0,0.26,4000,0.0,0.3,
583,Zach Gentry,TE,3,PIT,5.0,0.25,4000,0.0,-0.3,Neutral
584,Garrett Griffin,TE,3,NO,2.0,0.14,4000,0.0,-5.6,Neutral
585,Daniel Brown,TE,3,NYJ,4.0,0.13,4000,0.0,1.3,Neutral
586,Eric Tomlinson,TE,3,BAL,22.0,0.08,4000,0.0,0.1,
587,Nick Bowers,TE,3,LV,20.0,0.05,4000,0.0,0.0,
588,Brandon Dillon,TE,3,MIN,10.0,0.05,4000,0.0,0.0,
589,Jesper Horsted,TE,3,CHI,26.0,0.05,4000,0.0,0.0,
590,Sammis Reyes,TE,3,WAS,12.0,0.01,4000,0.0,0.0,
591,Deon Yelder,TE,3,TB,19.0,0.01,4000,0.0,0.0,
592,Quintin Morris,TE,3,BUF,14.0,0.0,4000,0.0,0.0,
593,Shaun Beyer,TE,3,DEN,13.0,0.0,4000,0.0,0.0,
594,Briley Moore,TE,3,TEN,15.0,0.0,4000,0.0,0.0,
595,Zach Davidson,TE,3,MIN,10.0,0.0,4000,0.0,0.0,
596,Bernhard Seikovits,TE,3,ARI,23.0,0.0,4000,0.0,0.0,
597,Matt Bushman,TE,3,LV,20.0,0.0,4000,0.0,0.0,
598,Kahale Warring,TE,3,BUF,14.0,0.0,4000,0.0,0.0,
599,Shane Zylstra,TE,3,DET,32.0,0.0,4000,0.0,0.0,
600,Tyler Mabry,TE,3,SEA,16.0,0.0,4000,0.0,6.1,Neutral
601,Mason Schreck,TE,3,CIN,25.0,0.0,4000,0.0,0.0,
602,Jaeden Graham,TE,3,ATL,29.0,0.0,4000,0.0,0.0,
603,Codey McElroy,TE,3,TB,19.0,0.0,4000,0.0,0.0,
604,Dylan Cantrell,TE,3,WAS,12.0,0.0,4000,0.0,0.0,
605,Kendall Blanton,TE,3,LAR,18.0,0.0,4000,0.0,0.0,
606,Hunter Bryant,TE,3,DET,32.0,0.0,4000,0.0,0.0,
607,Austin Fort,TE,3,TEN,15.0,0.0,4000,0.0,0.0,
608,Brock Wright,TE,3,DET,32.0,0.0,4000,0.0,0.0,
609,John Raine,TE,3,ATL,29.0,0.0,4000,0.0,0.0,
610,Kenny Yeboah,TE,3,NYJ,4.0,0.0,4000,0.0,0.0,
611,Matt Sokol,TE,3,JAX,3.0,0.0,4000,0.0,0.0,
612,Irv Smith Jr.,TE,3,MIN,10.0,0.0,4000,0.0,0.0,
613,Matt LaCosse,TE,3,NE,11.0,0.0,4000,0.0,0.0,
614,Levine Toilolo,TE,3,NYG,31.0,0.0,4000,0.0,0.0,
615,Farrod Green,TE,3,IND,1.0,0.0,4000,0.0,0.0,
616,Parker Hesse,TE,3,ATL,29.0,0.0,4000,0.0,-5.9,Neutral
617,Ethan Wolf,TE,3,NO,2.0,0.0,4000,0.0,0.0,
618,Kevin Rader,TE,3,PIT,5.0,0.0,4000,0.0,0.0,
619,Connor Davis,TE,3,CLE,8.0,0.0,4000,0.0,0.0,
620,Thaddeus Moss,TE,3,CIN,25.0,0.0,4000,0.0,0.0,
621,Tony Poljan,TE,3,BAL,22.0,0.0,4000,0.0,0.0,
622,Jake Hausmann,TE,3,NYG,31.0,0.0,4000,0.0,0.0,
623,Colby Parkinson,TE,3,SEA,16.0,0.0,4000,0.0,0.0,
624,Dylan Soehner,TE,3,NO,2.0,0.0,4000,0.0,0.0,
625,Hunter Kampmoyer,TE,3,LAC,21.0,0.0,4000,0.0,0.0,
626,Jake Bargas,RB,3,MIN,31.0,0.0,4000,,0.0,
627,Stephen Carlson,TE,3,CLE,8.0,0.0,4000,0.0,0.0,
628,Chris Myarick,TE,3,NYG,31.0,0.0,4000,0.0,0.0,
629,Mitchell Wilcox,TE,3,CIN,25.0,0.0,4000,0.0,-2.3,Neutral
630,Ross Travis,TE,3,ARI,23.0,0.0,4000,0.0,0.0,
631,Charlie Taumoepeau,TE,3,DET,32.0,0.0,4000,0.0,0.0,
632,Troy Fumagalli,TE,3,NE,11.0,0.0,4000,0.0,0.0,
633,Miller Forristall,TE,3,CLE,8.0,0.0,4000,0.0,0.0,
634,Nick Vannett,TE,3,NO,2.0,0.0,4000,0.0,0.0,
635,Dalton Keene,TE,3,NE,11.0,0.0,4000,0.0,0.0,
636,Jordan Franks,TE,3,CLE,8.0,0.0,4000,0.0,0.0,
637,Danny Pinter,TE,3,IND,,,4000,,,
638,Patrick Scales,TE,3,CHI,,,4000,,,
639,Andrew DePaola,TE,3,MIN,,,4000,,,
640,James Winchester,TE,3,KC,,,4000,,,
641,Clark Harris,TE,3,CIN,,,4000,,,
642,Tyler Ott,TE,3,SEA,,,4000,,,
643,Matthew Orzech,TE,3,LAR,,,4000,,,
644,New York Giants,DST,3,NYG,,7.3,3900,2.5,7.3,
645,Tampa Bay Buccaneers,DST,3,TB,,7.2,3900,1.5,7.2,
646,Miami Dolphins,DST,3,MIA,,7.7,3800,2.5,7.7,
647,Indianapolis Colts,DST,3,IND,,6.7,3800,0.5,6.7,
648,Kansas City Chiefs,DST,3,KC,,8.0,3700,1.5,8.0,
649,Washington Football Team,DST,3,WAS,,6.8,3700,1.5,6.8,
650,Seattle Seahawks,DST,3,SEA,,7.2,3600,1.5,7.2,
651,Atlanta Falcons,DST,3,ATL,,7.4,3500,2.5,7.4,
652,Minnesota Vikings,DST,3,MIN,,6.9,3500,0.0,6.9,
653,Cincinnati Bengals,DST,3,CIN,,5.7,3400,3.0,5.7,
654,Los Angeles Chargers,DST,3,LAC,,4.1,3300,0.5,4.1,
655,New York Jets,DST,3,NYJ,,6.4,3200,5.0,6.4,
656,Jacksonville Jaguars,DST,3,JAX,,4.7,3100,1.0,4.7,
657,Detroit Lions,DST,3,DET,,4.8,3000,1.0,4.8,
