Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Dalvin Cook,MIN,RB,5,SEA,29,5,17.31,1.88,null,FanDuel,9200
2,Patrick Mahomes,KC,QB,5,LV,22,12,25.59,2.84,null,FanDuel,9000
2,Ezekiel Elliott,DAL,RB,5,NYG,11,18,18.92,2.1,null,FanDuel,9000
4,Lamar Jackson,BAL,QB,5,CIN,16,8,24.71,2.78,null,FanDuel,8900
4,Alvin Kamara,NO,RB,5,LAC,18,5,22.09,2.48,null,FanDuel,8900
6,Michael Thomas,NO,WR,5,LAC,18,14,0,0,null,FanDuel,8800
7,Dak Prescott,DAL,QB,5,NYG,11,6,24.6,2.83,null,FanDuel,8700
7,DeAndre Hopkins,ARI,WR,5,NYJ,19,13,15.84,1.82,null,FanDuel,8700
9,Russell Wilson,SEA,QB,5,MIN,28,16,24.91,2.9,null,FanDuel,8600
9,Derrick Henry,TEN,RB,5,BUF,18,11,16.18,1.88,null,FanDuel,8600
11,Josh Allen,BUF,QB,5,TEN,22,16,24.36,2.9,null,FanDuel,8400
12,Kyler Murray,ARI,QB,5,NYJ,19,7,23,2.77,null,FanDuel,8300
12,Calvin Ridley,ATL,WR,5,CAR,10,7,14.98,1.8,null,FanDuel,8300
14,Josh Jacobs,LV,RB,5,KC,3,17,15.95,1.95,null,FanDuel,8200
14,Tyreek Hill,KC,WR,5,LV,22,15,15.86,1.93,null,FanDuel,8200
16,Julio Jones,ATL,WR,5,CAR,10,7,0,0,null,FanDuel,8100
17,Nick Chubb,CLE,RB,5,IND,1,3,1.74,0.22,null,FanDuel,8000
18,Deshaun Watson,HOU,QB,5,JAX,25,20,23.5,2.97,null,FanDuel,7900
18,Clyde Edwards-Helaire,KC,RB,5,LV,22,32,18.45,2.34,null,FanDuel,7900
20,Chris Carson,SEA,RB,5,MIN,28,20,16.46,2.11,null,FanDuel,7800
20,Amari Cooper,DAL,WR,5,NYG,11,20,15.3,1.96,null,FanDuel,7800
20,Travis Kelce,KC,TE,5,LV,22,4,14.47,1.86,null,FanDuel,7800
23,Matt Ryan,ATL,QB,5,CAR,10,4,20.05,2.6,null,FanDuel,7700
24,Drew Brees,NO,QB,5,LAC,18,30,18.8,2.47,null,FanDuel,7600
24,Chris Godwin,TB,WR,5,CHI,4,3,0,0,null,FanDuel,7600
26,Jared Goff,LAR,QB,5,WAS,12,22,19.39,2.59,null,FanDuel,7500
26,Tom Brady,TB,QB,5,CHI,4,2,17.9,2.39,null,FanDuel,7500
26,Miles Sanders,PHI,RB,5,PIT,6,2,14.08,1.88,null,FanDuel,7500
26,Mike Evans,TB,WR,5,CHI,4,3,13.29,1.77,null,FanDuel,7500
26,Mark Andrews,BAL,TE,5,CIN,16,11,11.66,1.55,null,FanDuel,7500
31,Ben Roethlisberger,PIT,QB,5,PHI,17,9,18.31,2.47,null,FanDuel,7400
31,Tyler Lockett,SEA,WR,5,MIN,28,29,14.67,1.98,null,FanDuel,7400
33,Joe Burrow,CIN,QB,5,BAL,8,24,18.46,2.53,null,FanDuel,7300
33,Adam Thielen,MIN,WR,5,SEA,29,32,14.1,1.93,null,FanDuel,7300
33,JuJu Smith-Schuster,PIT,WR,5,PHI,17,19,12.18,1.67,null,FanDuel,7300
36,Gardner Minshew II,JAX,QB,5,HOU,26,14,19.25,2.67,null,FanDuel,7200
36,Carson Wentz,PHI,QB,5,PIT,6,10,16.25,2.26,null,FanDuel,7200
36,Cooper Kupp,LAR,WR,5,WAS,12,2,13.46,1.87,null,FanDuel,7200
39,Teddy Bridgewater,CAR,QB,5,ATL,32,32,19.25,2.71,null,FanDuel,7100
39,Ryan Fitzpatrick,MIA,QB,5,SF,2,11,17.65,2.49,null,FanDuel,7100
39,Nick Foles,CHI,QB,5,TB,5,4,15.78,2.22,null,FanDuel,7100
39,Jonathan Taylor,IND,RB,5,CLE,30,10,15.06,2.12,null,FanDuel,7100
39,George Kittle,SF,TE,5,MIA,21,6,13.98,1.97,null,FanDuel,7100
39,Stefon Diggs,BUF,WR,5,TEN,22,22,13.87,1.95,null,FanDuel,7100
39,Allen Robinson II,CHI,WR,5,TB,5,13,12.99,1.83,null,FanDuel,7100
46,Daniel Jones,NYG,QB,5,DAL,31,29,18.72,2.67,null,FanDuel,7000
46,Justin Herbert,LAC,QB,5,NO,25,29,18.3,2.61,null,FanDuel,7000
46,Ryan Tannehill,TEN,QB,5,BUF,18,24,18.18,2.6,null,FanDuel,7000
46,Kareem Hunt,CLE,RB,5,IND,1,3,16.36,2.34,null,FanDuel,7000
46,James Conner,PIT,RB,5,PHI,17,14,15.8,2.26,null,FanDuel,7000
46,DJ Chark Jr.,JAX,WR,5,HOU,26,14,12.85,1.84,null,FanDuel,7000
46,Mitchell Trubisky,CHI,QB,5,TB,5,4,0.2,0.03,null,FanDuel,7000
53,Derek Carr,LV,QB,5,KC,3,5,17.12,2.48,null,FanDuel,6900
53,Philip Rivers,IND,QB,5,CLE,30,30,16.78,2.43,null,FanDuel,6900
53,Joe Mixon,CIN,RB,5,BAL,8,7,14.68,2.13,null,FanDuel,6900
56,Kirk Cousins,MIN,QB,5,SEA,29,31,17.69,2.6,null,FanDuel,6800
56,Baker Mayfield,CLE,QB,5,IND,1,1,16.8,2.47,null,FanDuel,6800
56,Mike Davis,CAR,RB,5,ATL,32,19,16.31,2.4,null,FanDuel,6800
56,Keenan Allen,LAC,WR,5,NO,25,9,13.31,1.96,null,FanDuel,6800
56,Odell Beckham Jr.,CLE,WR,5,IND,1,9,12.64,1.86,null,FanDuel,6800
56,Darren Waller,LV,TE,5,KC,3,15,11.48,1.69,null,FanDuel,6800
