Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Christian McCaffrey,CAR,RB,2,NO,1,3,19.81,1.98,null,FanDuel,10000
2,Dalvin Cook,MIN,RB,2,ARI,3,10,18.83,2.05,null,FanDuel,9200
3,Alvin Kamara,NO,RB,2,CAR,9,5,19.97,2.27,null,FanDuel,8800
4,Kyler Murray,ARI,QB,2,MIN,18,14,25.16,2.89,null,FanDuel,8700
4,Tyreek Hill,KC,WR,2,BAL,32,21,18.37,2.11,null,FanDuel,8700
6,Patrick Mahomes,KC,QB,2,BAL,32,25,23.98,2.79,null,FanDuel,8600
7,Russell Wilson,SEA,QB,2,TEN,31,32,23.35,2.75,null,FanDuel,8500
7,Travis Kelce,KC,TE,2,BAL,32,29,16.58,1.95,null,FanDuel,8500
7,DeAndre Hopkins,ARI,WR,2,MIN,18,24,15.85,1.86,null,FanDuel,8500
10,Nick Chubb,CLE,RB,2,HOU,15,10,17.71,2.11,null,FanDuel,8400
11,Lamar Jackson,BAL,QB,2,KC,17,6,23.39,2.82,null,FanDuel,8300
11,Davante Adams,GB,WR,2,DET,28,26,19.15,2.31,null,FanDuel,8300
13,Tom Brady,TB,QB,2,ATL,24,28,23.52,2.87,null,FanDuel,8200
14,Josh Allen,BUF,QB,2,MIA,11,8,23.83,2.94,null,FanDuel,8100
15,Aaron Rodgers,GB,QB,2,DET,28,16,23.29,2.91,null,FanDuel,8000
15,Dak Prescott,DAL,QB,2,LAC,4,3,22.15,2.77,null,FanDuel,8000
15,Derrick Henry,TEN,RB,2,SEA,12,21,15.93,1.99,null,FanDuel,8000
15,Chris Godwin,TB,WR,2,ATL,24,17,13.79,1.72,null,FanDuel,8000
19,Jalen Hurts,PHI,QB,2,SF,30,29,21.01,2.69,null,FanDuel,7800
19,Joe Mixon,CIN,RB,2,CHI,27,15,14.8,1.9,null,FanDuel,7800
19,Amari Cooper,DAL,WR,2,LAC,4,2,14.3,1.83,null,FanDuel,7800
22,Jameis Winston,NO,QB,2,CAR,9,12,18.3,2.38,null,FanDuel,7700
22,Calvin Ridley,ATL,WR,2,TB,28,31,14.46,1.88,null,FanDuel,7700
24,Justin Herbert,LAC,QB,2,DAL,23,26,22.19,2.92,null,FanDuel,7600
24,Adam Thielen,MIN,WR,2,ARI,3,8,13.11,1.72,null,FanDuel,7600
26,Matthew Stafford,LAR,QB,2,IND,21,24,20.05,2.67,null,FanDuel,7500
26,Stefon Diggs,BUF,WR,2,MIA,11,5,15.76,2.1,null,FanDuel,7500
26,Ezekiel Elliott,DAL,RB,2,LAC,4,9,14.03,1.87,null,FanDuel,7500
29,Kirk Cousins,MIN,QB,2,ARI,3,7,18.98,2.56,null,FanDuel,7400
29,Keenan Allen,LAC,WR,2,DAL,23,27,14.24,1.92,null,FanDuel,7400
