Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Dalvin Cook,MIN,RB,17,DET,32,31,0,0,null,FanDuel,10400
2,Derrick Henry,TEN,RB,17,HOU,30,32,20.12,1.97,null,FanDuel,10200
3,Christian McCaffrey,CAR,RB,17,NO,7,2,0,0,null,FanDuel,9700
4,Alvin Kamara,NO,RB,17,CAR,17,24,0,0,null,FanDuel,9400
5,Davante Adams,GB,WR,17,CHI,13,6,18.83,2.02,null,FanDuel,9300
6,Lamar Jackson,BAL,QB,17,CIN,22,13,24.35,2.71,null,FanDuel,9000
7,Tyreek Hill,KC,WR,17,LAC,18,9,0,0,null,FanDuel,8900
8,Travis Kelce,KC,TE,17,LAC,18,26,5.07,0.58,null,FanDuel,8800
9,Deshaun Watson,HOU,QB,17,TEN,26,28,23.68,2.72,null,FanDuel,8700
9,Calvin Ridley,ATL,WR,17,TB,10,20,16.49,1.9,null,FanDuel,8700
11,Aaron Rodgers,GB,QB,17,CHI,13,10,21.7,2.55,null,FanDuel,8500
11,Stefon Diggs,BUF,WR,17,MIA,6,17,13.28,1.56,null,FanDuel,8500
13,Tom Brady,TB,QB,17,ATL,24,32,20.7,2.46,null,FanDuel,8400
13,Jonathan Taylor,IND,RB,17,JAX,31,29,16.88,2.01,null,FanDuel,8400
13,A.J. Brown,TEN,WR,17,HOU,30,26,15.11,1.8,null,FanDuel,8400
16,Ryan Tannehill,TEN,QB,17,HOU,30,23,21.21,2.59,null,FanDuel,8200
16,David Montgomery,CHI,RB,17,GB,11,28,15.45,1.88,null,FanDuel,8200
16,Josh Allen,BUF,QB,17,MIA,6,6,15.32,1.87,null,FanDuel,8200
16,DeAndre Hopkins,ARI,WR,17,LAR,1,1,14.29,1.74,null,FanDuel,8200
20,Nick Chubb,CLE,RB,17,PIT,2,5,14.96,1.85,null,FanDuel,8100
20,Mike Evans,TB,WR,17,ATL,24,30,14.33,1.77,null,FanDuel,8100
20,Patrick Mahomes,KC,QB,17,LAC,18,24,0,0,null,FanDuel,8100
23,Justin Jefferson,MIN,WR,17,DET,32,32,15.11,1.89,null,FanDuel,8000
23,Aaron Jones,GB,RB,17,CHI,13,10,14.44,1.8,null,FanDuel,8000
25,Jalen Hurts,PHI,QB,17,WAS,3,3,19.69,2.49,null,FanDuel,7900
25,Adam Thielen,MIN,WR,17,DET,32,32,14.42,1.83,null,FanDuel,7900
27,Kyler Murray,ARI,QB,17,LAR,1,1,20.1,2.58,null,FanDuel,7800
27,Darren Waller,LV,TE,17,DEN,19,7,13.33,1.71,null,FanDuel,7800
27,Keenan Allen,LAC,WR,17,KC,12,3,0,0,null,FanDuel,7800
30,Kirk Cousins,MIN,QB,17,DET,32,31,20.81,2.7,null,FanDuel,7700
30,Austin Ekeler,LAC,RB,17,KC,12,17,16.77,2.18,null,FanDuel,7700
