Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Christian McCaffrey,CAR,RB,1,NYJ,28,16,20.9,2.01,0.2,FanDuel,10400
2,Dalvin Cook,MIN,RB,1,CIN,23,25,19.49,2.07,21.1,FanDuel,9400
3,Derrick Henry,TEN,RB,1,ARI,15,17,17.58,1.98,16.9,FanDuel,8900
4,Patrick Mahomes,KC,QB,1,CLE,20,25,24.3,2.76,13.5,FanDuel,8800
5,Alvin Kamara,NO,RB,1,GB,9,27,18.72,2.18,22.5,FanDuel,8600
5,Davante Adams,GB,WR,1,NO,6,16,18.44,2.14,0.1,FanDuel,8600
7,Tyreek Hill,KC,WR,1,CLE,20,26,18.04,2.12,14.5,FanDuel,8500
7,Travis Kelce,KC,TE,1,CLE,20,28,16.62,1.96,17.8,FanDuel,8500
7,Saquon Barkley,NYG,RB,1,DEN,22,21,12.51,1.47,2.2,FanDuel,8500
10,Kyler Murray,ARI,QB,1,TEN,27,28,23.99,2.86,13.4,FanDuel,8400
11,DeAndre Hopkins,ARI,WR,1,TEN,27,29,15.72,1.92,12.5,FanDuel,8200
12,Josh Allen,BUF,QB,1,PIT,2,2,23.36,2.88,7.2,FanDuel,8100
12,Calvin Ridley,ATL,WR,1,PHI,21,25,16.11,1.99,21.5,FanDuel,8100
14,Aaron Rodgers,GB,QB,1,NO,6,3,20.93,2.62,5,FanDuel,8000
14,Justin Jefferson,MIN,WR,1,CIN,23,17,14.9,1.86,3.6,FanDuel,8000
16,Stefon Diggs,BUF,WR,1,PIT,2,15,16.27,2.06,16.3,FanDuel,7900
16,Jonathan Taylor,IND,RB,1,SEA,19,15,14.5,1.84,3.9,FanDuel,7900
18,Russell Wilson,SEA,QB,1,IND,7,10,22.1,2.83,5.6,FanDuel,7800
18,A.J. Brown,TEN,WR,1,ARI,15,11,15.32,1.96,11.6,FanDuel,7800
20,Ryan Tannehill,TEN,QB,1,ARI,15,17,20.47,2.66,6.2,FanDuel,7700
20,DK Metcalf,SEA,WR,1,IND,7,18,14.77,1.92,9.5,FanDuel,7700
20,Nick Chubb,CLE,RB,1,KC,16,23,14.54,1.89,8.9,FanDuel,7700
23,Jalen Hurts,PHI,QB,1,ATL,29,31,21.12,2.78,10.3,FanDuel,7600
23,Justin Herbert,LAC,QB,1,WAS,3,4,20.03,2.64,1.7,FanDuel,7600
25,Deshaun Watson,HOU,QB,1,JAX,31,29,0,0,null,FanDuel,7500
26,Aaron Jones,GB,RB,1,NO,6,1,15.23,2.06,12.6,FanDuel,7400
26,Keenan Allen,LAC,WR,1,WAS,3,2,13.28,1.79,6,FanDuel,7400
28,Matt Ryan,ATL,QB,1,PHI,21,18,19.27,2.64,3.3,FanDuel,7300
28,Adam Thielen,MIN,WR,1,CIN,23,17,12.83,1.76,4.8,FanDuel,7300
30,Kirk Cousins,MIN,QB,1,CIN,23,15,19.37,2.69,2.3,FanDuel,7200
30,Joe Burrow,CIN,QB,1,MIN,25,13,18.21,2.53,6.3,FanDuel,7200
30,Joe Mixon,CIN,RB,1,MIN,25,28,15.08,2.09,11.9,FanDuel,7200
33,Baker Mayfield,CLE,QB,1,KC,16,21,18.37,2.59,4.9,FanDuel,7100
33,Ben Roethlisberger,PIT,QB,1,BUF,14,16,17.43,2.45,1.3,FanDuel,7100
35,Antonio Gibson,WAS,RB,1,LAC,17,14,13.87,1.98,15.6,FanDuel,7000
35,George Kittle,SF,TE,1,DET,32,18,13.72,1.96,12.1,FanDuel,7000
35,Julio Jones,TEN,WR,1,ARI,15,11,12.93,1.85,6.1,FanDuel,7000
38,Jimmy Garoppolo,SF,QB,1,DET,32,32,17.91,2.6,2.3,FanDuel,6900
38,Austin Ekeler,LAC,RB,1,WAS,3,4,14.7,2.13,6.7,FanDuel,6900
38,Terry McLaurin,WAS,WR,1,LAC,17,8,13,1.88,7.6,FanDuel,6900
41,Trevor Lawrence,JAX,QB,1,HOU,30,27,19.61,2.88,7.5,FanDuel,6800
41,Tyrod Taylor,HOU,QB,1,JAX,31,29,17.25,2.54,0.3,FanDuel,6800
41,Tyler Lockett,SEA,WR,1,IND,7,18,13.02,1.91,10.4,FanDuel,6800
41,Clyde Edwards-Helaire,KC,RB,1,CLE,20,8,12.68,1.86,6.2,FanDuel,6800
45,Jameis Winston,NO,QB,1,GB,9,5,17.54,2.62,2.9,FanDuel,6700
45,Daniel Jones,NYG,QB,1,DEN,22,23,16.26,2.43,0.3,FanDuel,6700
45,Chris Carson,SEA,RB,1,IND,7,9,12.98,1.94,11.2,FanDuel,6700
45,DJ Moore,CAR,WR,1,NYJ,28,20,12.18,1.82,4.2,FanDuel,6700
45,Taysom Hill,NO,QB,1,GB,9,5,3.14,0.47,null,FanDuel,6700
50,Ryan Fitzpatrick,WAS,QB,1,LAC,17,22,18.43,2.79,1.6,FanDuel,6600
50,Teddy Bridgewater,DEN,QB,1,NYG,11,6,17.38,2.63,0,FanDuel,6600
50,Tua Tagovailoa,MIA,QB,1,NE,8,7,17.01,2.58,0.3,FanDuel,6600
50,Miles Sanders,PHI,RB,1,ATL,29,5,12.52,1.9,2.4,FanDuel,6600
50,Diontae Johnson,PIT,WR,1,BUF,14,6,12.15,1.84,1,FanDuel,6600
50,Drew Lock,DEN,QB,1,NYG,11,6,0.92,0.14,null,FanDuel,6600
56,Sam Darnold,CAR,QB,1,NYJ,28,30,17.97,2.76,-3.5,FanDuel,6500
56,Carson Wentz,IND,QB,1,SEA,19,24,17.14,2.64,0.3,FanDuel,6500
56,Zach Wilson,NYJ,QB,1,CAR,18,20,16.95,2.61,3.3,FanDuel,6500
56,Jared Goff,DET,QB,1,SF,5,8,14.75,2.27,0.1,FanDuel,6500
56,Najee Harris,PIT,RB,1,BUF,14,20,13.58,2.09,18.6,FanDuel,6500
56,Brandon Aiyuk,SF,WR,1,DET,32,30,11.92,1.83,4.9,FanDuel,6500
56,Taylor Heinicke,WAS,QB,1,LAC,17,22,0.35,0.05,null,FanDuel,6500
56,Odell Beckham Jr.,CLE,WR,1,KC,16,3,0,0,5.1,FanDuel,6500
56,Michael Thomas,NO,WR,1,GB,9,5,0,0,0,FanDuel,6500
65,D'Andre Swift,DET,RB,1,SF,5,7,12.1,1.89,0.7,FanDuel,6400
65,JuJu Smith-Schuster,PIT,WR,1,BUF,14,6,10.78,1.68,1.2,FanDuel,6400
65,Jarvis Landry,CLE,WR,1,KC,16,3,10.16,1.59,1.8,FanDuel,6400
65,Jacob Eason,IND,QB,1,SEA,19,24,0.79,0.12,null,FanDuel,6400
65,Joe Flacco,PHI,QB,1,ATL,29,31,0.33,0.05,null,FanDuel,6400
70,Brandin Cooks,HOU,WR,1,JAX,31,21,11.81,1.87,4.5,FanDuel,6300
70,Deebo Samuel,SF,WR,1,DET,32,30,11.5,1.83,5,FanDuel,6300
70,Trey Lance,SF,QB,1,DET,32,32,3.24,0.51,0,FanDuel,6300
70,Brandon Allen,CIN,QB,1,MIN,25,13,0.91,0.14,null,FanDuel,6300
70,Jacoby Brissett,MIA,QB,1,NE,8,7,0.51,0.08,null,FanDuel,6300
70,Mitchell Trubisky,BUF,QB,1,PIT,2,2,0.39,0.06,null,FanDuel,6300
70,Sam Ehlinger,IND,QB,1,SEA,19,24,0,0,null,FanDuel,6300
77,Mac Jones,NE,QB,1,MIA,12,11,16.85,2.72,2.3,FanDuel,6200
77,Mike Davis,ATL,RB,1,PHI,21,13,12.73,2.05,1.4,FanDuel,6200
77,Robby Anderson,CAR,WR,1,NYJ,28,20,10.78,1.74,5.1,FanDuel,6200
77,Kenny Golladay,NYG,WR,1,DEN,22,13,10.24,1.65,1.6,FanDuel,6200
77,P.J. Walker,CAR,QB,1,NYJ,28,30,0.29,0.05,null,FanDuel,6200
77,Case Keenum,CLE,QB,1,KC,16,21,0.27,0.04,null,FanDuel,6200
77,Jordan Love,GB,QB,1,NO,6,3,0.25,0.04,null,FanDuel,6200
77,AJ McCarron,ATL,QB,1,PHI,21,18,0,0,null,FanDuel,6200
77,Gardner Minshew,PHI,QB,1,ATL,29,31,0,0,null,FanDuel,6200
77,James Morgan,CAR,QB,1,NYJ,28,30,0,0,null,FanDuel,6200
87,Raheem Mostert,SF,RB,1,DET,32,32,13.45,2.2,10,FanDuel,6100
87,DJ Chark Jr.,JAX,WR,1,HOU,30,27,10.15,1.66,2.2,FanDuel,6100
87,DeVante Parker,MIA,WR,1,NE,8,12,9.32,1.53,1,FanDuel,6100
87,Mason Rudolph,PIT,QB,1,BUF,14,16,0.35,0.06,null,FanDuel,6100
87,Chase Daniel,LAC,QB,1,WAS,3,4,0.32,0.05,null,FanDuel,6100
87,David Blough,DET,QB,1,SF,5,8,0.32,0.05,null,FanDuel,6100
87,Geno Smith,SEA,QB,1,IND,7,10,0.28,0.05,null,FanDuel,6100
