Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Kareem Hunt,KC,RB,7,LV,18,24,16.87,1.64,null,FanDuel,10300
2,Marcus Mariota,TEN,QB,6,IND,31,31,17.28,2.08,null,FanDuel,8300
3,Alex Smith,KC,QB,7,LV,18,18,17.67,2.15,null,FanDuel,8200
3,TY Hilton,IND,WR,6,TEN,29,27,12.71,1.55,null,FanDuel,8200
5,Tyreek Hill,KC,WR,7,LV,18,7,10.75,1.41,null,FanDuel,7600
6,Travis Kelce,KC,TE,7,LV,18,16,11.6,1.55,null,FanDuel,7500
6,Andrew Luck,IND,QB,6,TEN,29,29,0,0,null,FanDuel,7500
8,Derek Carr,LV,QB,7,KC,23,23,15.54,2.13,null,FanDuel,7300
9,Jacoby Brissett,IND,QB,6,TEN,29,29,15.87,2.3,null,FanDuel,6900
10,DeMarco Murray,TEN,RB,6,IND,31,12,13.65,2.01,null,FanDuel,6800
11,Michael Crabtree,LV,WR,7,KC,23,31,11.87,1.77,null,FanDuel,6700
12,Amari Cooper,LV,WR,7,KC,23,31,8.62,1.39,null,FanDuel,6200
13,Matt Cassel,TEN,QB,6,IND,31,31,2.44,0.4,null,FanDuel,6100
13,EJ Manuel,LV,QB,7,KC,23,23,0.21,0.03,null,FanDuel,6100
15,Delanie Walker,TEN,TE,6,IND,31,26,10.16,1.69,null,FanDuel,6000
15,Patrick Mahomes,KC,QB,7,LV,18,18,0.19,0.03,null,FanDuel,6000
15,Scott Tolzien,IND,QB,6,TEN,29,29,0.06,0.01,null,FanDuel,6000
15,Connor Cook,LV,QB,7,KC,23,23,0,0,null,FanDuel,6000
15,Alex Tanney,TEN,QB,6,IND,31,31,0,0,null,FanDuel,6000
15,Tyler Bray,KC,QB,7,LV,18,18,0,0,null,FanDuel,6000
15,Brandon Weeden,TEN,QB,6,IND,31,31,0,0,null,FanDuel,6000
22,Marshawn Lynch,LV,RB,7,KC,23,12,10.66,1.84,null,FanDuel,5800
23,Frank Gore,IND,RB,6,TEN,29,18,7.89,1.41,null,FanDuel,5600
23,Marlon Mack,IND,RB,6,TEN,29,18,5.26,0.94,null,FanDuel,5600
25,Rishard Matthews,TEN,WR,6,IND,31,31,9.85,1.79,null,FanDuel,5500
26,Jared Cook,LV,TE,7,KC,23,11,7.13,1.32,null,FanDuel,5400
26,Charcandrick West,KC,RB,7,LV,18,24,0,0,null,FanDuel,5400
28,Donte Moncrief,IND,WR,6,TEN,29,27,7.12,1.34,null,FanDuel,5300
28,Derrick Henry,TEN,RB,6,IND,31,12,6.36,1.2,null,FanDuel,5300
28,Albert Wilson,KC,WR,7,LV,18,7,5.78,1.09,null,FanDuel,5300
31,Eric Decker,TEN,WR,6,IND,31,31,7.32,1.44,null,FanDuel,5100
31,Chris Conley,KC,WR,7,LV,18,7,0,0,null,FanDuel,5100
33,Jack Doyle,IND,TE,6,TEN,29,9,6.32,1.26,null,FanDuel,5000
33,Corey Davis,TEN,WR,6,IND,31,31,0,0,null,FanDuel,5000
35,Harrison Butker,KC,K,7,LV,18,28,8.8,1.8,null,FanDuel,4900
35,Kansas City Chiefs,KC,DST,7,LV,null,null,5.7,1.16,null,FanDuel,4900
35,Jalen Richard,LV,RB,7,KC,23,12,4.01,0.82,null,FanDuel,4900
38,Ryan Succop,TEN,K,6,IND,31,30,8.8,1.83,null,FanDuel,4800
38,Tennessee Titans,TEN,DST,6,IND,null,null,7,1.46,null,FanDuel,4800
38,Seth Roberts,LV,WR,7,KC,23,31,4.37,0.91,null,FanDuel,4800
41,Adam Vinatieri,IND,K,6,TEN,29,28,8.1,1.72,null,FanDuel,4700
41,Deandre Washington,LV,RB,7,KC,23,12,5.25,1.12,null,FanDuel,4700
43,De'Anthony Thomas,KC,WR,7,LV,18,7,3.33,0.72,null,FanDuel,4600
43,Cordarrelle Patterson,LV,WR,7,KC,23,31,3.09,0.67,null,FanDuel,4600
43,Tajae Sharpe,TEN,WR,6,IND,31,31,0,0,null,FanDuel,4600
46,Giorgio Tavecchio,LV,K,7,KC,23,4,5.9,1.31,null,FanDuel,4500
46,Demarcus Robinson,KC,WR,7,LV,18,7,5.07,1.13,null,FanDuel,4500
46,Robert Turbin,IND,RB,6,TEN,29,18,4.19,0.93,null,FanDuel,4500
46,Kamar Aiken,IND,WR,6,TEN,29,27,3.82,0.85,null,FanDuel,4500
46,Jonnu Smith,TEN,TE,6,IND,31,26,3.54,0.79,null,FanDuel,4500
46,Taywan Taylor,TEN,WR,6,IND,31,31,3.44,0.76,null,FanDuel,4500
46,Chester Rogers,IND,WR,6,TEN,29,27,3.19,0.71,null,FanDuel,4500
46,Demetrius Harris,KC,TE,7,LV,18,16,2.25,0.5,null,FanDuel,4500
