Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Patrick Mahomes,KC,QB,5,IND,20,20,24.23,2.63,null,FanDuel,9200
2,Christian McCaffrey,CAR,RB,5,JAX,19,8,20.71,2.28,null,FanDuel,9100
3,Ezekiel Elliott,DAL,RB,5,GB,7,30,18.54,2.11,null,FanDuel,8800
4,DeAndre Hopkins,HOU,WR,5,ATL,15,20,16.73,1.97,null,FanDuel,8500
5,Lamar Jackson,BAL,QB,5,PIT,17,11,20.92,2.52,null,FanDuel,8300
6,Dak Prescott,DAL,QB,5,GB,7,2,18.93,2.31,null,FanDuel,8200
6,Alvin Kamara,NO,RB,5,TB,23,3,18.65,2.27,null,FanDuel,8200
6,Dalvin Cook,MIN,RB,5,NYG,26,17,18.42,2.25,null,FanDuel,8200
6,Julio Jones,ATL,WR,5,HOU,14,19,16.75,2.04,null,FanDuel,8200
10,Deshaun Watson,HOU,QB,5,ATL,15,23,21.45,2.68,null,FanDuel,8000
10,Davante Adams,GB,WR,5,DAL,5,6,0,0,null,FanDuel,8000
12,Amari Cooper,DAL,WR,5,GB,7,2,12.64,1.6,null,FanDuel,7900
13,Carson Wentz,PHI,QB,5,NYJ,16,13,19.8,2.54,null,FanDuel,7800
13,Aaron Rodgers,GB,QB,5,DAL,5,5,17.69,2.27,null,FanDuel,7800
13,Nick Chubb,CLE,RB,5,SF,3,1,16.94,2.17,null,FanDuel,7800
13,Chris Godwin,TB,WR,5,NO,22,28,14.43,1.85,null,FanDuel,7800
17,Matt Ryan,ATL,QB,5,HOU,14,15,18.96,2.46,null,FanDuel,7700
17,Philip Rivers,LAC,QB,5,DEN,13,6,18,2.34,null,FanDuel,7700
17,Michael Thomas,NO,WR,5,TB,23,24,14.78,1.92,null,FanDuel,7700
17,Odell Beckham Jr,CLE,WR,5,SF,3,23,13.96,1.81,null,FanDuel,7700
17,Mike Evans,TB,WR,5,NO,22,28,13.94,1.81,null,FanDuel,7700
22,Russell Wilson,SEA,QB,5,LAR,16,8,19.28,2.54,null,FanDuel,7600
22,Tom Brady,NE,QB,5,WAS,30,29,19.12,2.52,null,FanDuel,7600
22,Jameis Winston,TB,QB,5,NO,22,31,19.07,2.51,null,FanDuel,7600
22,Tyreek Hill,KC,WR,5,IND,20,13,0,0,null,FanDuel,7600
26,Jared Goff,LAR,QB,5,SEA,10,17,17.72,2.36,null,FanDuel,7500
26,Andy Dalton,CIN,QB,5,ARI,31,30,17.59,2.35,null,FanDuel,7500
26,Baker Mayfield,CLE,QB,5,SF,3,7,16.37,2.18,null,FanDuel,7500
26,Travis Kelce,KC,TE,5,IND,20,29,15.67,2.09,null,FanDuel,7500
26,Keenan Allen,LAC,WR,5,DEN,13,4,15.65,2.09,null,FanDuel,7500
26,Mark Ingram,BAL,RB,5,PIT,17,24,12.26,1.63,null,FanDuel,7500
26,Cam Newton,CAR,QB,5,JAX,19,24,0,0,null,FanDuel,7500
33,Kyler Murray,ARI,QB,5,CIN,27,21,17.8,2.41,null,FanDuel,7400
33,T.Y. Hilton,IND,WR,5,KC,24,21,11.3,1.53,null,FanDuel,7400
35,Jacoby Brissett,IND,QB,5,KC,24,25,17.07,2.34,null,FanDuel,7300
35,Le'Veon Bell,NYJ,RB,5,PHI,29,4,14.82,2.03,null,FanDuel,7300
35,JuJu Smith-Schuster,PIT,WR,5,BAL,25,22,12.08,1.65,null,FanDuel,7300
35,Robert Woods,LAR,WR,5,SEA,10,7,11.71,1.6,null,FanDuel,7300
39,Jimmy Garoppolo,SF,QB,5,CLE,14,18,16.79,2.33,null,FanDuel,7200
39,Austin Ekeler,LAC,RB,5,DEN,13,29,14.83,2.06,null,FanDuel,7200
39,Teddy Bridgewater,NO,QB,5,TB,23,22,14.82,2.06,null,FanDuel,7200
42,Joe Mixon,CIN,RB,5,ARI,31,16,13.8,1.94,null,FanDuel,7100
42,AJ Green,CIN,WR,5,ARI,31,10,0,0,null,FanDuel,7100
44,Daniel Jones,NYG,QB,5,MIN,8,10,15.85,2.26,null,FanDuel,7000
44,Josh Allen,BUF,QB,5,TEN,9,9,14.83,2.12,null,FanDuel,7000
46,Leonard Fournette,JAX,RB,5,CAR,6,21,16.11,2.33,null,FanDuel,6900
46,Marcus Mariota,TEN,QB,5,BUF,2,3,14.46,2.1,null,FanDuel,6900
46,Chris Carson,SEA,RB,5,LAR,16,26,13.48,1.95,null,FanDuel,6900
46,James Conner,PIT,RB,5,BAL,25,27,13.39,1.94,null,FanDuel,6900
46,Adam Thielen,MIN,WR,5,NYG,26,30,12.11,1.76,null,FanDuel,6900
46,Allen Robinson,CHI,WR,5,LV,28,26,11.62,1.68,null,FanDuel,6900
46,Brandin Cooks,LAR,WR,5,SEA,10,7,11.4,1.65,null,FanDuel,6900
53,David Johnson,ARI,RB,5,CIN,27,31,17.28,2.54,null,FanDuel,6800
53,Kirk Cousins,MIN,QB,5,NYG,26,26,15.66,2.3,null,FanDuel,6800
53,Aaron Jones,GB,RB,5,DAL,5,7,14.06,2.07,null,FanDuel,6800
53,Cooper Kupp,LAR,WR,5,SEA,10,7,13.72,2.02,null,FanDuel,6800
53,Melvin Gordon,LAC,RB,5,DEN,13,29,12.29,1.81,null,FanDuel,6800
53,Mitch Trubisky,CHI,QB,5,LV,28,27,0,0,null,FanDuel,6800
59,Tyler Boyd,CIN,WR,5,ARI,31,10,13.47,2.01,null,FanDuel,6700
59,Derrick Henry,TEN,RB,5,BUF,2,20,13.46,2.01,null,FanDuel,6700
59,Todd Gurley,LAR,RB,5,SEA,10,15,13,1.94,null,FanDuel,6700
59,Phillip Lindsay,DEN,RB,5,LAC,10,14,11.39,1.7,null,FanDuel,6700
59,Alshon Jeffery,PHI,WR,5,NYJ,16,29,11.24,1.68,null,FanDuel,6700
59,Jarvis Landry,CLE,WR,5,SF,3,23,10.77,1.61,null,FanDuel,6700
59,Marlon Mack,IND,RB,5,KC,24,23,10.61,1.58,null,FanDuel,6700
59,Austin Hooper,ATL,TE,5,HOU,14,2,10.16,1.52,null,FanDuel,6700
59,Sam Darnold,NYJ,QB,5,PHI,29,28,0,0,null,FanDuel,6700
68,Gardner Minshew,JAX,QB,5,CAR,6,7,14.31,2.17,null,FanDuel,6600
68,Joe Flacco,DEN,QB,5,LAC,10,14,14.24,2.16,null,FanDuel,6600
68,Sammy Watkins,KC,WR,5,IND,20,13,12.66,1.92,null,FanDuel,6600
68,Derek Carr,LV,QB,5,CHI,3,4,11.87,1.8,null,FanDuel,6600
68,Zach Ertz,PHI,TE,5,NYJ,16,3,11.17,1.69,null,FanDuel,6600
68,John Ross,CIN,WR,5,ARI,31,10,0,0,null,FanDuel,6600
68,DeSean Jackson,PHI,WR,5,NYJ,16,29,0,0,null,FanDuel,6600
75,Chase Daniel,CHI,QB,5,LV,28,27,15.48,2.38,null,FanDuel,6500
75,Mason Rudolph,PIT,QB,5,BAL,25,16,14.97,2.3,null,FanDuel,6500
75,Kyle Allen,CAR,QB,5,JAX,19,24,14.96,2.3,null,FanDuel,6500
75,Julian Edelman,NE,WR,5,WAS,30,31,12.78,1.97,null,FanDuel,6500
