Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Christian McCaffrey,CAR,RB,14,ATL,26,14,23.36,2.12,null,FanDuel,11000
2,Derrick Henry,TEN,RB,14,LV,28,22,17.32,1.9,null,FanDuel,9100
3,Lamar Jackson,BAL,QB,14,BUF,3,3,22.03,2.45,null,FanDuel,9000
4,Dalvin Cook,MIN,RB,14,DET,30,30,18.63,2.14,null,FanDuel,8700
5,Michael Thomas,NO,WR,14,SF,2,2,16.01,1.86,null,FanDuel,8600
6,Aaron Rodgers,GB,QB,14,WAS,22,20,19.86,2.36,null,FanDuel,8400
6,Patrick Mahomes,KC,QB,14,NE,1,1,18.52,2.2,null,FanDuel,8400
6,Davante Adams,GB,WR,14,WAS,22,19,15.7,1.87,null,FanDuel,8400
9,Ezekiel Elliott,DAL,RB,14,CHI,5,17,17.2,2.07,null,FanDuel,8300
9,DeAndre Hopkins,HOU,WR,14,DEN,8,7,14.09,1.7,null,FanDuel,8300
9,Tyreek Hill,KC,WR,14,NE,1,1,13.86,1.67,null,FanDuel,8300
12,Kirk Cousins,MIN,QB,14,DET,30,25,18.96,2.31,null,FanDuel,8200
13,Dak Prescott,DAL,QB,14,CHI,5,8,18.39,2.27,null,FanDuel,8100
14,Russell Wilson,SEA,QB,14,LAR,11,15,19.42,2.43,null,FanDuel,8000
14,Stefon Diggs,MIN,WR,14,DET,30,23,12.93,1.62,null,FanDuel,8000
16,Jared Goff,LAR,QB,14,SEA,16,18,17.27,2.19,null,FanDuel,7900
16,Nick Chubb,CLE,RB,14,CIN,25,26,16.84,2.13,null,FanDuel,7900
16,Chris Godwin,TB,WR,14,IND,9,20,14.34,1.82,null,FanDuel,7900
19,Josh Allen,BUF,QB,14,BAL,4,4,17.71,2.27,null,FanDuel,7800
19,Jimmy Garoppolo,SF,QB,14,NO,12,23,15.43,1.98,null,FanDuel,7800
19,Aaron Jones,GB,RB,14,WAS,22,21,14.75,1.89,null,FanDuel,7800
19,Cooper Kupp,LAR,WR,14,SEA,16,15,13.17,1.69,null,FanDuel,7800
19,Julio Jones,ATL,WR,14,CAR,23,18,12.83,1.64,null,FanDuel,7800
24,Deshaun Watson,HOU,QB,14,DEN,8,5,19.81,2.57,null,FanDuel,7700
24,Jameis Winston,TB,QB,14,IND,9,11,19.19,2.49,null,FanDuel,7700
24,Carson Wentz,PHI,QB,14,NYG,27,26,18.74,2.43,null,FanDuel,7700
24,Sam Darnold,NYJ,QB,14,MIA,31,31,17.25,2.24,null,FanDuel,7700
24,Tom Brady,NE,QB,14,KC,21,21,16.97,2.2,null,FanDuel,7700
24,Drew Brees,NO,QB,14,SF,2,2,16.62,2.16,null,FanDuel,7700
24,Mike Evans,TB,WR,14,IND,9,20,13.73,1.78,null,FanDuel,7700
24,Allen Robinson,CHI,WR,14,DAL,9,7,12.06,1.57,null,FanDuel,7700
24,Amari Cooper,DAL,WR,14,CHI,5,6,11.37,1.48,null,FanDuel,7700
24,Josh Jacobs,LV,RB,14,TEN,17,20,0,0,null,FanDuel,7700
34,Matt Ryan,ATL,QB,14,CAR,23,10,18.65,2.45,null,FanDuel,7600
34,Alvin Kamara,NO,RB,14,SF,2,3,17.34,2.28,null,FanDuel,7600
34,Baker Mayfield,CLE,QB,14,CIN,25,27,17.12,2.25,null,FanDuel,7600
34,Saquon Barkley,NYG,RB,14,PHI,19,8,15.07,1.98,null,FanDuel,7600
34,Todd Gurley,LAR,RB,14,SEA,16,11,14.03,1.85,null,FanDuel,7600
34,Julian Edelman,NE,WR,14,KC,21,3,13.13,1.73,null,FanDuel,7600
40,Kyler Murray,ARI,QB,14,PIT,5,6,17.46,2.33,null,FanDuel,7500
40,Leonard Fournette,JAX,RB,14,LAC,6,24,17.11,2.28,null,FanDuel,7500
40,Robert Woods,LAR,WR,14,SEA,16,15,11.31,1.51,null,FanDuel,7500
40,Matthew Stafford,DET,QB,14,MIN,15,12,0,0,null,FanDuel,7500
44,Ryan Fitzpatrick,MIA,QB,14,NYJ,13,17,16.96,2.29,null,FanDuel,7400
44,Jacoby Brissett,IND,QB,14,TB,29,28,15.91,2.15,null,FanDuel,7400
44,Mark Ingram,BAL,RB,14,BUF,3,19,12.25,1.66,null,FanDuel,7400
44,Kenny Golladay,DET,WR,14,MIN,15,27,11.01,1.49,null,FanDuel,7400
48,Ryan Tannehill,TEN,QB,14,LV,28,29,17.6,2.41,null,FanDuel,7300
48,Philip Rivers,LAC,QB,14,JAX,20,19,15.74,2.16,null,FanDuel,7300
48,Melvin Gordon,LAC,RB,14,JAX,20,27,15.22,2.08,null,FanDuel,7300
48,Mitch Trubisky,CHI,QB,14,DAL,9,11,15.19,2.08,null,FanDuel,7300
48,Courtland Sutton,DEN,WR,14,HOU,24,21,11.63,1.59,null,FanDuel,7300
48,Marlon Mack,IND,RB,14,TB,29,2,10.27,1.41,null,FanDuel,7300
48,Daniel Jones,NYG,QB,14,PHI,19,15,0,0,null,FanDuel,7300
48,Le'Veon Bell,NYJ,RB,14,MIA,31,29,0,0,null,FanDuel,7300
48,Adam Thielen,MIN,WR,14,DET,30,23,0,0,null,FanDuel,7300
57,Devante Parker,MIA,WR,14,NYJ,13,25,12.85,1.78,null,FanDuel,7200
57,Jarvis Landry,CLE,WR,14,CIN,25,16,12.3,1.71,null,FanDuel,7200
57,Chris Carson,SEA,RB,14,LAR,11,17,12.05,1.67,null,FanDuel,7200
60,Kyle Allen,CAR,QB,14,ATL,26,30,16.14,2.27,null,FanDuel,7100
60,D.J. Moore,CAR,WR,14,ATL,26,26,13.69,1.93,null,FanDuel,7100
60,Travis Kelce,KC,TE,14,NE,1,6,12.61,1.78,null,FanDuel,7100
60,Alshon Jeffery,PHI,WR,14,NYG,27,31,11.65,1.64,null,FanDuel,7100
60,James Conner,PIT,RB,14,ARI,32,23,0,0,null,FanDuel,7100
65,Derek Carr,LV,QB,14,TEN,17,14,15.59,2.23,null,FanDuel,7000
65,Devlin Hodges,PIT,QB,14,ARI,32,32,15.43,2.2,null,FanDuel,7000
65,Andy Dalton,CIN,QB,14,CLE,14,22,15.14,2.16,null,FanDuel,7000
65,Austin Ekeler,LAC,RB,14,JAX,20,27,12.65,1.81,null,FanDuel,7000
65,Tyler Lockett,SEA,WR,14,LAR,11,10,11.66,1.67,null,FanDuel,7000
65,T.Y. Hilton,IND,WR,14,TB,29,32,0,0,null,FanDuel,7000
71,David Blough,DET,QB,14,MIN,15,12,12.64,1.83,null,FanDuel,6900
71,Calvin Ridley,ATL,WR,14,CAR,23,18,11.87,1.72,null,FanDuel,6900
71,Nick Foles,JAX,QB,14,LAC,6,7,0.94,0.14,null,FanDuel,6900
74,Drew Lock,DEN,QB,14,HOU,24,26,12.55,1.85,null,FanDuel,6800
74,Keenan Allen,LAC,WR,14,JAX,20,13,12,1.76,null,FanDuel,6800
74,Odell Beckham Jr,CLE,WR,14,CIN,25,16,11.94,1.76,null,FanDuel,6800
74,JuJu Smith-Schuster,PIT,WR,14,ARI,32,28,0,0,null,FanDuel,6800
78,George Kittle,SF,TE,14,NO,12,10,12.48,1.86,null,FanDuel,6700
78,Joe Mixon,CIN,RB,14,CLE,14,15,12.36,1.84,null,FanDuel,6700
78,Devin Singletary,BUF,RB,14,BAL,4,9,11.82,1.76,null,FanDuel,6700
78,Zach Ertz,PHI,TE,14,NYG,27,3,11.42,1.7,null,FanDuel,6700
78,James Washington,PIT,WR,14,ARI,32,28,9.73,1.45,null,FanDuel,6700
83,Gardner Minshew,JAX,QB,14,LAC,6,7,16.03,2.43,null,FanDuel,6600
83,Sony Michel,NE,RB,14,KC,21,31,10.92,1.65,null,FanDuel,6600
83,Mark Andrews,BAL,TE,14,BUF,3,2,10.22,1.55,null,FanDuel,6600
83,Austin Hooper,ATL,TE,14,CAR,23,8,9.84,1.49,null,FanDuel,6600
83,Will Fuller,HOU,WR,14,DEN,8,7,0,0,null,FanDuel,6600
83,AJ Green,CIN,WR,14,CLE,14,11,0,0,null,FanDuel,6600
89,Michael Gallup,DAL,WR,14,CHI,5,6,10.39,1.6,null,FanDuel,6500
89,Dwayne Haskins,WAS,QB,14,GB,19,9,9.96,1.53,null,FanDuel,6500
89,Jared Cook,NO,TE,14,SF,2,1,8.78,1.35,null,FanDuel,6500
89,Jordan Howard,PHI,RB,14,NYG,27,17,0,0,null,FanDuel,6500
93,Miles Sanders,PHI,RB,14,NYG,27,17,14.32,2.24,null,FanDuel,6400
93,Phillip Lindsay,DEN,RB,14,HOU,24,25,12.12,1.89,null,FanDuel,6400
93,David Montgomery,CHI,RB,14,DAL,9,18,11.18,1.75,null,FanDuel,6400
93,John Brown,BUF,WR,14,BAL,4,12,10.66,1.67,null,FanDuel,6400
93,Kareem Hunt,CLE,RB,14,CIN,25,26,10.64,1.66,null,FanDuel,6400
93,Robby Anderson,NYJ,WR,14,MIA,31,30,10.45,1.63,null,FanDuel,6400
93,Hunter Henry,LAC,TE,14,JAX,20,16,10.33,1.61,null,FanDuel,6400
93,Marvin Jones,DET,WR,14,MIN,15,27,10.27,1.6,null,FanDuel,6400
93,Tyrod Taylor,LAC,QB,14,JAX,20,19,2.14,0.33,null,FanDuel,6400
93,Evan Engram,NYG,TE,14,PHI,19,9,0,0,null,FanDuel,6400
103,Tyler Boyd,CIN,WR,14,CLE,14,11,10.97,1.74,null,FanDuel,6300
103,D.K. Metcalf,SEA,WR,14,LAR,11,10,10.46,1.66,null,FanDuel,6300
103,Golden Tate,NYG,WR,14,PHI,19,29,9.84,1.56,null,FanDuel,6300
103,Jack Doyle,IND,TE,14,TB,29,31,9.61,1.53,null,FanDuel,6300
103,Derrius Guice,WAS,RB,14,GB,19,28,9.48,1.5,null,FanDuel,6300
103,Anthony Miller,CHI,WR,14,DAL,9,7,9.46,1.5,null,FanDuel,6300
103,Darius Slayton,NYG,WR,14,PHI,19,29,8.13,1.29,null,FanDuel,6300
110,Darren Waller,LV,TE,14,TEN,17,26,12,1.94,null,FanDuel,6200
110,D.J. Chark,JAX,WR,14,LAC,6,4,10.54,1.7,null,FanDuel,6200
110,Dede Westbrook,JAX,WR,14,LAC,6,4,8.87,1.43,null,FanDuel,6200
110,Raheem Mostert,SF,RB,14,NO,12,4,7.15,1.15,null,FanDuel,6200
114,Kenyan Drake,ARI,RB,14,PIT,5,6,11.61,1.9,null,FanDuel,6100
114,Benny Snell Jr.,PIT,RB,14,ARI,32,23,10.74,1.76,null,FanDuel,6100
114,LeSean McCoy,KC,RB,14,NE,1,1,10.42,1.71,null,FanDuel,6100
114,Zach Pascal,IND,WR,14,TB,29,32,10.1,1.66,null,FanDuel,6100
