Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Christian McCaffrey,CAR,RB,8,ATL,32,14,0,0,null,FanDuel,10000
2,Derrick Henry,TEN,RB,8,CIN,23,19,18.9,1.99,null,FanDuel,9500
3,Patrick Mahomes,KC,QB,8,NYJ,20,13,25.37,2.76,null,FanDuel,9200
3,Dalvin Cook,MIN,RB,8,GB,17,31,16.84,1.83,null,FanDuel,9200
5,Davante Adams,GB,WR,8,MIN,31,31,17.43,1.92,null,FanDuel,9100
6,Alvin Kamara,NO,RB,8,CHI,5,14,18.51,2.06,null,FanDuel,9000
7,Ezekiel Elliott,DAL,RB,8,PHI,18,11,14.13,1.59,null,FanDuel,8900
8,Russell Wilson,SEA,QB,8,SF,2,8,24.78,2.85,null,FanDuel,8700
9,Michael Thomas,NO,WR,8,CHI,5,3,0,0,null,FanDuel,8600
10,Aaron Jones,GB,RB,8,MIN,31,16,0,0,null,FanDuel,8500
11,Aaron Rodgers,GB,QB,8,MIN,31,26,21.09,2.51,null,FanDuel,8400
11,Mike Davis,CAR,RB,8,ATL,32,14,17.05,2.03,null,FanDuel,8400
11,Calvin Ridley,ATL,WR,8,CAR,12,4,14.55,1.73,null,FanDuel,8400
14,Lamar Jackson,BAL,QB,8,PIT,7,6,22.49,2.71,null,FanDuel,8300
14,Julio Jones,ATL,WR,8,CAR,12,4,14.82,1.79,null,FanDuel,8300
16,Josh Allen,BUF,QB,8,NE,12,4,21.05,2.57,null,FanDuel,8200
16,Kareem Hunt,CLE,RB,8,LV,26,30,17.69,2.16,null,FanDuel,8200
18,Tyreek Hill,KC,WR,8,NYJ,20,11,15.04,1.86,null,FanDuel,8100
19,Matt Ryan,ATL,QB,8,CAR,12,5,18.44,2.3,null,FanDuel,8000
19,Nick Chubb,CLE,RB,8,LV,26,30,0,0,null,FanDuel,8000
21,Travis Kelce,KC,TE,8,NYJ,20,21,13.87,1.76,null,FanDuel,7900
21,Miles Sanders,PHI,RB,8,DAL,30,28,0,0,null,FanDuel,7900
23,Josh Jacobs,LV,RB,8,CLE,25,15,14.87,1.91,null,FanDuel,7800
23,DK Metcalf,SEA,WR,8,SF,2,6,14.25,1.83,null,FanDuel,7800
25,Justin Herbert,LAC,QB,8,DEN,11,22,20.43,2.65,null,FanDuel,7700
25,Tom Brady,TB,QB,8,NYG,17,11,19.77,2.57,null,FanDuel,7700
25,George Kittle,SF,TE,8,SEA,32,3,13.78,1.79,null,FanDuel,7700
25,Adam Thielen,MIN,WR,8,GB,17,12,13.5,1.75,null,FanDuel,7700
29,Joe Burrow,CIN,QB,8,TEN,22,19,19.63,2.58,null,FanDuel,7600
29,Drew Brees,NO,QB,8,CHI,5,2,17.4,2.29,null,FanDuel,7600
29,Kenny Golladay,DET,WR,8,IND,1,14,13.06,1.72,null,FanDuel,7600
29,Chris Godwin,TB,WR,8,NYG,17,23,0,0,null,FanDuel,7600
29,Chris Carson,SEA,RB,8,SF,2,1,0,0,null,FanDuel,7600
34,Ryan Tannehill,TEN,QB,8,CIN,23,18,20.66,2.75,null,FanDuel,7500
34,Carson Wentz,PHI,QB,8,DAL,30,23,20.22,2.7,null,FanDuel,7500
34,Clyde Edwards-Helaire,KC,RB,8,NYJ,20,25,13.78,1.84,null,FanDuel,7500
34,A.J. Brown,TEN,WR,8,CIN,23,18,13.4,1.79,null,FanDuel,7500
34,Amari Cooper,DAL,WR,8,PHI,18,21,10.37,1.38,null,FanDuel,7500
39,Cam Newton,NE,QB,8,BUF,16,17,17.97,2.43,null,FanDuel,7400
39,Keenan Allen,LAC,WR,8,DEN,11,13,14.61,1.97,null,FanDuel,7400
39,Joe Mixon,CIN,RB,8,TEN,22,22,0,0,null,FanDuel,7400
42,Teddy Bridgewater,CAR,QB,8,ATL,32,32,19.74,2.7,null,FanDuel,7300
42,Jared Goff,LAR,QB,8,MIA,10,10,18.67,2.56,null,FanDuel,7300
42,Derek Carr,LV,QB,8,CLE,25,25,18.45,2.53,null,FanDuel,7300
42,Jonathan Taylor,IND,RB,8,DET,21,29,15.23,2.09,null,FanDuel,7300
42,Cooper Kupp,LAR,WR,8,MIA,10,15,12.34,1.69,null,FanDuel,7300
47,Matthew Stafford,DET,QB,8,IND,1,1,18.53,2.57,null,FanDuel,7200
47,Baker Mayfield,CLE,QB,8,LV,26,29,17.11,2.38,null,FanDuel,7200
47,Tyler Lockett,SEA,WR,8,SF,2,6,15.02,2.09,null,FanDuel,7200
50,Ben Roethlisberger,PIT,QB,8,BAL,6,21,17.45,2.46,null,FanDuel,7100
50,Kirk Cousins,MIN,QB,8,GB,17,14,16.95,2.39,null,FanDuel,7100
50,Todd Gurley II,ATL,RB,8,CAR,12,28,15.89,2.24,null,FanDuel,7100
50,Stefon Diggs,BUF,WR,8,NE,12,17,13.66,1.92,null,FanDuel,7100
50,Mike Evans,TB,WR,8,NYG,17,23,12.78,1.8,null,FanDuel,7100
55,Jamaal Williams,GB,RB,8,MIN,31,16,16.16,2.31,null,FanDuel,7000
55,Drew Lock,DEN,QB,8,LAC,19,30,15.01,2.14,null,FanDuel,7000
55,D.J. Moore,CAR,WR,8,ATL,32,28,13.12,1.87,null,FanDuel,7000
55,Robert Woods,LAR,WR,8,MIA,10,15,12.63,1.8,null,FanDuel,7000
55,Mark Andrews,BAL,TE,8,PIT,7,5,10.46,1.49,null,FanDuel,7000
60,Philip Rivers,IND,QB,8,DET,21,16,16.98,2.46,null,FanDuel,6900
60,Daniel Jones,NYG,QB,8,TB,3,2,16.43,2.38,null,FanDuel,6900
60,James Conner,PIT,RB,8,BAL,6,4,12.88,1.87,null,FanDuel,6900
63,Tua Tagovailoa,MIA,QB,8,LAR,3,7,15.86,2.33,null,FanDuel,6800
63,Boston Scott,PHI,RB,8,DAL,30,28,14.45,2.12,null,FanDuel,6800
63,Allen Robinson II,CHI,WR,8,NO,24,22,12.64,1.86,null,FanDuel,6800
63,Darren Waller,LV,TE,8,CLE,25,19,11.71,1.72,null,FanDuel,6800
63,Andy Dalton,DAL,QB,8,PHI,18,20,0,0,null,FanDuel,6800
68,Nick Foles,CHI,QB,8,NO,24,28,16.42,2.45,null,FanDuel,6700
68,Melvin Gordon III,DEN,RB,8,LAC,19,13,11.64,1.74,null,FanDuel,6700
68,Odell Beckham Jr.,CLE,WR,8,LV,26,24,0,0,null,FanDuel,6700
71,Jimmy Garoppolo,SF,QB,8,SEA,32,32,18.3,2.77,null,FanDuel,6600
71,Robby Anderson,CAR,WR,8,ATL,32,28,13.1,1.98,null,FanDuel,6600
71,Justin Jefferson,MIN,WR,8,GB,17,12,12.19,1.85,null,FanDuel,6600
74,Ben DiNucci,DAL,QB,8,PHI,18,20,14.35,2.21,null,FanDuel,6500
74,Sam Darnold,NYJ,QB,8,KC,9,9,13.24,2.04,null,FanDuel,6500
74,JuJu Smith-Schuster,PIT,WR,8,BAL,6,9,10.48,1.61,null,FanDuel,6500
74,Alexander Mattison,MIN,RB,8,GB,17,31,5.66,0.87,null,FanDuel,6500
74,Jarrett Stidham,NE,QB,8,BUF,16,17,0.29,0.04,null,FanDuel,6500
74,Raheem Mostert,SF,RB,8,SEA,32,12,0,0,null,FanDuel,6500
74,Austin Ekeler,LAC,RB,8,DEN,11,2,0,0,null,FanDuel,6500
74,Brian Hoyer,NE,QB,8,BUF,16,17,0,0,null,FanDuel,6500
82,Tyler Boyd,CIN,WR,8,TEN,22,27,12.58,1.97,null,FanDuel,6400
82,Ryan Fitzpatrick,MIA,QB,8,LAR,3,7,0.19,0.03,null,FanDuel,6400
82,Mitchell Trubisky,CHI,QB,8,NO,24,28,0.16,0.02,null,FanDuel,6400
82,Garrett Gilbert,DAL,QB,8,PHI,18,20,0.06,0.01,null,FanDuel,6400
86,D'Andre Swift,DET,RB,8,IND,1,6,12.33,1.96,null,FanDuel,6300
86,Ronald Jones II,TB,RB,8,NYG,17,19,11.76,1.87,null,FanDuel,6300
86,Travis Fulgham,PHI,WR,8,DAL,30,29,11.71,1.86,null,FanDuel,6300
86,Joe Flacco,NYJ,QB,8,KC,9,9,0.09,0.01,null,FanDuel,6300
86,Tyrod Taylor,LAC,QB,8,DEN,11,22,0,0,null,FanDuel,6300
86,Jamison Crowder,NYJ,WR,8,KC,9,4,0,0,null,FanDuel,6300
92,Diontae Johnson,PIT,WR,8,BAL,6,9,10.75,1.73,null,FanDuel,6200
92,Darius Slayton,NYG,WR,8,TB,3,9,10.05,1.62,null,FanDuel,6200
92,Nick Mullens,SF,QB,8,SEA,32,32,0.16,0.03,null,FanDuel,6200
92,Jeff Wilson Jr.,SF,RB,8,SEA,32,12,0,0,null,FanDuel,6200
92,C.J. Beathard,SF,QB,8,SEA,32,32,0,0,null,FanDuel,6200
97,Darrell Henderson Jr.,LAR,RB,8,MIA,10,24,11.99,1.97,null,FanDuel,6100
97,DeVante Parker,MIA,WR,8,LAR,3,2,10.7,1.75,null,FanDuel,6100
97,Jonnu Smith,TEN,TE,8,CIN,23,30,9.2,1.51,null,FanDuel,6100
97,Jalen Hurts,PHI,QB,8,DAL,30,23,1.96,0.32,null,FanDuel,6100
97,Brett Rypien,DEN,QB,8,LAC,19,30,0.33,0.05,null,FanDuel,6100
97,Matt Barkley,BUF,QB,8,NE,12,4,0.09,0.01,null,FanDuel,6100
97,Jeff Driskel,DEN,QB,8,LAC,19,30,0,0,null,FanDuel,6100
104,Tee Higgins,CIN,WR,8,TEN,22,27,10.95,1.82,null,FanDuel,6000
