Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Dalvin Cook,MIN,RB,12,CAR,17,26,20.86,1.9,null,FanDuel,11000
2,Christian McCaffrey,CAR,RB,12,MIN,25,16,0,0,null,FanDuel,10000
3,Davante Adams,GB,WR,12,CHI,6,2,18,1.89,null,FanDuel,9500
4,Kyler Murray,ARI,QB,12,NE,12,10,23.86,2.62,null,FanDuel,9100
5,Patrick Mahomes,KC,QB,12,TB,9,8,24.17,2.69,null,FanDuel,9000
6,Russell Wilson,SEA,QB,12,PHI,14,12,22.53,2.56,null,FanDuel,8800
7,Deshaun Watson,HOU,QB,12,DET,26,17,22.98,2.64,null,FanDuel,8700
8,Josh Allen,BUF,QB,12,LAC,21,27,22.92,2.67,null,FanDuel,8600
8,Aaron Rodgers,GB,QB,12,CHI,6,4,20.75,2.41,null,FanDuel,8600
8,Alvin Kamara,NO,RB,12,DEN,15,15,16.19,1.88,null,FanDuel,8600
8,Tyreek Hill,KC,WR,12,TB,9,13,16.09,1.87,null,FanDuel,8600
12,DeAndre Hopkins,ARI,WR,12,NE,12,19,14.85,1.75,null,FanDuel,8500
12,Ezekiel Elliott,DAL,RB,12,WAS,6,11,14.36,1.69,null,FanDuel,8500
14,Justin Herbert,LAC,QB,12,BUF,20,28,21.57,2.57,null,FanDuel,8400
14,DK Metcalf,SEA,WR,12,PHI,14,13,14.82,1.76,null,FanDuel,8400
14,Nick Chubb,CLE,RB,12,JAX,31,25,14.32,1.7,null,FanDuel,8400
17,Derrick Henry,TEN,RB,12,IND,3,7,15.01,1.81,null,FanDuel,8300
18,Aaron Jones,GB,RB,12,CHI,6,10,15.45,1.88,null,FanDuel,8200
18,Keenan Allen,LAC,WR,12,BUF,20,10,15.4,1.88,null,FanDuel,8200
20,Calvin Ridley,ATL,WR,12,LV,23,18,14.83,1.83,null,FanDuel,8100
21,Travis Kelce,KC,TE,12,TB,9,16,15.31,1.91,null,FanDuel,8000
21,Josh Jacobs,LV,RB,12,ATL,30,5,15.25,1.91,null,FanDuel,8000
21,Chris Carson,SEA,RB,12,PHI,14,11,13.29,1.66,null,FanDuel,8000
21,Lamar Jackson,BAL,QB,12,PIT,2,1,0,0,null,FanDuel,8000
21,Julio Jones,ATL,WR,12,LV,23,18,0,0,null,FanDuel,8000
26,Tom Brady,TB,QB,12,KC,7,11,18.8,2.38,null,FanDuel,7900
26,Stefon Diggs,BUF,WR,12,LAC,21,7,14.97,1.89,null,FanDuel,7900
26,Tyler Lockett,SEA,WR,12,PHI,14,13,14.39,1.82,null,FanDuel,7900
26,Terry McLaurin,WAS,WR,12,DAL,29,31,14.02,1.77,null,FanDuel,7900
30,Adam Thielen,MIN,WR,12,CAR,17,6,1.95,0.25,null,FanDuel,7800
31,Cam Newton,NE,QB,12,ARI,19,26,19.87,2.58,null,FanDuel,7700
31,Ben Roethlisberger,PIT,QB,12,BAL,5,14,18.43,2.39,null,FanDuel,7700
31,Michael Thomas,NO,WR,12,DEN,15,14,13.32,1.73,null,FanDuel,7700
34,Matt Ryan,ATL,QB,12,LV,23,25,18.85,2.48,null,FanDuel,7600
34,Carson Wentz,PHI,QB,12,SEA,32,32,17.45,2.3,null,FanDuel,7600
36,Ryan Tannehill,TEN,QB,12,IND,3,3,18.31,2.44,null,FanDuel,7500
36,Miles Sanders,PHI,RB,12,SEA,32,21,13.71,1.83,null,FanDuel,7500
36,A.J. Brown,TEN,WR,12,IND,3,8,13.26,1.77,null,FanDuel,7500
36,Drew Brees,NO,QB,12,DEN,15,17,0,0,null,FanDuel,7500
36,Joe Mixon,CIN,RB,12,NYG,14,24,0,0,null,FanDuel,7500
41,Ryan Fitzpatrick,MIA,QB,12,NYJ,28,29,18.82,2.54,null,FanDuel,7400
41,James Robinson,JAX,RB,12,CLE,18,9,15,2.03,null,FanDuel,7400
41,Will Fuller V,HOU,WR,12,DET,26,17,14.23,1.92,null,FanDuel,7400
41,Chris Godwin,TB,WR,12,KC,7,4,11.93,1.61,null,FanDuel,7400
45,Taysom Hill,NO,QB,12,DEN,15,17,19.69,2.7,null,FanDuel,7300
45,D.J. Moore,CAR,WR,12,MIN,25,29,12.67,1.74,null,FanDuel,7300
47,Daniel Jones,NYG,QB,12,CIN,24,19,18.94,2.63,null,FanDuel,7200
47,Matthew Stafford,DET,QB,12,HOU,28,22,17.5,2.43,null,FanDuel,7200
47,Mike Davis,CAR,RB,12,MIN,25,16,13.43,1.87,null,FanDuel,7200
47,D'Andre Swift,DET,RB,12,HOU,28,31,0,0,null,FanDuel,7200
51,Derek Carr,LV,QB,12,ATL,30,32,18.79,2.65,null,FanDuel,7100
51,Kirk Cousins,MIN,QB,12,CAR,17,13,17.19,2.42,null,FanDuel,7100
51,Darren Waller,LV,TE,12,ATL,30,32,12.55,1.77,null,FanDuel,7100
51,Mike Evans,TB,WR,12,KC,7,4,11.54,1.63,null,FanDuel,7100
55,Teddy Bridgewater,CAR,QB,12,MIN,25,18,18.35,2.62,null,FanDuel,7000
55,Jared Goff,LAR,QB,12,SF,8,16,18.25,2.61,null,FanDuel,7000
55,Justin Jefferson,MIN,WR,12,CAR,17,6,14.5,2.07,null,FanDuel,7000
55,Raheem Mostert,SF,RB,12,LAR,1,4,11.23,1.6,null,FanDuel,7000
55,Jameis Winston,NO,QB,12,DEN,15,17,1.46,0.21,null,FanDuel,7000
55,Gardner Minshew II,JAX,QB,12,CLE,18,20,0,0,null,FanDuel,7000
55,Kenny Golladay,DET,WR,12,HOU,28,25,0,0,null,FanDuel,7000
62,Baker Mayfield,CLE,QB,12,JAX,31,30,17.18,2.49,null,FanDuel,6900
62,Amari Cooper,DAL,WR,12,WAS,6,2,10.95,1.59,null,FanDuel,6900
62,Tyler Boyd,CIN,WR,12,NYG,14,16,10.86,1.57,null,FanDuel,6900
62,Todd Gurley II,ATL,RB,12,LV,23,29,0,0,null,FanDuel,6900
66,Philip Rivers,IND,QB,12,TEN,22,24,17.91,2.63,null,FanDuel,6800
66,Andy Dalton,DAL,QB,12,WAS,6,11,16.61,2.44,null,FanDuel,6800
66,Antonio Gibson,WAS,RB,12,DAL,29,24,13.69,2.01,null,FanDuel,6800
66,Robert Woods,LAR,WR,12,SF,8,11,13.41,1.97,null,FanDuel,6800
66,Allen Robinson II,CHI,WR,12,GB,16,9,12.45,1.83,null,FanDuel,6800
66,Diontae Johnson,PIT,WR,12,BAL,5,4,12.11,1.78,null,FanDuel,6800
66,Melvin Gordon III,DEN,RB,12,NO,10,1,8.84,1.3,null,FanDuel,6800
66,Tua Tagovailoa,MIA,QB,12,NYJ,28,29,0,0,null,FanDuel,6800
66,Mark Andrews,BAL,TE,12,PIT,2,1,0,0,null,FanDuel,6800
66,Nick Foles,CHI,QB,12,GB,16,5,0,0,null,FanDuel,6800
76,Alex Smith,WAS,QB,12,DAL,29,27,14.83,2.21,null,FanDuel,6700
76,Cooper Kupp,LAR,WR,12,SF,8,11,12.88,1.92,null,FanDuel,6700
76,Clyde Edwards-Helaire,KC,RB,12,TB,9,3,11.71,1.75,null,FanDuel,6700
76,Drew Lock,DEN,QB,12,NO,10,9,0,0,null,FanDuel,6700
76,James Conner,PIT,RB,12,BAL,5,8,0,0,null,FanDuel,6700
81,Nick Mullens,SF,QB,12,LAR,1,2,14.33,2.17,null,FanDuel,6600
81,Kareem Hunt,CLE,RB,12,JAX,31,25,12.57,1.9,null,FanDuel,6600
81,Chase Claypool,PIT,WR,12,BAL,5,4,11.35,1.72,null,FanDuel,6600
81,Brandon Aiyuk,SF,WR,12,LAR,1,1,2.2,0.33,null,FanDuel,6600
81,Jimmy Garoppolo,SF,QB,12,LAR,1,2,1.14,0.17,null,FanDuel,6600
