Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Christian McCaffrey,CAR,RB,13,WAS,21,24,24.44,2.22,null,FanDuel,11000
2,Michael Thomas,NO,WR,13,ATL,26,29,19.09,2.08,null,FanDuel,9200
3,Lamar Jackson,BAL,QB,13,SF,2,2,23.85,2.74,null,FanDuel,8700
4,Patrick Mahomes,KC,QB,13,LV,28,27,24.07,2.8,null,FanDuel,8600
4,Derrick Henry,TEN,RB,13,IND,10,5,14.71,1.71,null,FanDuel,8600
6,Drew Brees,NO,QB,13,ATL,26,27,19.75,2.32,null,FanDuel,8500
7,Dalvin Cook,MIN,RB,13,SEA,16,11,19.88,2.37,null,FanDuel,8400
7,Ezekiel Elliott,DAL,RB,13,BUF,3,19,17.11,2.04,null,FanDuel,8400
9,Alvin Kamara,NO,RB,13,ATL,26,15,18.32,2.21,null,FanDuel,8300
9,Tyreek Hill,KC,WR,13,LV,28,27,16.56,2,null,FanDuel,8300
9,DeAndre Hopkins,HOU,WR,13,NE,1,1,13.39,1.61,null,FanDuel,8300
12,Dak Prescott,DAL,QB,13,BUF,3,3,19.81,2.42,null,FanDuel,8200
12,Nick Chubb,CLE,RB,13,PIT,7,6,15.11,1.84,null,FanDuel,8200
12,Chris Godwin,TB,WR,13,JAX,19,12,14.84,1.81,null,FanDuel,8200
15,Aaron Rodgers,GB,QB,13,NYG,26,24,19.42,2.4,null,FanDuel,8100
16,Jimmy Garoppolo,SF,QB,13,BAL,4,4,16.15,2.02,null,FanDuel,8000
16,Aaron Jones,GB,RB,13,NYG,26,19,15.62,1.95,null,FanDuel,8000
16,Davante Adams,GB,WR,13,NYG,26,31,14.99,1.87,null,FanDuel,8000
19,Russell Wilson,SEA,QB,13,MIN,13,13,21.25,2.69,null,FanDuel,7900
19,Jared Goff,LAR,QB,13,ARI,32,32,18.23,2.31,null,FanDuel,7900
19,Stefon Diggs,MIN,WR,13,SEA,16,16,12.79,1.62,null,FanDuel,7900
19,Amari Cooper,DAL,WR,13,BUF,3,2,12.56,1.59,null,FanDuel,7900
23,Josh Allen,BUF,QB,13,DAL,9,9,18.82,2.41,null,FanDuel,7800
23,Cooper Kupp,LAR,WR,13,ARI,32,23,13.52,1.73,null,FanDuel,7800
23,Julio Jones,ATL,WR,13,NO,11,23,0,0,null,FanDuel,7800
26,Kyler Murray,ARI,QB,13,LAR,15,16,19.23,2.5,null,FanDuel,7700
26,Deshaun Watson,HOU,QB,13,NE,1,1,19,2.47,null,FanDuel,7700
26,Kirk Cousins,MIN,QB,13,SEA,16,18,18.54,2.41,null,FanDuel,7700
26,Tom Brady,NE,QB,13,HOU,24,25,18.41,2.39,null,FanDuel,7700
26,Matt Ryan,ATL,QB,13,NO,11,21,18.23,2.37,null,FanDuel,7700
26,Mike Evans,TB,WR,13,JAX,19,12,14.31,1.86,null,FanDuel,7700
26,Josh Jacobs,LV,RB,13,KC,22,32,14.22,1.85,null,FanDuel,7700
26,Allen Robinson,CHI,WR,13,DET,29,20,12.11,1.57,null,FanDuel,7700
34,Jameis Winston,TB,QB,13,JAX,19,21,19.27,2.54,null,FanDuel,7600
34,Sam Darnold,NYJ,QB,13,CIN,27,30,18.01,2.37,null,FanDuel,7600
34,Saquon Barkley,NYG,RB,13,GB,20,28,17.36,2.28,null,FanDuel,7600
34,Leonard Fournette,JAX,RB,13,TB,30,2,16.68,2.19,null,FanDuel,7600
34,Baker Mayfield,CLE,QB,13,PIT,7,8,16.48,2.17,null,FanDuel,7600
39,Nick Foles,JAX,QB,13,TB,30,31,17.8,2.37,null,FanDuel,7500
39,Julian Edelman,NE,WR,13,HOU,24,21,13.16,1.75,null,FanDuel,7500
39,Mark Ingram,BAL,RB,13,SF,2,3,12.14,1.62,null,FanDuel,7500
39,Matthew Stafford,DET,QB,13,CHI,4,6,0,0,null,FanDuel,7500
43,Daniel Jones,NYG,QB,13,GB,20,9,16.91,2.29,null,FanDuel,7400
43,Todd Gurley,LAR,RB,13,ARI,32,23,15.09,2.04,null,FanDuel,7400
43,Jarvis Landry,CLE,WR,13,PIT,7,16,12.22,1.65,null,FanDuel,7400
46,Carson Wentz,PHI,QB,13,MIA,31,28,18.77,2.57,null,FanDuel,7300
46,Ryan Tannehill,TEN,QB,13,IND,10,13,16.73,2.29,null,FanDuel,7300
46,Philip Rivers,LAC,QB,13,DEN,6,5,16.23,2.22,null,FanDuel,7300
46,Le'Veon Bell,NYJ,RB,13,CIN,27,27,16.11,2.21,null,FanDuel,7300
46,Odell Beckham Jr,CLE,WR,13,PIT,7,16,12.16,1.67,null,FanDuel,7300
46,Marlon Mack,IND,RB,13,TEN,18,18,0,0,null,FanDuel,7300
52,Jacoby Brissett,IND,QB,13,TEN,18,15,16.38,2.28,null,FanDuel,7200
52,Derek Carr,LV,QB,13,KC,22,23,16.04,2.23,null,FanDuel,7200
52,Kyle Allen,CAR,QB,13,WAS,21,19,16.02,2.22,null,FanDuel,7200
52,Chris Carson,SEA,RB,13,MIN,13,6,12.45,1.73,null,FanDuel,7200
56,Ryan Fitzpatrick,MIA,QB,13,PHI,13,12,15.62,2.2,null,FanDuel,7100
