Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Antonio Brown,PIT,WR,12,GB,16,26,15.76,1.64,null,FanDuel,9600
2,Le'Veon Bell,PIT,RB,12,GB,16,26,17.77,1.89,null,FanDuel,9400
3,Tom Brady,NE,QB,12,MIA,21,20,21.46,2.36,null,FanDuel,9100
4,Carson Wentz,PHI,QB,12,CHI,12,7,18.01,2.02,null,FanDuel,8900
5,Russell Wilson,SEA,QB,12,SF,32,30,20.88,2.43,null,FanDuel,8600
6,Todd Gurley,LAR,RB,12,NO,11,14,17.25,2.03,null,FanDuel,8500
7,LeSean McCoy,BUF,RB,12,KC,23,13,17.06,2.06,null,FanDuel,8300
7,AJ Green,CIN,WR,12,CLE,17,10,13.32,1.6,null,FanDuel,8300
9,Kirk Cousins,WAS,QB,12,NYG,32,30,19.17,2.34,null,FanDuel,8200
9,Mark Ingram,NO,RB,12,LAR,8,30,15.56,1.9,null,FanDuel,8200
11,Leonard Fournette,JAX,RB,12,ARI,24,11,15.56,1.92,null,FanDuel,8100
11,Alvin Kamara,NO,RB,12,LAR,8,30,13.67,1.69,null,FanDuel,8100
13,Cam Newton,CAR,QB,12,NYJ,18,19,18.53,2.32,null,FanDuel,8000
14,Ben Roethlisberger,PIT,QB,12,GB,16,13,17.69,2.24,null,FanDuel,7900
14,Doug Baldwin,SEA,WR,12,SF,32,21,12.31,1.56,null,FanDuel,7900
16,Marcus Mariota,TEN,QB,12,IND,30,26,17.87,2.29,null,FanDuel,7800
16,Drew Brees,NO,QB,12,LAR,8,5,16.94,2.17,null,FanDuel,7800
16,Julio Jones,ATL,WR,12,TB,26,31,13.86,1.78,null,FanDuel,7800
19,Kareem Hunt,KC,RB,12,BUF,19,31,16.03,2.08,null,FanDuel,7700
19,Rob Gronkowski,NE,TE,12,MIA,21,27,13.49,1.75,null,FanDuel,7700
19,Mike Evans,TB,WR,12,ATL,13,6,12.99,1.69,null,FanDuel,7700
22,Matt Ryan,ATL,QB,12,TB,26,23,17.79,2.34,null,FanDuel,7600
22,Alex Smith,KC,QB,12,BUF,19,9,17.31,2.28,null,FanDuel,7600
22,Jared Goff,LAR,QB,12,NO,11,14,16.59,2.18,null,FanDuel,7600
22,Michael Thomas,NO,WR,12,LAR,8,7,13.88,1.83,null,FanDuel,7600
22,DeAndre Hopkins,HOU,WR,12,BAL,2,2,12.22,1.61,null,FanDuel,7600
22,Brandin Cooks,NE,WR,12,MIA,21,19,11.9,1.57,null,FanDuel,7600
22,Zach Ertz,PHI,TE,12,CHI,12,3,11,1.45,null,FanDuel,7600
29,Derek Carr,LV,QB,12,DEN,14,16,15.31,2.04,null,FanDuel,7500
29,Travis Kelce,KC,TE,12,BUF,19,19,12.26,1.63,null,FanDuel,7500
29,TY Hilton,IND,WR,12,TEN,22,27,11.09,1.48,null,FanDuel,7500
29,Jordan Howard,CHI,RB,12,PHI,6,3,9.66,1.29,null,FanDuel,7500
33,Josh McCown,NYJ,QB,12,CAR,4,6,13.81,1.89,null,FanDuel,7300
33,Tyreek Hill,KC,WR,12,BUF,19,12,11.19,1.53,null,FanDuel,7300
33,Devin Funchess,CAR,WR,12,NYJ,18,22,10.81,1.48,null,FanDuel,7300
33,Jameis Winston,TB,QB,12,ATL,13,18,0,0,null,FanDuel,7300
37,Andy Dalton,CIN,QB,12,CLE,17,22,15.9,2.21,null,FanDuel,7200
37,Samaje Perine,WAS,RB,12,NYG,32,21,11.73,1.63,null,FanDuel,7200
37,Larry Fitzgerald,ARI,WR,12,JAX,1,1,11.19,1.55,null,FanDuel,7200
37,Chris Hogan,NE,WR,12,MIA,21,19,0,0,null,FanDuel,7200
41,Blake Bortles,JAX,QB,12,ARI,24,27,13.41,1.89,null,FanDuel,7100
41,Evan Engram,NYG,TE,12,WAS,29,30,11.79,1.66,null,FanDuel,7100
41,Jarvis Landry,MIA,WR,12,NE,28,28,11.76,1.66,null,FanDuel,7100
41,Alshon Jeffery,PHI,WR,12,CHI,12,14,11.28,1.59,null,FanDuel,7100
45,Jimmy Graham,SEA,TE,12,SF,32,8,10.96,1.57,null,FanDuel,7000
45,Amari Cooper,LV,WR,12,DEN,14,3,8.77,1.25,null,FanDuel,7000
45,Jay Ajayi,PHI,RB,12,CHI,12,15,8.46,1.21,null,FanDuel,7000
45,Carson Palmer,ARI,QB,12,JAX,1,1,0,0,null,FanDuel,7000
45,Sterling Shepard,NYG,WR,12,WAS,29,12,0,0,null,FanDuel,7000
45,Robert Woods,LAR,WR,12,NO,11,9,0,0,null,FanDuel,7000
51,Jacoby Brissett,IND,QB,12,TEN,22,21,16.03,2.32,null,FanDuel,6900
51,Tyrod Taylor,BUF,QB,12,KC,23,24,15.38,2.23,null,FanDuel,6900
51,Michael Crabtree,LV,WR,12,DEN,14,3,9.93,1.44,null,FanDuel,6900
54,Eli Manning,NYG,QB,12,WAS,29,26,14.73,2.17,null,FanDuel,6800
54,Joe Flacco,BAL,QB,12,HOU,28,32,14.32,2.11,null,FanDuel,6800
54,Demaryius Thomas,DEN,WR,12,LV,29,20,11.17,1.64,null,FanDuel,6800
54,JuJu Smith-Schuster,PIT,WR,12,GB,16,26,0,0,null,FanDuel,6800
58,Christian McCaffrey,CAR,RB,12,NYJ,18,12,12.78,1.91,null,FanDuel,6700
58,Robby Anderson,NYJ,WR,12,CAR,4,11,9.81,1.46,null,FanDuel,6700
58,Jay Cutler,MIA,QB,12,NE,28,31,0,0,null,FanDuel,6700
