Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Christian McCaffrey,CAR,RB,1,LV,25,19,20.81,2.08,null,FanDuel,10000
2,Patrick Mahomes,KC,QB,1,HOU,27,29,23.76,2.5,null,FanDuel,9500
3,Lamar Jackson,BAL,QB,1,CLE,20,21,24.16,2.6,null,FanDuel,9300
4,Saquon Barkley,NYG,RB,1,PIT,5,5,16.51,1.83,null,FanDuel,9000
5,Michael Thomas,NO,WR,1,TB,23,32,16.49,1.87,null,FanDuel,8800
6,Ezekiel Elliott,DAL,RB,1,LAR,14,17,17.18,1.97,null,FanDuel,8700
6,Dalvin Cook,MIN,RB,1,GB,12,23,16.61,1.91,null,FanDuel,8700
8,Dak Prescott,DAL,QB,1,LAR,14,11,20.55,2.45,null,FanDuel,8400
8,Russell Wilson,SEA,QB,1,ATL,21,25,20.23,2.41,null,FanDuel,8400
8,Derrick Henry,TEN,RB,1,DEN,8,10,17.6,2.1,null,FanDuel,8400
11,Alvin Kamara,NO,RB,1,TB,23,2,16.45,1.98,null,FanDuel,8300
12,Deshaun Watson,HOU,QB,1,KC,11,12,20.16,2.46,null,FanDuel,8200
12,Josh Jacobs,LV,RB,1,CAR,26,32,15.85,1.93,null,FanDuel,8200
12,Julio Jones,ATL,WR,1,SEA,19,15,14.97,1.83,null,FanDuel,8200
15,Drew Brees,NO,QB,1,TB,23,23,18.87,2.33,null,FanDuel,8100
15,Tyreek Hill,KC,WR,1,HOU,27,20,14.87,1.84,null,FanDuel,8100
17,Davante Adams,GB,WR,1,MIN,10,24,15.44,1.93,null,FanDuel,8000
17,George Kittle,SF,TE,1,ARI,31,32,13.88,1.74,null,FanDuel,8000
19,Josh Allen,BUF,QB,1,NYJ,13,17,18.86,2.39,null,FanDuel,7900
20,Matt Ryan,ATL,QB,1,SEA,19,15,19.17,2.46,null,FanDuel,7800
20,Ben Roethlisberger,PIT,QB,1,NYG,29,30,17.77,2.28,null,FanDuel,7800
20,Aaron Jones,GB,RB,1,MIN,10,14,14.34,1.84,null,FanDuel,7800
20,Travis Kelce,KC,TE,1,HOU,27,24,13.78,1.77,null,FanDuel,7800
20,DeAndre Hopkins,ARI,WR,1,SF,4,14,12.77,1.64,null,FanDuel,7800
25,Kyler Murray,ARI,QB,1,SF,4,10,18.11,2.35,null,FanDuel,7700
25,Carson Wentz,PHI,QB,1,WAS,28,24,17.82,2.31,null,FanDuel,7700
25,Austin Ekeler,LAC,RB,1,CIN,24,24,16.84,2.19,null,FanDuel,7700
25,Chris Godwin,TB,WR,1,NO,15,27,14.33,1.86,null,FanDuel,7700
29,Aaron Rodgers,GB,QB,1,MIN,10,8,16.82,2.21,null,FanDuel,7600
30,Tom Brady,TB,QB,1,NO,15,20,17.98,2.4,null,FanDuel,7500
30,Mike Evans,TB,WR,1,NO,15,27,8.6,1.15,null,FanDuel,7500
32,Cam Newton,NE,QB,1,MIA,32,31,18.13,2.45,null,FanDuel,7400
32,Jared Goff,LAR,QB,1,DAL,9,13,17.66,2.39,null,FanDuel,7400
32,Nick Chubb,CLE,RB,1,BAL,3,8,12.47,1.69,null,FanDuel,7400
32,Mark Andrews,BAL,TE,1,CLE,20,29,11.77,1.59,null,FanDuel,7400
36,Jimmy Garoppolo,SF,QB,1,ARI,31,32,17.52,2.4,null,FanDuel,7300
36,Matthew Stafford,DET,QB,1,CHI,6,6,16.68,2.28,null,FanDuel,7300
36,Joe Mixon,CIN,RB,1,LAC,7,22,14.29,1.96,null,FanDuel,7300
36,Kenny Golladay,DET,WR,1,CHI,6,5,0,0,null,FanDuel,7300
40,Philip Rivers,IND,QB,1,JAX,22,19,16.28,2.26,null,FanDuel,7200
40,Kirk Cousins,MIN,QB,1,GB,12,5,16.19,2.25,null,FanDuel,7200
40,Daniel Jones,NYG,QB,1,PIT,5,4,15.7,2.18,null,FanDuel,7200
40,Clyde Edwards-Helaire,KC,RB,1,HOU,27,26,14.45,2.01,null,FanDuel,7200
40,Allen Robinson II,CHI,WR,1,DET,30,29,13.49,1.87,null,FanDuel,7200
40,Chris Carson,SEA,RB,1,ATL,21,11,13.17,1.83,null,FanDuel,7200
40,Cooper Kupp,LAR,WR,1,DAL,9,7,11.75,1.63,null,FanDuel,7200
47,Derek Carr,LV,QB,1,CAR,26,16,16.83,2.37,null,FanDuel,7100
47,D.J. Moore,CAR,WR,1,LV,25,23,13.32,1.88,null,FanDuel,7100
47,JuJu Smith-Schuster,PIT,WR,1,NYG,29,28,12.81,1.8,null,FanDuel,7100
47,Todd Gurley II,ATL,RB,1,SEA,19,20,12.73,1.79,null,FanDuel,7100
