Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Tom Brady,NE,QB,6,NYJ,15,19,20.89,2.2,null,FanDuel,9500
2,Kareem Hunt,KC,RB,6,PIT,1,30,16.88,1.82,null,FanDuel,9300
3,Antonio Brown,PIT,WR,6,KC,25,31,14.28,1.55,null,FanDuel,9200
4,Aaron Rodgers,GB,QB,6,MIN,9,7,19.6,2.18,null,FanDuel,9000
4,Le'Veon Bell,PIT,RB,6,KC,25,7,18.2,2.02,null,FanDuel,9000
6,Drew Brees,NO,QB,6,DET,12,8,20.56,2.39,null,FanDuel,8600
6,Leonard Fournette,JAX,RB,6,LAR,20,32,15.96,1.86,null,FanDuel,8600
8,Matthew Stafford,DET,QB,6,NO,24,21,18.16,2.14,null,FanDuel,8500
8,Devonta Freeman,ATL,RB,6,MIA,6,8,15.88,1.87,null,FanDuel,8500
8,Michael Thomas,NO,WR,6,DET,12,19,13.15,1.55,null,FanDuel,8500
8,David Johnson,ARI,RB,6,TB,28,13,0,0,null,FanDuel,8500
12,Todd Gurley,LAR,RB,6,JAX,3,26,15.83,1.88,null,FanDuel,8400
12,Julio Jones,ATL,WR,6,MIA,6,10,14.75,1.76,null,FanDuel,8400
12,Melvin Gordon,LAC,RB,6,LV,16,19,14.35,1.71,null,FanDuel,8400
15,Cam Newton,CAR,QB,6,PHI,16,20,18.27,2.23,null,FanDuel,8200
16,Matt Ryan,ATL,QB,6,MIA,6,9,19.63,2.42,null,FanDuel,8100
16,Mike Evans,TB,WR,6,ARI,22,27,12.38,1.53,null,FanDuel,8100
16,Jordy Nelson,GB,WR,6,MIN,9,20,11.36,1.4,null,FanDuel,8100
19,DeAndre Hopkins,HOU,WR,6,CLE,21,13,14.47,1.81,null,FanDuel,8000
19,Rob Gronkowski,NE,TE,6,NYJ,15,9,12.6,1.58,null,FanDuel,8000
21,Deshaun Watson,HOU,QB,6,CLE,21,29,19.22,2.43,null,FanDuel,7900
21,Marcus Mariota,TEN,QB,6,IND,31,31,17.28,2.19,null,FanDuel,7900
21,Brandin Cooks,NE,WR,6,NYJ,15,15,11.38,1.44,null,FanDuel,7900
24,Kirk Cousins,WAS,QB,6,SF,27,20,19.34,2.48,null,FanDuel,7800
24,Jameis Winston,TB,QB,6,ARI,22,26,17.27,2.21,null,FanDuel,7800
24,TY Hilton,IND,WR,6,TEN,29,27,12.71,1.63,null,FanDuel,7800
27,Carson Wentz,PHI,QB,6,CAR,7,9,16.19,2.13,null,FanDuel,7600
27,Golden Tate,DET,WR,6,NO,24,22,12.19,1.6,null,FanDuel,7600
27,Andrew Luck,IND,QB,6,TEN,29,29,0,0,null,FanDuel,7600
30,Alex Smith,KC,QB,6,PIT,1,2,17.14,2.29,null,FanDuel,7500
30,Derek Carr,LV,QB,6,LAC,23,16,16.25,2.17,null,FanDuel,7500
30,Trevor Siemian,DEN,QB,6,NYG,26,24,14.62,1.95,null,FanDuel,7500
30,Chris Hogan,NE,WR,6,NYJ,15,15,11.55,1.54,null,FanDuel,7500
30,Jared Goff,LAR,QB,6,JAX,3,1,10.9,1.45,null,FanDuel,7500
30,Tyreek Hill,KC,WR,6,PIT,1,1,10.83,1.44,null,FanDuel,7500
36,Ben Roethlisberger,PIT,QB,6,KC,25,27,14.19,1.92,null,FanDuel,7400
37,Sam Bradford,MIN,QB,6,GB,13,10,0,0,null,FanDuel,7300
37,Stefon Diggs,MIN,WR,6,GB,13,21,0,0,null,FanDuel,7300
39,Philip Rivers,LAC,QB,6,LV,16,18,17.94,2.49,null,FanDuel,7200
39,Keenan Allen,LAC,WR,6,LV,16,12,12.88,1.79,null,FanDuel,7200
39,Travis Kelce,KC,TE,6,PIT,1,7,11.29,1.57,null,FanDuel,7200
39,Davante Adams,GB,WR,6,MIN,9,20,10.84,1.51,null,FanDuel,7200
39,Ty Montgomery,GB,RB,6,MIN,9,2,9.46,1.31,null,FanDuel,7200
44,Carson Palmer,ARI,QB,6,TB,28,28,16.99,2.39,null,FanDuel,7100
45,Joe Flacco,BAL,QB,6,CHI,18,15,13.71,1.96,null,FanDuel,7000
45,CJ Anderson,DEN,RB,6,NYG,26,25,13.71,1.96,null,FanDuel,7000
45,Blake Bortles,JAX,QB,6,LAR,20,12,13,1.86,null,FanDuel,7000
45,Michael Crabtree,LV,WR,6,LAC,23,23,12.17,1.74,null,FanDuel,7000
45,Zach Ertz,PHI,TE,6,CAR,7,9,10.88,1.55,null,FanDuel,7000
50,Josh McCown,NYJ,QB,6,NE,32,32,14.38,2.08,null,FanDuel,6900
50,Jordan Howard,CHI,RB,6,BAL,8,25,11.99,1.74,null,FanDuel,6900
50,Jay Ajayi,MIA,RB,6,ATL,17,24,11.7,1.7,null,FanDuel,6900
53,Jacoby Brissett,IND,QB,6,TEN,29,29,15.87,2.33,null,FanDuel,6800
53,Lamar Miller,HOU,RB,6,CLE,21,11,13.91,2.05,null,FanDuel,6800
53,Doug Martin,TB,RB,6,ARI,22,5,11.47,1.69,null,FanDuel,6800
53,Pierre Garcon,SF,WR,6,WAS,10,2,11.37,1.67,null,FanDuel,6800
