Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Christian McCaffrey,CAR,RB,11,ATL,26,16,23.31,2.22,null,FanDuel,10500
2,Michael Thomas,NO,WR,11,TB,31,32,18.97,2.11,null,FanDuel,9000
3,Lamar Jackson,BAL,QB,11,HOU,22,24,25.04,2.85,null,FanDuel,8800
4,Patrick Mahomes,KC,QB,11,LAC,6,6,22.99,2.64,null,FanDuel,8700
5,Dalvin Cook,MIN,RB,11,DEN,4,14,19.84,2.31,null,FanDuel,8600
6,Ezekiel Elliott,DAL,RB,11,DET,27,31,18.23,2.17,null,FanDuel,8400
7,Drew Brees,NO,QB,11,TB,31,31,20.06,2.42,null,FanDuel,8300
7,Tyreek Hill,KC,WR,11,LAC,6,7,16.71,2.01,null,FanDuel,8300
7,DeAndre Hopkins,HOU,WR,11,BAL,11,14,15.18,1.83,null,FanDuel,8300
10,Deshaun Watson,HOU,QB,11,BAL,11,11,22.03,2.69,null,FanDuel,8200
10,Mike Evans,TB,WR,11,NO,9,22,15.71,1.92,null,FanDuel,8200
12,Dak Prescott,DAL,QB,11,DET,27,27,21.33,2.63,null,FanDuel,8100
12,Amari Cooper,DAL,WR,11,DET,27,21,14.73,1.82,null,FanDuel,8100
14,Jimmy Garoppolo,SF,QB,11,ARI,32,32,17.75,2.22,null,FanDuel,8000
14,Josh Jacobs,LV,RB,11,CIN,29,29,17.48,2.18,null,FanDuel,8000
14,Chris Godwin,TB,WR,11,NO,9,22,14.06,1.76,null,FanDuel,8000
17,Nick Chubb,CLE,RB,11,PIT,8,6,15.44,1.95,null,FanDuel,7900
17,Matthew Stafford,DET,QB,11,DAL,7,5,0,0,null,FanDuel,7900
19,Tom Brady,NE,QB,11,PHI,16,17,19.31,2.48,null,FanDuel,7800
19,Josh Allen,BUF,QB,11,MIA,28,26,19.09,2.45,null,FanDuel,7800
19,Alvin Kamara,NO,RB,11,TB,31,2,16.89,2.17,null,FanDuel,7800
19,Jared Goff,LAR,QB,11,CHI,5,7,16.71,2.14,null,FanDuel,7800
19,Julio Jones,ATL,WR,11,CAR,20,16,15.36,1.97,null,FanDuel,7800
24,Kirk Cousins,MIN,QB,11,DEN,4,3,17.02,2.21,null,FanDuel,7700
24,Cooper Kupp,LAR,WR,11,CHI,5,4,13.49,1.75,null,FanDuel,7700
26,Jameis Winston,TB,QB,11,NO,9,21,19.9,2.62,null,FanDuel,7600
26,Matt Ryan,ATL,QB,11,CAR,20,10,18.26,2.4,null,FanDuel,7600
26,Kyler Murray,ARI,QB,11,SF,2,2,16.66,2.19,null,FanDuel,7600
26,Kenny Golladay,DET,WR,11,DAL,7,2,11.39,1.5,null,FanDuel,7600
30,Philip Rivers,LAC,QB,11,KC,22,23,17.65,2.35,null,FanDuel,7500
30,Jacoby Brissett,IND,QB,11,JAX,14,18,15.62,2.08,null,FanDuel,7500
30,Mark Ingram,BAL,RB,11,HOU,22,9,12.24,1.63,null,FanDuel,7500
30,George Kittle,SF,TE,11,ARI,32,32,0,0,null,FanDuel,7500
34,Derek Carr,LV,QB,11,CIN,29,30,17.87,2.41,null,FanDuel,7400
34,Le'Veon Bell,NYJ,RB,11,WAS,21,25,14.72,1.99,null,FanDuel,7400
34,Julian Edelman,NE,WR,11,PHI,16,27,13.44,1.82,null,FanDuel,7400
37,Sam Darnold,NYJ,QB,11,WAS,21,16,15.3,2.1,null,FanDuel,7300
37,Marlon Mack,IND,RB,11,JAX,14,17,12.65,1.73,null,FanDuel,7300
37,Stefon Diggs,MIN,WR,11,DEN,4,5,11.85,1.62,null,FanDuel,7300
37,T.Y. Hilton,IND,WR,11,JAX,14,13,0,0,null,FanDuel,7300
41,Kyle Allen,CAR,QB,11,ATL,26,29,17.46,2.42,null,FanDuel,7200
41,Leonard Fournette,JAX,RB,11,IND,10,7,16.95,2.35,null,FanDuel,7200
